compound_code	compound_name	cd630_clindamycin_score	bacteroides_630_score	ratio	magnitude	interaction_score	percentile
C00106	Uracil	1.322	1.379	0.959	5.101	2.29	70.0
C00122	Fumarate	-1.348	0.489	0.551	3.949	-1.123	60.0
C00105	UMP	2.037	0.04	0.02	5.132	-3.311	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	3.17	6.229	0.509	84.01	5.418	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.087	-1.0	0.059	35.989	-1.082	60.0
C00101	Tetrahydrofolate	3.784	-0.091	0.077	14.84	-0.198	70.0
C00006	NADP+	-4.0	4.273	0.828	35.333	-4.87	90.0
C00063	CTP	6.787	2.115	0.312	114.763	5.16	90.0
C00065	L-Serine	3.441	-0.412	0.123	12.191	-0.579	50.0
C00002	ATP	5.846	1.898	0.325	61.247	4.314	80.0
C00149	(S)-Malate	0.737	-0.077	0.633	2.722	-0.784	50.0
C00103	D-Glucose_1-phosphate	-1.384	0.926	0.728	4.51	-1.715	70.0
C00620	alpha-D-Ribose_1-phosphate	5.109	1.585	0.31	37.511	3.541	80.0
C00199	D-Ribulose_5-phosphate	-4.052	-3.817	0.85	30.681	-4.704	90.0
C00143	5,10-Methylenetetrahydrofolate	-5.431	0.179	0.026	44.273	-0.216	60.0
C00092	D-Glucose_6-phosphate	-6.674	-0.585	0.015	103.611	-0.606	50.0
C00094	Sulfite	-1.353	-6.267	0.033	79.566	-1.4	70.0
C00036	Oxaloacetate	4.311	0.435	0.101	21.201	1.097	70.0
C00037	Glycine	-2.818	0.385	0.185	8.358	-0.63	50.0
C00117	D-Ribose_5-phosphate	-5.24	-0.447	0.036	39.155	-0.498	50.0
C00111	Glycerone_phosphate	-5.895	0.25	0.02	60.697	-0.279	60.0
C00031	D-Glucose	4.278	4.912	0.871	49.507	5.43	90.0
C00152	L-Asparagine	3.532	0.531	0.15	13.012	0.968	70.0
C00118	D-Glyceraldehyde_3-phosphate	-6.484	1.234	0.026	91.864	-1.271	70.0
C00074	Phosphoenolpyruvate	-5.997	-1.722	0.052	67.166	-1.795	70.0
C00075	UTP	6.954	1.807	0.26	127.482	5.05	90.0
C00668	alpha-D-Glucose_6-phosphate	3.856	-3.488	0.775	25.7	-4.316	90.0
C00085	D-Fructose_6-phosphate	6.695	0.363	0.054	104.895	2.508	80.0
C00631	2-Phospho-D-glycerate	-2.03	-0.354	0.313	5.362	-0.747	50.0
C01151	D-Ribose_1,5-bisphosphate	-3.17	-6.229	0.12	84.01	-3.333	90.0
C00064	L-Glutamine	3.633	0.064	0.018	13.452	-2.077	80.0
C00046	RNA	-4.907	-1.948	0.129	33.861	-2.123	80.0
C00044	GTP	-5.928	-1.17	0.037	63.134	-1.222	60.0
C00049	L-Aspartate	-3.759	-0.363	0.095	14.825	-0.494	60.0
C00352	D-Glucosamine_6-phosphate	-5.361	-0.515	0.035	42.527	-0.564	50.0
