compound_code	compound_name	bacteroides_630_score	cd630_clindamycin_score	ratio	magnitude	interaction_score	percentile
C00106	Uracil	1.379	1.322	0.959	5.101	2.29	70.0
C00122	Fumarate	0.489	-1.348	0.551	3.949	-1.123	60.0
C00105	UMP	0.04	2.037	0.02	5.132	-3.311	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	6.229	3.17	0.509	84.01	5.418	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.0	-5.087	0.059	35.989	-1.082	60.0
C00101	Tetrahydrofolate	-0.091	3.784	0.077	14.84	-0.198	70.0
C00006	NADP+	4.273	-4.0	0.828	35.333	-4.87	90.0
C00063	CTP	2.115	6.787	0.312	114.763	5.16	90.0
C00065	L-Serine	-0.412	3.441	0.123	12.191	-0.579	50.0
C00002	ATP	1.898	5.846	0.325	61.247	4.314	80.0
C00149	(S)-Malate	-0.077	0.737	0.633	2.722	-0.784	50.0
C00103	D-Glucose_1-phosphate	0.926	-1.384	0.728	4.51	-1.715	70.0
C00620	alpha-D-Ribose_1-phosphate	1.585	5.109	0.31	37.511	3.541	80.0
C00199	D-Ribulose_5-phosphate	-3.817	-4.052	0.85	30.681	-4.704	90.0
C00143	5,10-Methylenetetrahydrofolate	0.179	-5.431	0.026	44.273	-0.216	60.0
C00092	D-Glucose_6-phosphate	-0.585	-6.674	0.015	103.611	-0.606	50.0
C00094	Sulfite	-6.267	-1.353	0.033	79.566	-1.4	70.0
C00036	Oxaloacetate	0.435	4.311	0.101	21.201	1.097	70.0
C00037	Glycine	0.385	-2.818	0.185	8.358	-0.63	50.0
C00117	D-Ribose_5-phosphate	-0.447	-5.24	0.036	39.155	-0.498	50.0
C00152	L-Asparagine	0.531	3.532	0.15	13.012	0.968	70.0
C00111	Glycerone_phosphate	0.25	-5.895	0.02	60.697	-0.279	60.0
C00031	D-Glucose	4.912	4.278	0.871	49.507	5.43	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.488	3.856	0.775	25.7	-4.316	90.0
C00118	D-Glyceraldehyde_3-phosphate	1.234	-6.484	0.026	91.864	-1.271	70.0
C00074	Phosphoenolpyruvate	-1.722	-5.997	0.052	67.166	-1.795	70.0
C00075	UTP	1.807	6.954	0.26	127.482	5.05	90.0
C00085	D-Fructose_6-phosphate	0.363	6.695	0.054	104.895	2.508	80.0
C00631	2-Phospho-D-glycerate	-0.354	-2.03	0.313	5.362	-0.747	50.0
C01151	D-Ribose_1,5-bisphosphate	-6.229	-3.17	0.12	84.01	-3.333	90.0
C00064	L-Glutamine	0.064	3.633	0.018	13.452	-2.077	80.0
C00046	RNA	-1.948	-4.907	0.129	33.861	-2.123	80.0
C00044	GTP	-1.17	-5.928	0.037	63.134	-1.222	60.0
C00049	L-Aspartate	-0.363	-3.759	0.095	14.825	-0.494	60.0
C00352	D-Glucosamine_6-phosphate	-0.515	-5.361	0.035	42.527	-0.564	50.0
