compound_code	compound_name	cumulative_metabolite_score	consumption_score	production_score	percentile
C16471	5-Methyl-3-oxo-4-hexenoyl-CoA	-9.131	0.0	-9.131	70.0
C02730	2-Succinylbenzoate	8.15	8.15	0.0	60.0
C00259	L-Arabinose	10.1123903157	10.112	0.0	90.0
C16477	5-Fluoromuconolactone	9.773	9.773	0.0	80.0
C16476	4-Fluoromuconolactone	9.773	9.773	0.0	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-11.4730236502	0.0	-11.473	90.0
C00148	L-Proline	6.2795308146	6.615	-4.346	50.0
C00942	3',5'-Cyclic_GMP	-9.445	0.0	-9.445	80.0
C00149	(S)-Malate	7.19830023585	7.209	-0.077	50.0
C05356	5(S)-HPETE	8.82	8.82	0.0	70.0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	-7.112	0.0	-7.112	50.0
C02430	L-Methionyl-tRNA	10.4337233433	10.434	0.0	90.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-9.529	0.0	-9.529	80.0
C14818	Fe2+	9.01684468303	9.017	0.0	70.0
C00828	Menaquinone	-8.435	0.0	-8.435	70.0
C01451	Salicin	7.384	7.384	0.0	60.0
C01024	Hydroxymethylbilane	-6.524	0.0	-6.524	50.0
C00530	Hydroquinone	-8.83	0.0	-8.83	70.0
C06126	Digalactosylceramide	12.4461182788	12.446	0.0	90.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-8.96830013712	0.0	-8.968	70.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-9.13711844794	0.0	-9.137	80.0
C01185	Nicotinate_D-ribonucleotide	9.57908282922	9.579	0.0	80.0
C06790	Trichloroethene	9.976	9.976	0.0	80.0
C06128	GM4	8.954	8.954	0.0	70.0
C00491	L-Cystine	8.008	8.008	0.0	60.0
C15812	[Enzyme]-S-sulfanylcysteine	-8.75507579719	8.353	-9.568	70.0
C05750	3-Oxooctanoyl-[acp]	10.2963462289	10.296	0.0	90.0
C15811	[Enzyme]-cysteine	9.96	9.96	0.0	80.0
C00492	Raffinose	-7.873	0.0	-7.873	60.0
C15815	C15815	8.299	8.299	0.0	60.0
C00146	Phenol	-8.43	0.0	-8.43	60.0
C05796	Galactan	10.3492383663	10.349	0.0	90.0
C14145	(3S)-3-Hydroxyadipyl-CoA	-6.925	0.0	-6.925	50.0
C01102	O-Phospho-L-homoserine	-5.629	0.0	-5.629	50.0
C16387	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA	9.131	9.131	0.0	70.0
C00794	D-Sorbitol	-11.799702144	7.943	-11.896	90.0
C03921	2-Dehydro-3-deoxy-D-glucarate	-9.236	0.0	-9.236	80.0
C05998	3-Hydroxyisovaleryl-CoA	9.131	9.131	0.0	70.0
C00791	Creatinine	8.611	8.611	0.0	70.0
C16219	3-Oxostearoyl-[acp]	10.7110503043	10.711	0.0	90.0
C05552	Biocytin	-2.322	0.0	-2.322	50.0
C00227	Acetyl_phosphate	-9.7419600497	0.0	-9.742	80.0
C00226	Primary_alcohol	12.058965272	12.059	0.0	90.0
C00224	Adenylyl_sulfate	-9.83	0.0	-9.83	80.0
C00222	3-Oxopropanoate	5.697	5.697	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	12.4461182788	12.446	0.0	90.0
C00385	Xanthine	-7.23929144876	0.0	-7.239	50.0
C00387	Guanosine	-7.67097160301	8.036	-8.865	50.0
C02505	2-Phenylacetamide	7.484	7.484	0.0	60.0
C00229	Acyl-carrier_protein	8.05032097269	8.155	-4.322	60.0
C00499	Allantoate	3.17	3.17	0.0	50.0
C16391	Trinitrotoluene	8.7	8.7	0.0	70.0
C16392	4-Hydroxylamino-2,6-dinitrotoluene	-8.7	0.0	-8.7	70.0
C16393	2-Hydroxylamino-4,6-dinitrotoluene	-8.7	0.0	-8.7	70.0
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	-9.945	0.0	-9.945	80.0
C00546	Methylglyoxal	-7.762	0.0	-7.762	60.0
C00508	L-Ribulose	-6.95016482973	5.404	-7.375	50.0
C00366	Urate	-9.993	0.0	-9.993	90.0
C01801	Deoxyribose	10.8294687253	10.829	0.0	90.0
C00364	dTMP	6.13558393522	6.759	-5.248	50.0
C00365	dUMP	-9.37767082767	0.0	-9.378	80.0
C00362	dGMP	-7.238	0.0	-7.238	50.0
C00363	dTDP	9.93967522362	9.94	0.0	80.0
C00360	dAMP	8.874	8.874	0.0	70.0
C00008	ADP	-10.3807030025	0.0	-10.381	90.0
C00007	Oxygen	8.2	8.2	0.0	60.0
C00006	NADP+	9.74233949284	9.742	0.0	80.0
C00005	NADPH	-9.7402606031	4.322	-9.774	80.0
C00003	NAD+	-8.69396522409	0.0	-8.694	70.0
C00002	ATP	-8.59428931249	8.651	-9.623	70.0
C00369	Starch	9.42324340532	9.423	0.0	80.0
C05703	Methaneselenol	-10.057	0.0	-10.057	90.0
C00079	L-Phenylalanine	4.69305062873	5.801	-5.802	50.0
C03582	Resveratrol	8.43	8.43	0.0	70.0
C01412	Butanal	12.4327114862	12.433	0.0	90.0
C16619	6-Thioguanosine_monophosphate	-10.074080134	0.0	-10.074	90.0
C16618	6-Thioxanthine_5'-monophosphate	7.96	7.96	0.0	60.0
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	-9.344	0.0	-9.344	80.0
C03741	(S)-4-Amino-5-oxopentanoate	7.441	7.441	0.0	60.0
C16614	6-Methylmercaptopurine	9.98597201491	9.986	0.0	80.0
C00645	N-Acetyl-D-mannosamine	-9.63382464528	0.0	-9.634	80.0
C00099	beta-Alanine	-6.14980358141	6.524	-7.349	50.0
C00310	D-Xylulose	-7.943	0.0	-7.943	60.0
C00641	1,2-Diacyl-sn-glycerol	9.37763704555	9.378	0.0	80.0
C01931	L-Lysyl-tRNA	-10.1266745669	0.0	-10.127	90.0
C00315	Spermidine	-4.626	0.0	-4.626	50.0
C01528	Hydrogen_selenide	-7.9254468249	9.18	-9.685	60.0
C00090	Catechol	-8.43	0.0	-8.43	60.0
C00091	Succinyl-CoA	-9.11174846981	8.559	-9.862	70.0
C00092	D-Glucose_6-phosphate	-11.0213608952	0.0	-11.021	90.0
C00093	sn-Glycerol_3-phosphate	-9.00940001651	5.97	-9.175	70.0
C00094	Sulfite	-7.81967230285	0.0	-7.82	60.0
C00095	D-Fructose	9.18454964399	9.185	0.0	80.0
C00096	GDP-mannose	10.353	10.353	0.0	90.0
C02222	2-Maleylacetate	-9.641	0.0	-9.641	80.0
C14099	2-Naphthaldehyde	-12.058965272	0.0	-12.059	90.0
C05729	R-S-Cysteinylglycine	9.63675160773	9.637	0.0	80.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-8.093	0.0	-8.093	60.0
C14090	1-Naphthaldehyde	-12.058965272	0.0	-12.059	90.0
C00189	Ethanolamine	-8.093	0.0	-8.093	60.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-9.87206015995	0.0	-9.872	80.0
C16153	UDP-L-Ara4N	8.103	8.103	0.0	60.0
C11941	Pinocarveol	-8.43	0.0	-8.43	60.0
C06194	2',3'-Cyclic_GMP	8.89208605158	8.892	0.0	70.0
C06193	Guanosine_3'-phosphate	-8.89208605158	0.0	-8.892	70.0
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	9.131	9.131	0.0	70.0
C05172	Selenophosphoric_acid	-6.672	0.0	-6.672	50.0
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	-9.131	0.0	-9.131	70.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	7.248	7.248	0.0	50.0
C04738	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	-9.147	0.0	-9.147	80.0
C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone	8.435	8.435	0.0	70.0
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-8.435	0.0	-8.435	70.0
C00438	N-Carbamoyl-L-aspartate	-5.57	0.0	-5.57	50.0
C00437	N-Acetylornithine	4.073	4.073	0.0	50.0
C05775	alpha-Ribazole	8.69	8.69	0.0	70.0
C07118	Benzoyl_acetyl-CoA	7.248	7.248	0.0	50.0
C03069	3-Methylcrotonyl-CoA	-9.131	0.0	-9.131	70.0
C14762	13(S)-HODE	9.861	9.861	0.0	80.0
C00870	4-Nitrophenol	-9.13711844794	0.0	-9.137	80.0
C14765	13-OxoODE	-9.861	0.0	-9.861	80.0
C03063	2-Oxohept-3-enedioate	-2.807	0.0	-2.807	50.0
C00166	Phenylpyruvate	-6.415	0.0	-6.415	50.0
C00167	UDP-glucuronate	8.103	8.103	0.0	60.0
C00160	Glycolate	-9.39722378444	0.0	-9.397	80.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-5.044	0.0	-5.044	50.0
C00163	Propanoate	10.5215719719	10.522	0.0	90.0
C02984	L-Aspartyl-tRNA(Asp)	-10.1088025814	0.0	-10.109	90.0
C03267	beta-D-Fructose_2-phosphate	9.974	9.974	0.0	80.0
C02987	L-Glutamyl-tRNA(Glu)	1.98145673596	8.484	-8.468	50.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-9.069	0.0	-9.069	70.0
C03263	Coproporphyrinogen_III	-7.349	0.0	-7.349	50.0
C02047	L-Leucyl-tRNA	-9.88270804956	0.0	-9.883	80.0
C06567	Penicilloic_acid	-1.0	0.0	-1.0	50.0
C14787	(1S,2R)-Naphthalene_1,2-oxide	9.976	9.976	0.0	80.0
C14786	(1R,2S)-Naphthalene_1,2-oxide	9.976	9.976	0.0	80.0
C03082	4-Phospho-L-aspartate	-7.55776017022	7.421	-8.491	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-9.85811232822	0.0	-9.858	80.0
C20253	Aminoacrylate	7.877	7.877	0.0	60.0
C20396	Methylphosphonate	7.468	7.468	0.0	60.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-10.1433231435	5.948	-10.22	90.0
C00114	Choline	-8.093	0.0	-8.093	60.0
C03160	2-Succinylbenzoyl-CoA	-3.585	0.0	-3.585	50.0
C00861	L-Rhamnulose	7.358	7.358	0.0	60.0
C01063	6-Carboxyhexanoyl-CoA	8.418	8.418	0.0	70.0
C02962	D-Allose_6-phosphate	7.714	7.714	0.0	60.0
C00864	Pantothenate	5.71362072172	7.422	-6.895	50.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	8.375	8.375	0.0	70.0
C01380	Ethylene_glycol	10.533	10.533	0.0	90.0
C01419	Cys-Gly	9.63675160773	9.637	0.0	80.0
C03360	4-Nitrophenyl_phosphate	9.13711844794	9.137	0.0	70.0
C12214	Aminofructose_6-phosphate	8.728	8.728	0.0	70.0
C04932	Lipid_A_disaccharide	-8.683	0.0	-8.683	70.0
C01146	2-Hydroxy-3-oxopropanoate	-7.763	0.0	-7.763	60.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	8.12761861156	8.128	0.0	60.0
C01143	(R)-5-Diphosphomevalonate	5.592	5.592	0.0	50.0
C12448	Ecgonine_methyl_ester	8.83	8.83	0.0	70.0
