KO_code	Compound_codes
K17686	C00002
K03631	
K03630	
K00180	
K11105	
K01361	
K01362	
K02315	
K02314	
K10112	
K02316	
K02313	
K16787	
K06283	
K03147	C03373,C03373
K06168	
K06287	
K06284	
K08483	
K00262	C00025,C00025,C00025,C00025,C00026
K00266	C00064,C00026,C00064,C00026,C00025,C00025,C00026,C00064,C00026,C00025,C00025,C00064,C00025,C00025,C00025,C00025,C00026
K00688	C00369,C00369,C00369
K02400	
K06041	
K03530	
K02025	
K04083	
K02016	
K01999	
K02017	
K01992	
K03536	
K01990	
K02015	
K11755	C02739,C02739,C02739,C02739,C02741,C02741,C02741,C02741
K11754	C00101,C00921,C00921
K00984	
K01515	C00301
K01104	
K11753	C00061,C00016,C00255,C00255
K00981	C00416,C00416,C00416
K00868	C00250,C00250,C00314,C00314,C00534,C00647
K07407	C05402,C00492,C05401,C01235,C05400,C05399,C01613,C06126,C06037,C05404,G00093
K05366	
K07240	
K13626	
K01297	
K03977	
K01192	
K01193	C00089,C00089,C00492,C01613,C16688
K01190	C05796,C00243,C00243,C01290,C01290
K02926	
K02823	
K01198	C02352,C02352,C02352
K14540	
K11072	
K11991	
K00215	C20258,C20258,C20258,C03972,C20258,C20258,C20258,C20258,C03972,C20258
K01206	
K01207	C01674,C01674,G00094,G00109,G00108,G13033,G13033,G06780,G06780
K01209	C02474,C02474
K01465	C00337,C00337
K02038	
K02039	
K04517	C00254,C00254,C01179,C00254,C00254
K03979	
K01745	C00135,C00135
K02030	
K02035	
K02036	
K02037	
K00600	C00037,C00143,C00037,C00037,C00143,C00143,C00037,C00065,C00101,C00037,C00037,C00143,C00037,C00065,C00065
K01586	C00680,C00047,C00680,C00680,C00680
K07095	
K00604	C00234,C02430,C00234
K00606	C00141,C00141,C00141
K07099	
K07098	
K01420	
K00303	C00213,C00037
K00919	C11435,C11436,C11435
K01588	C15667,C15667,C15667
K07560	
K07567	
K07566	
K07568	
K13653	
K02647	
K03798	
K07284	
K09861	
K03595	
K03596	
K02519	
K00974	
K02108	
K02109	
K11175	C03838,C00234,C00101,C03838,C03838,C00445,C00101
K01929	C05892,C00993,C05892,C04877,C04877,C00993
K01735	C04691,C04691,C04691,C04691
K01733	C01102,C00188,C01102,C01102,C06055
K01923	C04751,C04751,C04751
K01921	C00133,C00133,C00133
K03696	
K01926	
K01738	C00979,C00283,C00979,C00283,C00979,C00283,C00283,C00979,C00283,C00979,C00979,C00979
K15024	C00024,C00024,C00024,C00227,C00024,C00024,C00024,C00024,C00100,C02876
K07024	
K07025	
K00048	C01380,C01380,C00583
K03856	C00279,C00074,C00279,C00074,C00279,C00074,C00074,C00279
K00041	C00558,C00558
K07029	
K07124	
K06416	
K02422	
K03523	
K02420	
K06940	
K06941	
K06942	
K06411	
K03529	
K05349	C00185,C00185,C00844,C00844,C00760,C00760,C08325,C01798,C05839,C05839,C05143,C08334,C01594
K02428	C00044,C00075,C00105,C00081,C00286,C00460,C00460,C00700,C01345
K06949	
K03771	
K11707	
K02886	
K03671	
K07460	
K07461	
K06001	C00463,C00463,C00463,C03506,C03506,C03506,C03506,C00065,C03506,C03506,C00065,C03506,C03506
K09760	
K01815	C04053
K09762	
K09765	
K01812	C00191,C00905,C00333,C00333
K01811	
K01810	C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00668,C05345,C00668,C00668,C00668,C01172,C05345,C01172,C01172
K09769	
K02355	
K02357	
K02356	
K04045	
K00134	C00118,C00236,C00118,C00118,C00118,C00118,C00118
K04043	
K04042	C04501,C00043,C04501,C06156,C04501
K04041	C00354,C00354,C00085,C00354,C00354,C05378,C05378,C05378,C05345,C05345,C05345,C05378
K01956	C00064,C00064,C00064
K01955	C00064,C00064,C00064
K01952	C04376,C04376,C04376
K01953	C00049,C00152,C00152
K01950	C00857,C00857
K15051	
K12308	C05796
K00784	
K07736	
K07737	
K07738	
K00789	C00073,C00073,C00019,C00073
K00031	C00006,C00026,C00011,C00026,C00311,C00311,C00311,C00311,C05379,C00026,C05379,C05379,C05379,C00311,C00311,C00311,C00311,C00311
K03073	
K01808	C00117,C00117,C00117,C00117,C00117,C00117,C00117,C02962,C02962
K03070	
K03076	
K03074	
K03716	
K01251	C00021,C00155
K01250	
K15532	
K03177	
K05896	
K06131	C00344,C00269,C00344,C00269,C00344,C00344
K03488	
K06133	C03688,C00010
K02279	
K07636	
K12574	
K00558	C00019,C00021
K12573	
K01179	C00760,C00760
K07979	
K00812	C00049,C00049,C00025,C00036,C00036,C00049,C00049,C00026,C00036,C00026,C00049,C00166,C00166,C00079,C00079,C00079,C00166,C00166,C00082,C00082,C00082,C00082,C00082,C00082,C00082,C01179,C01179,C00097,C00957,C00506,C00606,C05527,C05947,C05946
K00817	C00166,C00166,C00079,C00079,C00079,C00166,C00166,C00082,C00082,C00082,C00082,C00082,C00082,C00082,C01179,C01179,C01100,C01267,C01100,C01267
K00951	C00044
K14089	C00080
K00954	C01134,C01134
K07192	
K01486	C00147,C00262
K08303	
K06967	
K08309	
K06180	
K11710	
K06182	
K12544	
K05792	
K06187	
K01493	C00239,C00365
K02601	
K02600	
K01890	C00079
K01673	C00011
K02419	
K01677	C00149,C00149,C00122,C00149,C00149,C00149
K02412	
K02413	
K02410	
K07584	
K02416	
K03555	
K02414	
K00983	C00270,C00270,C00270,C03410,C03410
K00773	
K01470	C00791
K05985	
K01770	C11436,C11453,C11436
K01775	C00041,C00041
K07455	
K02899	
K02895	
K02892	
K02890	
K01786	C01101,C01101,C01101,C01101
K01785	C00267,C00267,C00267
K01784	C00029,C00029,C00052,C00029
K01783	C00199,C00199,C00231,C00231,C00199,C00199,C00199,C00199
K14155	C00097,C00022,C02291,C02291,C02291,C02291,C00491,C05699
K01489	C00475,C00475,C00881,C16635
K07699	
K02071	
K06987	
K07301	
K10709	
K02398	
K02520	
K02112	
K02397	
K02396	
K02111	
K02528	
K02529	
K01912	C07086,C07086
K02110	
K01915	C00025,C00014,C00025,C00014,C00014,C00025,C00014,C00025
K01918	C00099,C00099,C00522,C00099,C00522,C00522,C00099
K01854	
K03783	C00212,C00212,C00294,C00294,C00330,C00330,C00387,C00387,C03150,C05841,C01762,C01762,C01762,C00526,C00526,C00147,C00559,C05512,C00262
K00076	
K03784	C00212,C00212,C00294,C00294,C00330,C00330,C00387,C00387,C03150,C05841,C01762,C01762,C01762,C00526,C00526,C00147,C00559,C05512,C00262
K00075	C04631,C04631,C04631,C04631,C04631,C04631
K03789	
K00172	C00024,C00024,C00022,C00022,C00024,C00024,C00011,C00022,C00024,C00011,C00024,C00100,C16396,C16396
