KO_code	Transcripts
K17686	12.0
K03631	9.0
K03630	13.0
K00180	12.0
K02408	42.0
K01361	83.0
K01362	6.0
K02315	17.0
K02314	22.0
K10112	507.0
K02316	15.0
K02313	40.0
K06283	13.0
K03147	0.0
K06168	21.0
K03797	33.0
K06287	27.0
K06284	7.0
K08483	22.0
K00262	71.0
K00266	140.0
K02435	41.0
K06041	4.0
K03439	7.0
K04083	30.0
K02401	37.0
K01999	49.0
K16786	19.0
K01687	42.0
K01992	110.0
K05350	25.0
K01990	265.0
K01685	12.0
K11755	14.0
K11754	8.0
K00984	16.0
K01515	26.0
K01104	4.0
K11753	41.0
K00981	66.0
K00868	17.0
K16785	18.0
K03924	23.0
K01681	22.0
K07240	4.0
K13626	127.0
K01297	3.0
K02871	199.0
K01192	13.0
K01193	4.0
K01190	34.0
K02926	264.0
K07015	54.0
K01198	2.0
K14540	18.0
K02013	11.0
K09927	4.0
K11991	10.0
K00215	22.0
K01206	18.0
K01207	2.0
K01209	75.0
K02038	5.0
K02039	5.0
K04517	14.0
K00655	32.0
K06012	4.0
K01745	4.0
K02030	33.0
K02035	10.0
K02036	5.0
K02037	4.0
K00600	48.0
K01586	67.0
K07095	35.0
K00604	32.0
K00606	6.0
K07099	32.0
K07098	19.0
K01420	4.0
K00651	10.0
K00919	18.0
K01588	29.0
K03553	44.0
K07560	3.0
K07567	18.0
K07566	28.0
K07568	10.0
K13653	54.0
K02647	73.0
K02056	20.0
K09861	1.0
K03660	9.0
K03595	78.0
K03596	34.0
K02519	67.0
K16789	3.0
K02108	54.0
K02109	279.0
K11175	21.0
K01929	14.0
K01735	17.0
K01733	30.0
K07172	35.0
K01923	46.0
K01921	30.0
K03110	37.0
K01926	35.0
K01738	11.0
K15024	14.0
K07024	15.0
K07025	9.0
K00048	86.0
K03856	31.0
K00041	7.0
K07029	21.0
K09955	22.0
K07533	0.0
K06416	155.0
K02422	259.0
K03523	7.0
K02420	50.0
K06940	18.0
K06941	26.0
K06942	13.0
K06411	14.0
K03529	13.0
K05349	65.0
K02428	17.0
K06949	28.0
K03771	27.0
K02499	54.0
K03892	1.0
K03671	45.0
K02881	273.0
K00302	4.0
K08998	40.0
K06001	88.0
K09760	14.0
K01815	6.0
K09762	15.0
K09765	18.0
K01812	71.0
K01811	52.0
K01810	133.0
K09769	54.0
K02355	593.0
K02357	136.0
K02356	69.0
K04045	6.0
K00134	1257.0
K04043	111.0
K04042	17.0
K04041	1.0
K01956	37.0
K01955	72.0
K01952	99.0
K01953	42.0
K01950	26.0
K15051	2.0
K12308	22.0
K00784	1.0
K07736	2.0
K07737	3.0
K07738	16.0
K00789	62.0
K00031	11.0
K03073	11.0
K00533	8.0
K03070	45.0
K03076	206.0
K03074	65.0
K01251	33.0
K01250	5.0
K01624	141.0
K03694	4.0
K00942	28.0
K03177	30.0
K05896	18.0
K06131	13.0
K01873	45.0
K06133	0.0
K01625	31.0
K09903	44.0
K01872	53.0
K12574	29.0
K00558	62.0
K12573	20.0
K11708	4.0
K01179	153.0
K00812	7.0
K00817	25.0
K00951	42.0
K14089	11.0
K00954	38.0
K07192	31.0
K08303	58.0
K01627	2.0
K08309	17.0
K06180	51.0
K11710	4.0
K06182	50.0
K11717	3.0
K06187	45.0
K01493	39.0
K01491	19.0
K02600	32.0
K03568	36.0
K01673	66.0
K02419	52.0
K01677	17.0
K15921	33.0
K02412	86.0
K03551	11.0
K02410	103.0
K07584	190.0
K02416	181.0
K03555	14.0
K02414	353.0
K00983	2.0
K00773	20.0
K01470	1.0
K01591	34.0
K15580	1001.0
K05985	6.0
K01770	13.0
K01775	8.0
K07455	2.0
K02899	137.0
K07407	122.0
K02895	173.0
K02892	271.0
K02890	164.0
K01786	15.0
K01785	52.0
K01784	33.0
K01783	18.0
K14155	223.0
K07699	37.0
K02071	12.0
K06987	29.0
K02113	251.0
K02398	75.0
K02520	53.0
K03469	10.0
K02397	255.0
K02396	345.0
K03581	2.0
K02528	31.0
K02529	11.0
K01912	47.0
K06925	23.0
K01915	71.0
K01918	4.0
K01854	4.0
K03783	16.0
K02121	51.0
K00076	20.0
K03784	26.0
K00075	39.0
K03789	21.0
K00172	2.0
K00171	3.0
K00170	3.0
K00177	621.0
K00175	647.0
K00174	25.0
K03411	76.0
K03410	109.0
K03412	60.0
K02557	95.0
K02556	95.0
K07079	6.0
K07171	48.0
K00375	1.0
K07075	54.0
K03823	14.0
K03824	3.0
K03826	18.0
K01358	37.0
K03601	16.0
K02118	44.0
K09163	3.0
K05792	47.0
K03609	4.0
K07052	20.0
K07173	12.0
K01356	5.0
K06173	11.0
K02123	45.0
K06179	10.0
K06178	25.0
K02601	232.0
K16881	4.0
K09710	28.0
K00297	10.0
K00941	2.0
K15125	177.0
K01809	23.0
K17073	3.0
K03734	21.0
K03737	547.0
K04078	104.0
K03733	4.0
K04077	315.0
K04074	88.0
K04075	14.0
K04072	102.0
K04070	6.0
K00854	130.0
K12410	44.0
K00850	122.0
K04759	34.0
K00995	17.0
K01507	42.0
K00858	11.0
K00859	16.0
K06382	2.0
K06383	1.0
K06381	27.0
K07316	3.0
K06387	17.0
K07315	8.0
K03043	104.0
K03040	465.0
K07319	67.0
K03046	257.0
K01181	30.0
K02933	323.0
K02935	270.0
K00349	3.0
K02939	27.0
K03550	18.0
K03565	17.0
K07166	7.0
K01417	5.0
K02413	33.0
K09787	56.0
K01218	45.0
K03429	22.0
K01000	17.0
K03969	58.0
K02411	83.0
K13038	10.0
K01006	449.0
K01372	6.0
K02417	153.0
K01439	25.0
K02838	59.0
K00638	1.0
K00925	109.0
K00926	9.0
K00927	188.0
K00928	26.0
K00334	84.0
K14441	18.0
K07559	3.0
K01501	2.0
K07150	1.0
K07034	2.0
