compound_code	compound_name	parabacteroides_mock_score	olsenella_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-6.769	0.485	0.013	110.461	-0.503	70.0
C00024	Acetyl-CoA	-5.999	-1.902	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	3.807	-0.28	0.087	15.211	-0.4	70.0
C06481	L-Seryl-tRNA(Sec)	-3.907	-1.0	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	10.921	4.459	0.408	1960.863	9.645	90.0
C00100	Propanoyl-CoA	0.585	-0.737	0.9	3.167	-1.511	90.0
C00022	Pyruvate	2.152	-1.846	0.809	8.039	-2.701	90.0
C00063	CTP	6.087	1.184	0.195	70.25	3.772	80.0
C00062	L-Arginine	-1.585	-2.503	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-0.933	0.174	0.591	3.037	-0.844	80.0
C00002	ATP	5.819	0.3	0.052	57.685	1.572	80.0
C00144	GMP	-0.29	-0.29	0.0	0.0	0.0	50.0
C00369	Starch	3.375	-0.807	0.169	12.124	-1.032	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.923	-4.459	0.0	0.0	0.0	50.0
C00286	dGTP	-1.415	-0.585	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-1.0	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-10.923	-4.459	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.611	1.585	0.031	100.748	-1.629	90.0
C00103	D-Glucose_1-phosphate	-4.662	0.55	0.058	26.78	-0.631	70.0
C00577	D-Glyceraldehyde	-6.714	-2.0	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	1.0	0.585	0.585	3.5	1.034	70.0
C03785	D-Tagatose_1,6-bisphosphate	-1.0	1.0	1.0	4.0	-2.0	90.0
C00279	D-Erythrose_4-phosphate	5.138	1.694	0.33	38.448	3.664	80.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-10.919	-4.459	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	10.921	4.459	0.408	1960.863	9.645	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-10.923	-4.459	0.0	0.0	0.0	50.0
C00327	L-Citrulline	5.129	-4.186	0.52	53.195	-4.79	90.0
C00044	GTP	-4.649	-1.047	0.0	0.0	0.0	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-3.7	-1.0	0.0	0.0	0.0	50.0
C00073	L-Methionine	1.35	0.632	0.468	4.099	0.94	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-1.585	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-0.269	-0.451	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	8.098	-0.322	0.005	275.244	-0.329	70.0
C05759	3-Oxotetradecanoyl-[acp]	10.921	4.459	0.408	1960.863	9.645	90.0
C12215	Iminoerythrose_4-phosphate	-1.0	-1.0	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	1.0	1.0	1.0	4.0	2.0	80.0
C00097	L-Cysteine	-1.303	-0.138	0.0	0.0	0.0	50.0
C00011	CO2	4.179	3.442	0.824	28.981	4.577	80.0
C00117	D-Ribose_5-phosphate	-0.1	-0.652	0.0	0.0	0.0	50.0
C00035	GDP	-2.644	0.585	0.24	7.751	-0.895	80.0
C00014	Ammonia	-10.05	-1.402	0.0	0.0	0.0	50.0
C00015	UDP	-2.644	-0.585	0.0	0.0	0.0	50.0
C00112	CDP	-3.0	-1.0	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	10.921	4.459	0.408	1960.863	9.645	90.0
C00019	S-Adenosyl-L-methionine	-0.322	-0.322	0.0	0.0	0.0	50.0
C00152	L-Asparagine	0.485	1.585	0.306	4.4	0.429	70.0
C00118	D-Glyceraldehyde_3-phosphate	3.847	1.696	0.441	17.63	2.958	80.0
C00074	Phosphoenolpyruvate	-7.904	-1.815	0.0	0.0	0.0	50.0
C00075	UTP	5.682	1.054	0.185	53.416	3.309	80.0
C00131	dATP	-1.0	0.322	0.625	3.25	-1.022	80.0
C00065	L-Serine	-9.482	0.17	0.002	716.224	-0.172	70.0
C00130	IMP	0.553	-0.222	0.795	2.633	-1.066	90.0
C00197	3-Phospho-D-glycerate	-2.682	-0.859	0.0	0.0	0.0	50.0
C05345	beta-D-Fructose_6-phosphate	6.678	0.071	0.011	103.445	0.137	70.0
C00668	alpha-D-Glucose_6-phosphate	3.388	0.587	0.173	11.971	1.052	70.0
C00085	D-Fructose_6-phosphate	1.0	0.228	0.228	3.171	-0.468	70.0
C00242	Guanine	-1.536	0.485	0.483	4.299	-1.053	80.0
C16219	3-Oxostearoyl-[acp]	10.921	4.459	0.408	1960.863	9.645	90.0
C00631	2-Phospho-D-glycerate	-4.635	-0.115	0.0	0.0	0.0	50.0
C05756	3-Oxododecanoyl-[acp]	10.921	4.459	0.408	1960.863	9.645	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-10.919	-4.459	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-4.207	-0.436	0.0	0.0	0.0	50.0
C00385	Xanthine	-1.7	0.188	0.351	4.388	-0.622	70.0
C01172	beta-D-Glucose_6-phosphate	2.459	0.541	0.22	6.953	0.613	70.0
C16216	3-Oxostearoyl-CoA	10.923	4.459	0.408	1963.553	9.647	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-10.923	-4.459	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-1.0	-0.181	0.0	0.0	0.0	50.0
C00064	L-Glutamine	5.289	0.08	0.015	40.154	-0.719	80.0
C00046	RNA	-5.528	-0.459	0.0	0.0	0.0	50.0
C00718	Amylose	-3.644	0.585	0.12	14.001	-0.748	80.0
C00049	L-Aspartate	2.259	0.061	0.027	5.83	-2.667	90.0
C01094	D-Fructose_1-phosphate	6.714	1.585	0.236	107.982	4.672	90.0
C00169	Carbamoyl_phosphate	-3.759	3.572	0.878	25.431	-4.482	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-10.919	-4.459	0.0	0.0	0.0	50.0
