compound_code	compound_name	olsenella_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.485	-6.769	0.013	110.461	-0.503	60.0
C00024	Acetyl-CoA	-1.902	-5.999	0.058	67.693	-1.984	70.0
C00026	2-Oxoglutarate	-0.28	3.807	0.087	15.211	-0.4	60.0
C06481	L-Seryl-tRNA(Sec)	-1.0	-3.907	0.133	17.001	-1.181	60.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.459	10.921	0.408	1960.863	9.645	90.0
C00100	Propanoyl-CoA	-0.737	0.585	0.9	3.167	-1.511	70.0
C00022	Pyruvate	-1.846	2.152	0.809	8.039	-2.701	80.0
C00063	CTP	1.184	6.087	0.195	70.25	3.772	80.0
C00062	L-Arginine	-2.503	-1.585	0.529	8.669	-2.198	80.0
C00029	UDP-glucose	0.174	-0.933	0.591	3.037	-0.844	50.0
C00064	L-Glutamine	0.08	5.289	0.015	40.154	-0.719	50.0
C00144	GMP	-0.29	-0.29	1.0	2.445	-1.29	60.0
C00369	Starch	-0.807	3.375	0.169	12.124	-1.032	50.0
C02553	L-Seryl-tRNA(Ser)	-1.0	-3.907	0.133	17.001	-1.181	60.0
C16217	3-Hydroxyoctadecanoyl-CoA	-4.459	-10.923	0.011	1963.553	-4.475	80.0
C00286	dGTP	-0.585	-1.415	0.563	4.167	-1.229	60.0
C12215	Iminoerythrose_4-phosphate	-1.0	-1.0	1.0	4.0	-2.0	70.0
C00327	L-Citrulline	-4.186	5.129	0.52	53.195	-4.79	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-4.459	-10.923	0.011	1963.553	-4.475	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	1.585	-6.611	0.031	100.748	-1.629	70.0
C00103	D-Glucose_1-phosphate	0.55	-4.662	0.058	26.78	-0.631	50.0
C00577	D-Glyceraldehyde	-2.0	-6.714	0.038	108.982	-2.054	80.0
C00620	alpha-D-Ribose_1-phosphate	0.585	1.0	0.585	3.5	1.034	70.0
C00279	D-Erythrose_4-phosphate	1.694	5.138	0.33	38.448	3.664	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-4.459	-10.923	0.011	1963.553	-4.475	80.0
C05746	3-Oxohexanoyl-[acp]	4.459	10.921	0.408	1960.863	9.645	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-4.459	-10.923	0.011	1963.553	-4.475	80.0
C00044	GTP	-1.047	-4.649	0.082	27.156	-1.161	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-3.7	0.154	14.996	-1.207	60.0
C00073	L-Methionine	0.632	1.35	0.468	4.099	0.94	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-1.585	1.0	6.0	-2.585	80.0
