KO_code	Transcripts
K06845	0.0
K17686	0.0
K03631	0.0
K03630	0.0
K00180	0.0
K03149	0.0
K03639	0.0
K03111	0.0
K13419	0.0
K02315	0.0
K10112	0.0
K02316	0.0
K06166	0.0
K06167	0.0
K06165	0.0
K10118	0.0
K10119	0.0
K06168	0.0
K12942	0.0
K06287	0.0
K06284	0.0
K08483	0.0
K00262	0.0
K00261	0.0
K12850	36.0
K02773	0.0
K00266	0.0
K01118	0.0
K06042	0.0
K17209	0.0
K02016	1.0
K01998	0.0
K01999	0.0
K04087	0.0
K04084	0.0
K01992	0.0
K01993	0.0
K01990	0.0
K04088	0.0
K01996	0.0
K01997	0.0
K17206	0.0
K02015	0.0
K11690	0.0
K03431	0.0
K11755	0.0
K02405	0.0
K01515	0.0
K01783	0.0
K01104	0.0
K11753	0.0
K00981	0.0
K05592	0.0
K00868	0.0
K02407	0.0
K03924	0.0
K03976	0.0
K00863	0.0
K05366	0.0
K07240	0.0
K00864	0.0
K02032	0.0
K01192	0.0
K01193	0.0
K06605	0.0
K05601	0.0
K01195	0.0
K07015	0.0
K01198	0.0
K11072	0.0
K11991	0.0
K00215	0.0
K01206	0.0
K09797	0.0
K01209	0.0
K02038	0.0
K02039	0.0
K04517	0.0
K01740	0.0
K01745	0.0
K01744	0.0
K02030	0.0
K02031	0.0
K05020	0.0
K10117	0.0
K02034	0.0
K02035	0.0
K02036	0.0
K02037	0.0
K07090	0.0
K16961	0.0
K01586	0.0
K07095	0.0
K00604	0.0
K00609	0.0
K07098	0.0
K01421	0.0
K00919	0.0
K01588	0.0
K01424	0.0
K07560	0.0
K07567	0.0
K07566	0.0
K07568	0.0
K13653	0.0
K04019	0.0
K02647	0.0
K01008	0.0
K07391	0.0
K06306	0.0
K07646	0.0
K03595	0.0
K03596	0.0
K03458	0.0
K02519	0.0
K02103	0.0
K00974	0.0
K03457	0.0
K02108	0.0
K09955	0.0
K02510	0.0
K11175	0.0
K06438	0.0
K01929	0.0
K01928	0.0
K02503	0.0
K01733	0.0
K01639	0.0
K01923	0.0
K01921	0.0
K03665	0.0
K11276	5.0
K01926	0.0
K01925	0.0
K01924	0.0
K07024	0.0
K07025	0.0
K00048	0.0
K07023	0.0
K00043	0.0
K00041	0.0
K00040	0.0
K09772	0.0
K00046	0.0
K02422	0.0
K03523	0.0
K02420	0.0
K06940	0.0
K06941	0.0
K06410	0.0
K06411	0.0
K03529	0.0
K05349	0.0
K02428	0.0
K02857	67.0
K07141	0.0
K03778	0.0
K02881	0.0
K10823	0.0
K09133	0.0
K01817	0.0
K02358	1665.0
K01815	0.0
K01814	0.0
K09765	0.0
K01812	3.0
K01811	0.0
K01810	0.0
K00532	0.0
K02355	0.0
K02357	0.0
K01818	0.0
K04083	0.0
K04045	0.0
K00134	4.0
K04043	0.0
K01958	0.0
K01956	0.0
K00088	0.0
K01952	0.0
K01953	0.0
K01950	21.0
K01951	0.0
K00783	0.0
K00784	0.0
K07736	0.0
K07737	0.0
K07738	0.0
K03292	0.0
K00033	0.0
K13479	0.0
K03073	0.0
K03070	0.0
K03076	0.0
K03075	0.0
K03696	0.0
K01255	0.0
K01254	0.0
K03079	0.0
K11654	3.0
K15533	0.0
K02304	0.0
K08963	0.0
K01624	0.0
K17624	0.0
K03273	0.0
K05566	0.0
K07321	0.0
K03177	0.0
K02798	0.0
K05896	0.0
K04382	0.0
K06131	0.0
K01885	0.0
K06133	0.0
K00554	0.0
K01872	0.0
K16899	0.0
K01995	0.0
K00558	0.0
K13889	0.0
K12573	0.0
K36	0.0
K01179	0.0
K01876	0.0
K06298	0.0
K01879	0.0
K00812	0.0
K10773	0.0
K00817	0.0
K00951	0.0
K12452	0.0
K07192	0.0
K01520	0.0
K08300	0.0
K01486	0.0
K08303	0.0
K09747	0.0
K16458	73.0
K08309	0.0
K14475	0.0
K00954	0.0
K06180	0.0
K05795	0.0
K06182	0.0
K06183	0.0
K10237	0.0
K05792	0.0
K06187	0.0
K01493	0.0
K06223	0.0
K16511	0.0
K05799	0.0
K06630	0.0
K01494	0.0
K03559	0.0
K02419	0.0
K03321	0.0
K06917	0.0
K02410	0.0
K02411	0.0
K02416	0.0
K03555	0.0
K10440	0.0
K10441	0.0
K00773	0.0
K01779	0.0
K05989	0.0
K01470	0.0
K03536	0.0
K02781	0.0
K01776	0.0
K01775	0.0
K01299	0.0
K07455	0.0
K07106	0.0
K07105	0.0
K07456	0.0
K02897	0.0
K16950	0.0
K16951	0.0
K14793	0.0
K00676	0.0
K05570	0.0
K05571	0.0
K10439	0.0
K02774	0.0
K02078	0.0
K14155	0.0
K04523	7.0
K02770	0.0
K00595	0.0
K10539	0.0
K03856	0.0
K03438	0.0
K02945	0.0
K01788	0.0
K02526	0.0
K02113	0.0
K03308	0.0
K02112	0.0
K10190	0.0
K03307	0.0
K03306	0.0
K10194	0.0
K02111	0.0
K02528	0.0
K02392	0.0
K01912	0.0
K01910	0.0
K15582	0.0
K03615	0.0
K01915	0.0
K09691	0.0
K02387	0.0
K01609	0.0
K14480	0.0
K01552	0.0
K03783	0.0
K03785	0.0
K06920	0.0
K00074	0.0
K00075	0.0
K03789	0.0
K00865	0.0
K02114	0.0
K00176	0.0
K00175	2.0
K00174	0.0
K03410	0.0
K03413	0.0
K02806	0.0
K02557	0.0
K02556	0.0
K07079	0.0
K00375	0.0
K02119	0.0
K03147	0.0
K03601	0.0
K00196	0.0
K11717	0.0
K06606	0.0
K03608	0.0
K03609	0.0
K10733	2.0
K01190	0.0
K01356	0.0
K05247	0.0
K00010	0.0
K06173	0.0
K01191	0.0
K03466	0.0
K06179	0.0
K06178	0.0
K09903	0.0
K15555	0.0
K15554	0.0
K15553	0.0
K09710	0.0
K00297	0.0
K04041	0.0
K01820	0.0
K01496	0.0
K00450	0.0
K01988	0.0
K03737	0.0
K13542	0.0
K03800	0.0
K04079	0.0
K04077	0.0
K04074	0.0
K04075	0.0
K03738	0.0
K17600	28.0
K00854	0.0
K04072	0.0
K12410	0.0
K00850	0.0
K04759	0.0
K00853	0.0
K00995	0.0
K00359	0.0
K00997	0.0
K00858	0.0
K00859	0.0
K06382	0.0
K06383	0.0
K06381	0.0
K06387	0.0
K16491	0.0
K06385	0.0
K03043	0.0
K03040	0.0
K07250	0.0
K03046	1.0
K05773	0.0
K02469	1.0
K03151	0.0
K02933	0.0
K01182	0.0
K01187	0.0
K02936	15.0
K03231	3.0
K01487	0.0
K03734	0.0
K14207	21.0
K12527	0.0
K03544	0.0
K03316	0.0
K16927	0.0
K01679	0.0
K15235	1.0
K07584	0.0
K13038	0.0
K01006	0.0
K02746	0.0
K02744	0.0
K02745	0.0
K07031	0.0
K02417	0.0
K01439	0.0
K01438	0.0
K16906	0.0
K00638	0.0
K00925	0.0
K00926	0.0
K00927	3.0
K00928	0.0
K00929	0.0
K02415	0.0
K09228	4.0
K10797	0.0
K00945	0.0
K14441	0.0
K07150	0.0
K05808	0.0
K01778	0.0
K07220	0.0
K07658	0.0
K11041	0.0
K02986	0.0
K15342	0.0
K03930	0.0
K06310	0.0
K02988	0.0
K07386	0.0
K10709	0.0
K10708	0.0
K03581	0.0
K06925	0.0
K02117	0.0
K02440	0.0
K02115	0.0
K03584	0.0
K02563	0.0
K03589	0.0
K02118	0.0
K10704	2.0
K02564	0.0
K01649	0.0
K07258	0.0
K11145	0.0
K11261	0.0
K01643	0.0
K01646	0.0
K01647	0.0
K01644	0.0
K16905	0.0
K16907	0.0
K07030	0.0
K00335	0.0
K00334	0.0
K00336	0.0
K00700	0.0
K11135	670.0
K00703	0.0
K03860	0.0
K00705	0.0
K02027	0.0
K06404	0.0
K06857	0.0
K07139	0.0
K02188	0.0
K03519	0.0
K06403	0.0
K07816	0.0
K03515	13.0
K03517	0.0
K06409	0.0
K07137	0.0
K02029	0.0
K06400	0.0
K00091	0.0
K06864	0.0
K15199	1.0
K00096	0.0
K03768	0.0
K09123	0.0
K00099	0.0
K09121	0.0
K02020	0.0
K03763	0.0
K09457	0.0
K07335	0.0
K01866	0.0
K01867	0.0
K02401	0.0
K15581	0.0
K05813	0.0
K07107	0.0
K01869	0.0
K05816	0.0
K05815	0.0
K05814	0.0
K06062	1.0
K04030	0.0
K04031	0.0
K00147	0.0
K03437	0.0
K16962	0.0
K01945	0.0
K07138	0.0
K02899	0.0
K01940	0.0
K06408	0.0
K00384	0.0
K07047	0.0
K07045	0.0
K07042	0.0
K07043	0.0
K00382	0.0
K00798	0.0
K00797	0.0
K00605	0.0
K00027	0.0
K02028	1.0
K07048	0.0
K00790	0.0
K00899	0.0
K09815	0.0
K03088	0.0
K03086	0.0
K00891	0.0
K01262	0.0
K02231	0.0
K01265	0.0
K01266	0.0
K08974	0.0
