KO_code	Compound_codes
K02040	
K17686	C00002
K03631	
K02314	
K10112	
K03386	
K02313	
K10117	
K10118	
K10119	
K00721	C00096,C00110,C03862
K08483	
K00262	C00025,C00025,C00025,C00025,C00026
K00266	C00064,C00026,C00064,C00026,C00025,C00025,C00026,C00064,C00026,C00025,C00025,C00064,C00025,C00025,C00025,C00025,C00026
K00265	C00064,C00026,C00064,C00026,C00025,C00025,C00026,C00064,C00026,C00025,C00025,C00064,C00025,C00025,C00025,C00025,C00026
K03531	
K01992	
K05350	C00185,C00185,C00844,C00844,C00760,C00760,C08325,C01798,C05839,C05839,C05143,C08334,C01594
K01990	
K08681	C00199,C00118
K00989	
K11754	C00101,C00921,C00921
K01515	C00301
K00982	
K01104	
K11753	C00061,C00016,C00255,C00255
K00981	C00416,C00416,C00416
K00868	C00250,C00250,C00314,C00314,C00534,C00647
K03924	
K00865	C00258,C00258,C00258,C00197,C00258
K01193	C00089,C00089,C00492,C01613,C16688
K01190	C05796,C00243,C00243,C01290,C01290
K02926	
K03437	
K01198	C02352,C02352,C02352
K01200	
K01201	C01190,C00195
K01206	
C-terminal_domain	
K01209	C02474,C02474
K02038	
K04517	C00254,C00254,C01179,C00254,C00254
K01740	C01077,C01077,C00979
K01744	C00049,C00122
K02030	
K02033	
K02034	
K02035	
K02036	
K02037	
K00602	C04734,C00130,C00130,C04677,C00234,C00101,C04677,C04677
K00604	C00234,C02430,C00234
K00609	C00169,C00049,C00438
K01462	
K01421	
K01589	C03373,C03373,C03373
K07560	
K07567	
K07284	
K07391	
K03595	
K03596	
K02519	
K03593	
K02517	C06025,C05223,C06251
K10716	
K02109	
K03980	
K01736	C01269,C00251,C01269,C01269
K01929	C05892,C00993,C05892,C04877,C04877,C00993
K01928	C00680,C00692
K01733	C01102,C00188,C01102,C01102,C06055
K01923	C04751,C04751,C04751
K01921	C00133,C00133,C00133
K03665	
K01632	C00085,C00085
K01925	C00217,C01212,C01212,C01212
K01924	C01050,C01050,C01212
K07024	
K07025	
K00048	C01380,C01380,C00583
K00324	C00003,C00003
K07029	
K05343	C00208,C00208,C00369,C00369
K03523	
K05340	
