K03040	C00046
C04272	K01687
C00129	K13787
C00415	K00287
K04072	C06612
K09903	C00015
K00852	C00117
C00084	K04072
C00033	K00925
K00760	C00385
C00446	K00849
K00616	C05345
C04272	K00053
K01624	C00447
C00063	K03046
K02438	C01083
K00382	C15972
K01835	C00117
C00860	K00013
K00962	C00008
K01759	C00546
C16216	K00059
C00197	K00927
C00133	K01921
K11533	C04633
K00760	C00144
K00943	C01346
C00416	K00981
K00965	C00103
C00008	K00873
C00231	K01783
C05335	K01874
C06251	K02517
K00868	C00534
C00188	K01754
K00868	C00627
C01118	K00651
C02876	K13788
C00025	K01919
K05350	C02659
C02226	K01704
K02428	C00144
K13829	C00493
C03972	K00674
K00991	C11435
C06006	K00053
C02282	K02434
C01290	K01190
K01740	C00097
C00024	K00656
K00615	C00279
C00040	K00655
K01697	C02291
K14260	C00041
C02474	K01209
K02517	C06025
C00049	K01940
K01626	C04691
C00109	K01652
C00885	K02551
K00382	C00091
C02504	K01703
C00185	K05350
C04411	K01703
K01520	C00365
C00002	K00873
C00760	K05349
K00790	C00043
K01624	C00354
K00760	C04646
K00215	C03972
C00019	K00558
K01176	C00721
C04494	K01524
C00364	K00943
K05364	C04574
C00015	K00525
C16238	K03800
C06032	K00052
K01703	C02631
C00459	K02343
K00831	C06055
C16219	K11533
K01494	C00460
K04072	C05576
C00197	K15634
K01866	C02839
C05762	K11533
K00133	C03082
K04072	C14090
K01624	C00577
C00361	K00873
K01869	C02047
K04092	C00254
K01740	C00155
K14155	C00155
K02428	C00365
K01442	C00037
C00118	K01803
C00037	K02437
C00492	K07407
K01239	C00242
C00445	K08289
K01696	C00463
C00112	K00525
C00493	K00014
K05350	C00844
C00065	K01754
C00352	K03431
C00458	K02338
C01798	K05349
K03040	C00044
K01881	C02702
C00118	K00616
C17550	K12554
K00849	C00446
C02739	K00765
K01182	C00031
K00558	C00021
C05760	K11533
C00089	K00690
K05349	C00267
C05402	K07407
K01903	C00531
C00042	K01903
C00124	K00849
K00927	C00236
K01890	C03511
K00849	C00124
K11533	C16220
K01733	C00188
C00029	K00963
K11533	C04246
C05898	K05364
C00199	K08681
K02437	C00143
C06156	K03431
K01209	C00259
C00026	K00265
K04072	C14099
C02612	K01704
C01185	K00763
K01776	C00217
K01632	C00279
C00147	K00760
C05796	K01190
C00085	K01632
K13788	C00227
C00144	K00942
C00221	K00845
K00854	C00231
C00365	K00943
C00068	K01652
K00763	C00253
K00262	C00014
C00006	K00033
K01687	C00141
K00700	C00369
C00631	K01689
K01243	C03539
C00131	K02337
C00286	K01129
C00074	K01626
K00941	C04556
C00258	K00865
K00859	C00010
K03800	C16237
C00295	K00226
C00185	K05349
C03794	K01756
C00227	K00925
K11358	C05527
K00059	C20377
K01193	C00668
C05748	K11533
C00857	K03426
K01874	C05336
K01681	C00158
K01817	C01302
C05750	K11533
K00721	C03862
C00131	K02335
K02343	C00131
K01577	C00798
C00041	K01775
C00108	K00766
C00286	K02335
K00036	C00005
C00460	K02428
C00286	K02342
K11533	C05754
K00077	C00966
K01496	C04896
C00448	K13787
C00447	K01624
K00382	C02051
K00865	C00258
K11358	C00036
K00615	C05382
C16219	K00059
K11533	C05750
K01595	C00011
C06612	K04072
C00369	K01176
K01938	C00058
C06613	K04072
C04133	K00145
C06032	K01703
C00073	K08969
K01624	C00111
C05223	K11533
K01834	C00197
K01681	C00311
K01744	C00049
K00806	C04574
C00022	K01652
C04281	K00286
K00995	C03892
C00212	K01239
C01798	K05350
C00097	K01919
K14260	C00183
C00407	K01870
K01786	C00231
C00063	K03040
C00365	K00560
C00181	K01805
C04618	K11533
C00345	K00033
K00527	C00343
C06010	K00053
C00022	K14155
C00039	K02337
K00873	C00002
C05810	K03688
K00053	C04181
C00583	K00048
K01494	C00075
K01929	C04882
K00820	C00352
K14155	C05698
C03150	K01239
C01157	K00286
C00022	K01662
C00490	K01902
K01867	C03512
K04072	C00024
C00044	K03043
C01190	K01201
K11753	C00061
K00651	C01118
K01939	C03794
C00101	K01938
C05753	K00059
C04751	K01923
K05349	C05838
C11436	K01770
K00287	C00101
C00003	K03426
K01736	C00251
C00718	K00700
K11754	C00415
C20237	K16147
K00525	C00343
C04006	K01092
C00119	K00948
C03175	K13829
C01177	K01092
K11533	C04688
C05947	K11358
C00109	K01653
K14153	C04752
K01442	C00695
K07407	G00092
K01649	C00024
K00602	C00234
C04916	K02501
C01180	K08969
C00169	K00611
K01951	C16619
C00155	K01697
K00760	C16615
C00062	K01887
C00680	K01778
C00235	K13787
K01586	C00680
K00764	C00119
C00089	K01182
C01212	K01924
K00721	C00110
C04734	K00602
K00526	C00361
C05747	K11533
K01875	C02553
K11533	C05758
C05753	K11533
K00656	C00024
C03546	K01092
C02741	K01496
C00506	K11358
C00064	K00266
C00438	K00610
C00212	K01488
C01005	K00831
K01687	C00671
C00065	K01696
K00003	C00441
C06010	K01652
K00858	C00006
K01649	C00141
C02631	K01704
C00049	K01939
K00262	C00026
C00979	K01740
K11263	C04419
C00008	K00525
C00234	K08289
C16220	K11533
K00615	C00118
K00962	C00035
K08289	C00445
C00254	K04517
K00831	C06054
K01733	C06056
K00997	C00054
K00865	C00197
K01770	C11453
C00064	K01955
C00044	K00951
K01092	C00137
C05125	K01652
K01887	C02163
K01783	C00231
K00059	C16220
K00948	C00117
K00886	C01172
C00286	K02338
C04302	K00766
C00148	K00286
C00267	K00845
C05465	K01442
K11753	C00016
K01883	C03125
C05892	K01929
C00385	K03816
C00197	K01834
C00169	K00609
C01921	K01442
K02342	C00039
C01050	K01924
K08681	C00018
C05746	K00059
C00253	K08281
C00075	K02428
C08334	K05350
C00249	K01897
K01756	C04677
K00688	C00718
C04618	K00059
C01172	K00036
C04376	K01952
C03232	K00831
C00117	K00948
C00082	K01866
K11533	C05751
C00097	K01883
K01924	C01050
C00143	K00560
C00068	K00949
K02338	C00039
C00073	K01874
K01652	C06006
K08289	C04376
C00458	K02342
C20372	K00059
C00036	K01595
K00868	C00647
C05754	K11533
K01778	C00666
K00048	C00266
K00949	C03028
K01201	C01190
K00845	C01172
K02428	C00655
C00234	K00604
C00441	K01714
C05122	K01442
C00166	K11358
K00265	C00064
C03373	K01589
K17686	C00008
K01790	C00688
K00760	C00020
K01754	C00022
C00118	K00615
C11435	K00919
K00048	C00424
K01939	C00130
C00022	K01754
K01647	C00024
C00015	K00526
C00064	K00764
K12308	C00124
K03431	C06156
K11533	C01530
K08289	C00101
K01595	C00074
C01235	K07407
K01923	C04823
K01239	C00385
K01182	C00095
C00091	K01903
C00119	K00765
C00044	K00873
K01586	C00047
C11434	K00099
K05350	C18796
K11533	C05745
K11533	C05746
K00700	C00718
K11533	C05759
K01783	C00199
C11435	K00991
K00147	C03287
K01924	C01212
K01652	C05125
C20258	K00215
C00065	K01697
C00343	K00384
C00692	K01928
K01929	C04702
C05898	K03587
K00705	C00208
C00039	K02335
C05378	K01624
C00049	K00609
C00079	K01890
K07407	C00492
C02352	K01198
K00604	C03294
C05699	K14155
C00158	K01681
C00668	K00845
C00666	K01778
K02433	C06113
C00469	K04072
C05527	K11358
K00873	C00044
C01103	K01591
K01624	C00279
C00118	K01624
C00242	K03816
C00103	K01835
K00951	C04494
K01624	C00118
C00039	K02341
K01903	C00042
K02433	C06112
K00059	C05744
C03838	K08289
K01696	C00078
C00003	K00858
K00147	C01165
C02226	K01703
C00721	K01182
K01940	C03406
K07407	C00794
K01703	C02226
K01653	C05125
C04411	K00052
C00079	K11358
C00369	K05343
C00008	K00939
C04633	K00059
K00265	C00014
C05752	K11533
C03479	K01934
K02341	C00131
K01647	C00158
C00267	K01805
K00602	C00101
C00031	K00845
K11533	C05764
C00074	K01689
K00615	C00117
K01835	C00092
C00117	K00615
K01652	C00022
K00052	C06032
K00939	C00008
C00882	K00859
K00053	C04039
C00046	K00962
C05759	K00059
C00988	K01091
K00919	C11435
K01524	C01228
C00206	K00939
C00026	K00266
C05577	K04072
C00441	K00133
C03263	K02495
C08334	K05349
C03794	K01939
K11533	C04618
K12554	C17549
K00943	C00363
K00873	C00022
C08325	K05350
K00059	C05762
K01872	C00886
C04462	K00674
C00025	K00931
C00006	K00036
K02434	C06113
K13829	C03175
C06055	K01733
C00061	K11753
K11754	C09332
K00384	C05703
K00059	C20373
K04042	C00043
K11533	C00024
C05345	K01810
K00265	C00025
C02336	K00847
C00263	K00003
K11533	C04088
K02337	C00131
C00026	K14260
K00845	C00668
K01805	C00095
K07407	C00159
C00900	K00053
C00131	K02338
K00014	C00493
C00186	K00016
C00183	K01873
C04677	K00602
C04882	K01000
K14153	C01081
K02495	C01079
C00003	K00324
K02501	C04677
K00674	C03972
K03046	C00046
K13788	C00024
C05762	K00059
K03431	C00352
K00240	C00122
C00025	K01885
K01902	C00531
C00092	K01858
K00609	C00438
C01005	K01079
K00059	C04633
K01697	C00097
C05759	K11533
K00057	C00111
C00022	K00873
K01193	C00267
C00668	K00886
K00942	C00361
K01710	C11907
C00504	K00287
C01762	K01239
K01000	C05897
C00101	K00602
C02909	K04072
K00099	C11434
K04072	C06611
K00761	C00105
K00656	C00022
K01754	C00014
C00267	K00886
C00458	K02337
C05744	K11533
K03524	C06250
C00534	K00868
K11358	C05947
C00680	K01586
C03402	K02433
C00039	K02343
C01279	K00941
C01165	K00147
K04072	C00136
K11717	C05703
C00049	K01744
C00025	K00265
C00966	K00077
K03688	C17551
C00010	K00997
C04823	K01756
K01803	C00111
K13787	C00129
K01952	C04640
C00075	K03040
C00369	K02438
K01810	C05345
K05350	C00267
C01345	K02428
C04702	K01000
K01193	C05402
K00053	C14463
K01704	C02226
K00059	C04688
K00991	C11434
K00052	C00233
C00438	K00609
C00014	K01915
K00997	C00229
K01956	C00169
C00148	K01881
K00886	C00267
C00385	K00760
K11358	C00957
C00095	K00847
C01102	K01733
K14260	C00141
C00105	K00761
K00852	C00673
K00868	C00018
C00103	K00963
K00609	C00169
C04633	K11533
K04072	C00071
K01182	C00721
K00016	C05823
C00041	K14260
C05921	K03524
C06250	K11263
C00279	K01626
C05729	K01256
K00963	C00103
C01801	K00852
C00042	K00240
K01704	C02631
C00387	K01239
C05984	K00016
K01000	C00105
K11533	C05757
K02517	C06251
C00064	K00820
K00287	C00504
C00522	K00077
C00620	K01835
C00352	K02564
K02428	C00130
C04620	K11533
K04517	C01179
K01775	C00133
K01807	C00199
K11533	C05748
C05382	K00615
C17556	K01000
C02739	K01523
C00337	K01465
K00226	C00295
K11533	C05747
C00378	K00949
K00016	C00186
K00053	C04272
K03043	C00044
K02501	C04666
C01613	K01193
K00145	C01250
K05350	C00561
K00526	C01346
K01664	C11355
K00014	C02637
K00059	C05750
K00525	C00705
K01647	C00036
K03426	C01185
C00085	K00615
K13787	C00353
K00690	C00103
C00042	K01902
K00266	C00025
C05143	K05349
K00931	C03287
C00039	K02342
K05343	C01083
C00286	K02428
C00362	K00942
K00052	C04236
C03451	K01759
C01269	K01736
K00099	C11437
C01209	K11533
K00765	C02739
C00448	K00806
C00227	K13788
K05350	C05838
K06215	C00018
C05745	K11533
K11358	C00606
C02430	K00604
C00700	K02428
C04039	K01687
C00369	K00700
C14463	K00053
K01243	C00170
C06126	K07407
K05350	C03742
C00131	K02343
K00527	C00131
C00441	K00003
C00024	K11533
C00680	K01928
K00965	C00052
C05761	K11533
C00361	K00942
K01874	C02430
C00091	K01902
C00236	K00927
C00188	K01620
K04072	C00084
C01279	K14153
C00458	K02343
C00460	K01520
K11358	C00079
C00458	K02341
K11533	C05762
K01443	C00352
C00459	K02335
C05758	K11533
C00111	K01624
K02551	C16519
C06025	K02517
K11358	C00082
K00266	C00014
C04620	K00059
K01662	C00022
C06156	K04042
K01653	C00068
K00558	C00019
K07407	C00089
K01955	C00169
C00068	K01653
K11717	C00041
C00354	K01624
K00925	C00033
K01662	C00118
C11434	K00991
C00310	K00854
K00655	C00416
K01875	C06481
C00063	K00527
C00025	K00262
C00842	K01710
C04294	K00878
K01756	C00020
C00044	K03040
K01620	C00188
C04181	K00053
C00044	K03046
K03046	C00044
K01756	C00122
C01419	K01256
C11436	K00919
C04088	K11533
K00059	C04620
C05399	K07407
C00022	K14260
C05519	K01620
K00239	C00122
K00286	C03912
C05688	K11717
C03862	K00721
K01951	C00144
C00188	K01733
C04752	K14153
K14260	C00025
K00688	C00103
C00035	K00526
C11453	K03526
K00059	C16217
C00327	K01940
C00082	K11358
C04257	K01788
K01870	C03127
K04072	C06613
C03287	K00147
K01577	C00313
C00251	K01664
K00942	C00035
C00110	K00721
K00526	C00343
C00118	K08681
C00559	K01488
C00002	K03043
K00651	C00263
K01915	C00064
K00847	C05345
C00042	K00239
K08969	C00073
K01620	C05519
C00217	K01925
C00314	K00868
K00013	C01929
C05466	K01442
C00037	K01880
C00655	K00760
K01442	C00245
K01681	C00417
K01652	C00068
C00121	K00852
C06611	K04072
C01594	K05349
C00251	K01736
C00490	K01903
K00831	C01005
C01380	K00048
C20376	K00059
C00026	K11358
C01134	K00954
C00234	K01938
K01810	C01172
K02342	C00131
C00311	K01681
