KO_code	Transcripts
K17686	7.0
K03631	5.0
K03630	4.0
K02314	17.0
K10112	544.0
K02316	10.0
K06167	2.0
K02313	4.0
K06283	5.0
K06287	4.0
K08483	5.0
K00262	7.0
K00266	17.0
K03439	5.0
K16786	4.0
K01992	11.0
K01990	38.0
K11754	6.0
K01515	5.0
K01104	4.0
K11753	7.0
K00981	11.0
K00868	13.0
K07139	2.0
K07240	2.0
K00864	2.0
K01193	43.0
K02926	36.0
K07015	7.0
K01198	3.0
K14540	8.0
K11991	5.0
K00215	34.0
K04517	9.0
K03979	7.0
K02030	0.0
K02031	0.0
K02032	0.0
K02033	0.0
K04518	6.0
K00600	13.0
K01586	2.0
K07095	14.0
K00604	3.0
K00919	6.0
K07560	9.0
K03743	3.0
K07566	4.0
K07568	8.0
K10979	0.0
K13653	1.0
K07391	4.0
K03595	14.0
K03596	5.0
K14170	7.0
K02519	14.0
K02108	13.0
K02109	25.0
K01736	6.0
K01737	2.0
K01929	2.0
K01928	2.0
K01921	3.0
K01925	1.0
K01924	1.0
K07024	1.0
K07025	72.0
K07027	23.0
K03856	9.0
K00041	26.0
K00046	38.0
K06416	6.0
K03525	5.0
K06941	3.0
K06942	10.0
K03526	3.0
K02428	10.0
K06948	7.0
K06949	8.0
K02886	40.0
K03671	14.0
K09761	12.0
K02358	261.0
K01815	38.0
K09762	9.0
K05808	87.0
K01812	32.0
K01810	26.0
K09769	11.0
K02355	69.0
K02357	28.0
K02356	52.0
K00134	114.0
K00133	22.0
K01950	2.0
K00783	5.0
K00789	12.0
K03070	13.0
K01258	4.0
K03694	5.0
K03271	19.0
K10026	3.0
K03177	7.0
K06131	11.0
K00554	14.0
K00557	7.0
K09748	5.0
K12574	4.0
K00558	9.0
K12573	10.0
K00951	13.0
K00954	17.0
K08303	3.0
K01552	22.0
K06183	14.0
K11717	10.0
K06187	17.0
K01493	14.0
K02601	20.0
K02600	11.0
K01495	4.0
K03550	7.0
K03551	12.0
K07584	47.0
K03555	7.0
K01778	4.0
K05985	10.0
K01770	6.0
K01775	1.0
K13059	4.0
K07456	10.0
K02895	47.0
K02892	36.0
K02890	40.0
K01784	24.0
K01783	7.0
K07699	56.0
K02945	28.0
K02520	26.0
K03469	1.0
K02111	24.0
K02528	7.0
K02529	52.0
K02110	24.0
K01914	5.0
K01854	7.0
K06180	17.0
K07770	25.0
K02115	24.0
K03786	8.0
K03789	3.0
K07177	14.0
K07079	3.0
K07075	2.0
K01358	38.0
K03601	9.0
K06173	2.0
K03466	11.0
K06178	5.0
K01491	10.0
K09710	4.0
K03734	3.0
K03737	84.0
K03733	21.0
K04075	15.0
K04072	35.0
K00854	12.0
K00857	3.0
K00850	27.0
K04759	1.0
K04758	1.0
K00995	20.0
K00997	7.0
K00991	9.0
K00859	4.0
K06382	0.0
K03048	18.0
K07258	3.0
K06386	34.0
K03043	21.0
K03040	56.0
K03046	53.0
K03151	2.0
K02931	67.0
K02933	62.0
K02935	46.0
K01200	61.0
K03429	51.0
K01000	1.0
K10563	8.0
K03424	17.0
K00638	4.0
K00925	12.0
K00927	37.0
K00928	16.0
K14441	10.0
K07650	18.0
K00773	8.0
K02986	47.0
K02982	46.0
K02988	64.0
K02113	19.0
K02112	29.0
K03581	6.0
K06925	2.0
