KO_code	Compound_codes
K02948	
K00287	C00101,C00415,C00415,C00101,C00101,C00101,C00101,C00415,C00415,C00101,C00101,C00101,C00415,C00504,C00504,C00415,C00504,C00504
K02946	
K06969	
K01689	C00074,C00631,C00074,C00074,C00074,C00074,C00074
K01686	C00204,C00204
K01685	C00204,C00817
K05366	
K01442	C00245,C00695,C00695,C00037,C02528,C02528,C00245,C00037,C00695,C00695
K01443	C00352,C00357
K00662	
K00661	
K01448	
K01449	
K06997	
K02493	
K02888	
K02495	C01079,C01079,C01079
K02884	
K02887	
K02886	
K02881	
K04567	C01931
K09808	
K06442	
K10773	
K01613	C00350,C02737
K00599	C01152,C05831,C05659,C06199,C05830,C11433,C11433,C18259,C18259,C18260,C18260
K01619	C00118
K03545	
K02834	
K03429	C04046,C00641
K02836	
K02838	
K03426	C00455,C01185
K03427	
K07007	
K09117	
K03616	
K02337	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02335	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K06147	
K02238	
K00527	C00131,C00131,C00286,C00286,C00343,C00458,C00458,C00343
K01839	C00117,C00117,C00673
K03592	
K01835	C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00117,C00117,C00092,C00092
K01286	
K16899	
K16898	
K00528	
K11069	
K03723	
K11068	
K04069	
K04068	
K04066	
K03686	
K03687	
K00841	C04390,C05539,C05539,C04390
K00847	C05345,C05345,C05345,C05345
K00845	C00092,C00092,C00092,C01172,C01172,C01172,C00668,C00668,C00668,C00668,C00668,C00267,C00668,C00668,C00668
K04486	C00860,C00860,C00860,C00860
K01534	
K01537	
K07301	
K03111	
K06399	
K06398	
K03784	C00147,C00147,C00262,C00262,C00242,C00242,C00242,C00242,C00153,C00253,C00385,C00385,C00385,C00106,C00106,C00559,C00147,C00262,C05512
K02904	
K02906	
K15738	
K01880	C02412
K01881	C02702
K01735	C00944,C00944,C00944,C00944
K01885	C02987,C02987,C02987,C02987
K01886	C02282,C00064
K17318	
K08591	C00681,C00681,C00681
K01889	C03511
K12995	
K01154	
K01151	
K01409	
K00939	C00008,C00020,C00008,C00206,C00360
K13678	
K06410	
K07238	
K02621	
K02992	
K02622	
K01738	C00097,C00097,C00033,C00097,C00097,C00033,C00033,C00097,C00097,C00097
K02994	
K11070	
K11071	
K11072	
K15987	
K02470	
K03574	
K03575	
K03572	
K01710	C11907,C11907,C11907,C11907,C11907
K01714	C20258,C20258,C20258,C20258,C20258
K02874	
K02876	
K03976	
K03977	
K00656	C00022,C00024,C00024,C00100
K03978	
K03979	
K02878	
K02879	
K02050	
K02051	
K14170	C00079,C00166,C00166,C00254,C00166,C00166,C00254,C00251,C00254,C00254
K03502	
K03501	
K10823	
K07124	
K07126	
K03893	
K03711	
K07029	
K01870	C03127
K01873	C02554
K09748	
K01875	C02553,C06481
K01874	C02430,C05336
K01876	C02984
K06023	
K09747	
K05343	C01083,C01083,C00721,C00721
K01971	
K01972	
K13292	
K05919	
K07056	
K07053	
K03470	
K00014	C02637,C00493,C02637,C00493
K03624	
K03625	
K03151	C15814,C15813
K03152	
K03621	C00681,C00681,C00681
K03091	
K13993	
K03629	
K09145	
K03527	C00129,C00129,C00129,C00235,C00235,C00129,C00129,C00129,C00235,C00235
K02343	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K15772	
K15771	
K15770	
K00278	C00036,C00049,C05840,C05840
K04094	
K03650	
K03657	
K03655	
K03654	
K00571	
K01304	
K01119	C01367,C01368,C05822,C06193
K00975	C00498,C00498,C00103,C00498
K11749	
K07271	
K00873	C00022,C00008,C00022,C00008,C00022,C00002,C00074,C00074,C00022,C00022,C00035,C00044,C00206,C00206,C00286,C00286,C00022,C00022,C00074
K00876	C00055,C00475,C00055,C00475,C00055,C00475,C00055,C00475,C00105,C00299,C00105,C00299,C00105,C00299,C00105,C00299,C00055,C00475,C00105,C00299,C00105,C00299,C00055,C00475,C00055,C00475,C00105,C00299,C00105,C00299,C00105,C00299,C00055,C00475,C00055,C00475,C16634
K00874	C04442,C00204,C04442,C04442
K02956	
K06207	
K02952	
K02950	
K04488	
K01273	
K17320	
K01883	C03125
K01756	C00020,C00122,C03794,C04677,C04677,C04677
K01752	C00022,C00065,C00022,C00022,C00014,C00022,C02218
K07979	
K02004	
K06972	
K06975	
K02003	
K00759	C00147,C00020,C00144,C00144,C04051
K00615	C00231,C00279,C00279,C00231,C00279,C00279,C00231,C00117,C00231,C00117,C00118,C05382,C00117,C00231,C00117,C00117,C00231,C00231,C00117,C00117,C00231,C00279,C00231,C00279,C00231,C00231,C00279,C00231,C00279,C00231,C00279,C00279,C00231,C12215,C12215
K06950	
K07088	
K07089	
K00756	C00178,C00672,C00214,C00106,C00106,C00475,C00380,C00106,C00106
K07574	
K07473	
K08602	
K01051	C00470,C00470,C00470
K01056	
K06379	
K06374	
K06373	
K06370	
K02503	
K01938	C00234,C00234,C00234,C00058,C00234,C00234
K01625	C00048,C00022,C00048,C00022,C05946,C00022,C00118,C04442,C00118,C00022,C00022,C00118
K01937	C00063,C00063,C00063,C00063
K00962	C00008,C00015,C00035,C00112
K00057	C00111,C00111
K00688	C00718,C00103,C00103,C00718,C00103,C00718
K03439	
K03531	
K03536	
K07406	C00124,C00031,C00089,C00124,C00116,C00137,C00124,C00159,C00124,C00794,C00124,C00124,C00492,C02686,C03692,C00124,C05402,G00092
K07010	
K03431	C06156,C00352
K07015	
K03744	
