KO_code	Transcripts
K03637	25.0
K17686	4.0
K03147	3.0
K03630	142.0
K00180	96.0
K02408	74.0
K03149	0.0
K03148	1.0
K03639	24.0
K02315	106.0
K02314	136.0
K10112	25.0
K06166	1.0
K06167	19.0
K02313	86.0
K06165	0.0
K06283	0.0
K03631	31.0
K06168	25.0
K00053	3.0
K06287	185.0
K08483	260.0
K00260	443.0
K00266	228.0
K02341	25.0
K05845	64.0
K05847	64.0
K04083	18.0
K02016	15.0
K00971	49.0
K03438	14.0
K02400	86.0
K01992	133.0
K01843	20.0
K01990	239.0
K11755	14.0
K04749	27.0
K01515	85.0
K01104	60.0
K11753	69.0
K00981	67.0
K05592	162.0
K00868	26.0
K02010	45.0
K00680	9.0
K01681	15.0
K00865	2.0
K00864	10.0
K01297	4.0
K02871	491.0
K00248	1292.0
K01193	1.0
K02358	1447.0
K05601	28.0
K06163	1.0
K03437	10.0
K01198	0.0
K14540	44.0
K14231	62.0
K11072	6.0
K00215	122.0
K01465	65.0
K01035	0.0
K01034	0.0
K04517	15.0
K01740	13.0
K06164	1.0
K02030	22.0
K02031	13.0
K01749	38.0
K02033	352.0
K02034	346.0
K02035	529.0
K02036	0.0
K02037	0.0
K01585	7.0
K16962	40.0
K16961	57.0
K01586	33.0
K07095	112.0
K00604	46.0
K00606	15.0
K00609	26.0
K07098	25.0
K01420	9.0
K00919	40.0
K01588	34.0
K01424	105.0
K01425	32.0
K07560	34.0
K07567	528.0
K07568	25.0
K13652	5.0
K13653	221.0
K03798	214.0
K11198	6.0
K14534	164.0
K07391	0.0
K03660	18.0
K07646	33.0
K03594	1.0
K03595	76.0
K03596	66.0
K01042	5.0
K03458	13.0
K03592	26.0
K02518	294.0
K03311	230.0
K02108	299.0
K03980	37.0
K01736	10.0
K01929	31.0
K01735	12.0
K01733	9.0
K01639	119.0
K01923	159.0
K01921	17.0
K03665	68.0
K01633	56.0
K01926	216.0
K01738	6.0
K01924	121.0
K07024	82.0
K07025	11.0
K07027	26.0
K03856	13.0
K00043	150.0
K00042	0.0
K03522	2069.0
K07029	52.0
K07124	2.0
K03521	1263.0
K02422	149.0
K03523	5.0
K02420	90.0
K03525	88.0
K06941	19.0
K03527	45.0
K06411	5.0
K03529	44.0
K03711	205.0
K06949	28.0
K07141	10.0
K00925	291.0
K02499	124.0
K03671	525.0
K02881	609.0
K09775	39.0
K07461	1.0
K09761	28.0
K00634	77.0
K01814	7.0
K05808	157.0
K01811	50.0
K01810	218.0
K06042	28.0
K02355	916.0
K02357	316.0
K02356	220.0
K13275	0.0
K00134	889.0
K00133	93.0
K04042	121.0
K00131	13.0
K01956	37.0
K02799	261.0
K01955	76.0
K01952	97.0
K01953	4.0
K01951	120.0
K03299	2.0
K00783	20.0
K00784	9.0
K07736	122.0
K07737	41.0
K00788	2.0
K00789	99.0
K03296	44.0
K00030	21.0
K03294	9.0
K03073	357.0
K02956	565.0
K03070	198.0
K01259	67.0
K01258	54.0
K03075	80.0
K03696	50.0
K01255	17.0
K03716	22.0
K02012	84.0
K07321	60.0
K03177	88.0
K06442	30.0
K05896	35.0
K05895	25.0
K01870	171.0
K03076	640.0
K06131	51.0
K01873	141.0
K07079	44.0
K00554	44.0
K01872	73.0
K01687	2.0
K12574	146.0
K00949	55.0
K00558	26.0
K12573	15.0
K01838	11.0
K01012	2.0
K01179	10.0
K01876	116.0
K07217	0.0
K01879	141.0
K00812	370.0
K03719	182.0
K00817	9.0
K00951	37.0
K00950	67.0
K00954	36.0
K07219	25.0
K00128	7.0
K08301	36.0
K08302	115.0
K08303	57.0
K03486	43.0
K06967	13.0
K08309	20.0
K06180	57.0
K05795	223.0
K05796	114.0
K06183	14.0
K05792	40.0
K11754	46.0
K01493	120.0
K09903	113.0
K02600	118.0
K02970	371.0
K01495	67.0
K04027	30.0
K02419	100.0
K01677	18.0
K06399	0.0
K02412	115.0
K03551	15.0
K02410	100.0
K01678	18.0
K02416	79.0
K02417	163.0
K02414	72.0
K02415	72.0
K03284	22.0
