BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	No_Antibiotics-Mock(median)	Streptomycin-Infected(median)	Streptomycin-Mock(median)	Cefoperzone-Infected(median)	Cefoperzone-Mock(median)	Clindamycin-Infected(median)	Clindamycin-Mock(median)
1-linoleoyl-2-linolenoyl-GPC_(18:2/18:3)*	Lipid	Phosphatidylcholine_(PC)	0.7657	0.832	0.3558	0.5603	0.9592	0.3856	0.4238
1-linoleoylglycerol_(18:2)	Lipid	Monoacylglycerol	2.0699	0.8324	0.6924	1.2519	1.4067	0.6476	1.3481
1-linoleoyl-GPA_(18:2)*	Lipid	Lysophospholipid	7.5389	0.6287	0.919	0.8568	0.5041	0.7419	0.7713
1-linoleoyl-GPC_(18:2)	Lipid	Lysophospholipid	1.0358	0.6114	0.547	0.7115	1.5038	1.3327	0.9154
1-linoleoyl-GPE_(18:2)*	Lipid	Lysophospholipid	0.5405	0.5711	0.6524	0.7525	0.8618	1.3656	1.2227
1-margaroylglycerol_(17:0)	Lipid	Monoacylglycerol	3.9354	0.6116	0.757	0.4184	0.7373	0.4659	0.5975
1-methyladenine	Nucleotide	Purine_Metabolism,_Adenine_containing	0.1607	1.2057	0.9743	1.2486	1.2154	1.1151	1.0526
1-methylguanidine	Amino_Acid	Guanidino_and_Acetamido_Metabolism	1.1929	1.2145	1.1159	1.6006	1.1385	0.4558	0.7191
1-methylguanine	Nucleotide	Purine_Metabolism,_Guanine_containing	0.4389	0.2617	0.6422	1.841	1.6578	0.0824	0.0824
1-methylhistamine	Amino_Acid	Histidine_Metabolism	1.1379	0.8968	0.4637	0.8632	0.7953	0.9368	0.9414
1-methylhistidine	Amino_Acid	Histidine_Metabolism	1.2535	0.3394	0.3173	0.3537	0.7689	0.0786	0.0786
1-methylimidazoleacetate	Amino_Acid	Histidine_Metabolism	1.8813	1.2056	1.0248	0.8737	1.0162	1.141	1.2363
1-methylnicotinamide	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	0.2218	1.793	1.4529	0.712	0.9459	0.487	0.7908
1-myristoylglycerol_(14:0)	Lipid	Monoacylglycerol	1.9956	0.7244	0.9475	0.8951	0.9848	0.3919	0.6295
1-oleoyl-2-linoleoyl-GPC_(18:1/18:2)*	Lipid	Phosphatidylcholine_(PC)	0.8287	1.379	1.0865	0.7936	1.1689	0.7891	0.6124
1-oleoyl-2-linoleoyl-GPE_(18:1/18:2)*	Lipid	Phosphatidylethanolamine_(PE)	0.484	1.2266	1.223	0.6533	0.8231	2.5847	1.5161
1-oleoylglycerol_(18:1)	Lipid	Monoacylglycerol	1.9594	0.664	0.7953	1.1167	1.1149	0.6998	1.0808
1-oleoyl-GPA_(18:1)	Lipid	Lysophospholipid	2.5049	0.0382	0.0382	0.0382	0.0382	0.0382	0.0382
