BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	No_Antibiotics-Mock(median)	Streptomycin-Infected(median)	Streptomycin-Mock(median)	Cefoperzone-Infected(median)	Cefoperzone-Mock(median)	Clindamycin-Infected(median)	Clindamycin-Mock(median)
7-methylguanine	Nucleotide	Purine_Metabolism,_Guanine_containing	0.4697	1.317	1.3382	1.0921	1.0357	1.1278	1.2197
9,10-DiHOME	Lipid	Fatty_Acid,_Dihydroxy	16.6494	0.3833	0.1331	0.2602	0.1331	0.7644	0.1986
Acetylcarnitine_(C2)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	2.5795	0.351	0.536	2.9752	3.9285	0.1484	0.2228
Adenine	Nucleotide	Purine_Metabolism,_Adenine_containing	23.883	0.7425	0.8308	1.2424	3.3321	0.8808	3.3711
Adenosine	Nucleotide	Purine_Metabolism,_Adenine_containing	19.8737	1.2491	1.1654	1.0263	0.7479	0.7439	0.8251
Adenosine_5'-monophosphate_(AMP)	Nucleotide	Purine_Metabolism,_Adenine_containing	1.8583	0.836	0.643	0.1518	0.1518	0.1518	0.1518
Adipoylcarnitine_(C6-DC)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.1009	1.0278	1.1254	0.9608	0.9694	1.3447	1.2345
Adrenate_(22:4n6)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	2.177	0.7505	0.8745	0.2183	0.6429	0.3041	0.647
Afromosin	Xenobiotics	Food_Component/Plant	1.3143	2.4478	4.8718	1	1.0595	1.318	0.9518
Agmatine	Amino_Acid	Polyamine_Metabolism	0.9711	0.4633	1.8262	0.2402	0.2752	11.0926	10.5181
Alanine	Amino_Acid	Alanine_and_Aspartate_Metabolism	2.1384	0.8381	1.118	1	1.5127	0.5839	0.9092
Alanylleucine	Peptide	Dipeptide	7.9575	1.5763	1.4592	1.6758	1.1695	0.5821	0.6752
Allantoic_acid	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	0.4516	1.411	1.4886	0.7835	1.0398	0.7995	0.7418
Allantoin	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	0.0077	0.1359	0.878	1.4111	1.2842	0.074	0.0519
Alpha-hydroxyisocaproate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.0618	0.5188	0.1671	1.8695	2.4645	2.9127	2.9518
Alpha-hydroxyisovalerate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.056	0.7061	0.279	1.8071	2.2573	1.693	2.5931
Alpha-ketoglutarate	Energy	TCA_Cycle	6.3405	2.054	1.0541	0.5719	0.622	2.4456	2.1818
Alpha-muricholate	Lipid	Primary_Bile_Acid_Metabolism	29.3159	1.053	1.168	0.0579	0.0578	0.011	0.011
Alpha-tocopherol	Cofactors_and_Vitamins	Tocopherol_Metabolism	0.9233	0.8696	1.1715	0.732	1.0451	0.8453	0.6799
Alpha-tocopherol_acetate	Cofactors_and_Vitamins	Tocopherol_Metabolism	0.465	0.2299	0.8416	0.7952	1.1044	1.095	1.2296
Alpha-tocotrienol	Cofactors_and_Vitamins	Tocopherol_Metabolism	1.0643	0.7617	0.9214	0.8572	1.2593	0.7702	0.8386
Anserine	Peptide	Dipeptide_Derivative	1.5563	0.7782	0.8836	0.8715	0.9752	0.8955	1.0547
Apigenin	Xenobiotics	Food_Component/Plant	0.9458	3.6535	5.3159	0.8318	1.0874	1.2847	1.219
Apigenin_7-O(6-malonyl-beta-D-glucoside)	Xenobiotics	Food_Component/Plant	0.0022	0.557	0.7355	1.4724	1.1655	1.2108	1.0728
Arabinose	Carbohydrate	Pentose_Metabolism	13.213	2.5125	2.7456	0.5942	0.55	0.0498	0.052
Arabitol/xylitol	Carbohydrate	Pentose_Metabolism	0.0453	0.0911	1.1672	1.0123	1.0852	0.1034	1.1624
Arabonate/xylonate	Carbohydrate	Pentose_Metabolism	0.0134	0.771	1.399	0.7692	1.741	0.706	1.1808
Arachidate_(20:0)	Lipid	Long_Chain_Fatty_Acid	2.0172	0.8581	1.0694	0.6932	0.9519	0.6992	0.9848
Arachidonate_(20:4n6)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	6.1999	0.727	1.5036	0.2966	0.4101	0.4207	0.6817
Arachidonoylcarnitine_(C20:4)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.2003	0.2003	0.5909	0.3211	0.3542	0.9623	0.7508
Argininate*	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.2358	1.6223	1.1596	1	0.9715	3.8672	5.1396
Arginine	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	1.0355	0.379	0.8092	1.0623	1.4752	0.6321	0.8571
Argininosuccinate	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.1993	1.4041	1.4921	0.8927	1.126	1.2015	1.1098
Ascorbate_(Vitamin_C)	Cofactors_and_Vitamins	Ascorbate_and_Aldarate_Metabolism	6.706	3.278	0.7094	0.2623	0.2623	0.2623	0.2829
Asparagine	Amino_Acid	Alanine_and_Aspartate_Metabolism	1.183	0.1249	0.1055	1.8084	4.441	0.0828	0.097
Aspartate	Amino_Acid	Alanine_and_Aspartate_Metabolism	1.4548	0.9509	0.7507	1.6963	2.2958	0.7578	1.0474
Azelate_(nonanedioate)	Lipid	Fatty_Acid,_Dicarboxylate	4.8167	0.6481	0.8809	0.7883	0.881	1.6103	1.4627
Behenate_(22:0)*	Lipid	Long_Chain_Fatty_Acid	1.5846	0.8085	1.3209	0.6776	0.7151	0.771	0.9802
Beta-alanine	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	2.032	1.3698	1.1433	0.9112	1.0246	1	0.9698
Beta-cryptoxanthin	Xenobiotics	Food_Component/Plant	0.704	1.0637	1.4243	0.665	1.0682	0.9535	0.7264
Beta-guanidinopropanoate	Xenobiotics	Food_Component/Plant	2.2206	0.4168	0.4292	0.5269	0.572	0.1942	0.2491
Betaine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	0.3901	1.5077	1.1439	1.1016	1.2668	1.018	0.9226
Beta-muricholate	Lipid	Primary_Bile_Acid_Metabolism	303.7245	29.6671	32.2772	0.8419	1.3145	0.2818	0.206
Beta-sitosterol	Lipid	Sterol	0.7243	0.8376	0.9416	0.9287	0.9583	1.1125	0.9439
Bilirubin_(Z,Z)	Cofactors_and_Vitamins	Hemoglobin_and_Porphyrin_Metabolism	0.3581	0.6335	0.5443	0.2379	0.2379	1.2444	2.1876
Biliverdin	Cofactors_and_Vitamins	Hemoglobin_and_Porphyrin_Metabolism	0.4128	0.6279	1.1897	1.0464	1.3903	1.6273	1.8985
Biochanin_A	Xenobiotics	Food_Component/Plant	1.5751	3.7075	6.799	1	0.8651	1.0245	0.9477
Biopterin	Cofactors_and_Vitamins	Tetrahydrobiopterin_Metabolism	0.685	1.3298	1.2317	0.8831	0.9673	0.9705	0.8272
Biotin	Cofactors_and_Vitamins	Biotin_Metabolism	1.4419	0.3916	0.5095	0.1571	0.1571	0.1571	0.1571
Butyrylcarnitine_(C4)	Lipid	Fatty_Acid_Metabolism_(also_BCAA_Metabolism)	7.1834	0.2319	0.2319	0.2616	0.2319	0.2319	0.2319
Cadaverine	Amino_Acid	Lysine_Metabolism	0.1342	2.4367	4.3149	0.0607	0.0688	1.0399	1.7001
Caffeic_acid_sulfate	Xenobiotics	Xanthine_Metabolism	0.5865	0.9886	1.1254	0.9761	1.0519	1.2449	1.1951
Campesterol	Lipid	Sterol	0.7275	0.958	0.9379	0.9227	0.9553	1.044	0.9365
Caprate_(10:0)	Lipid	Medium_Chain_Fatty_Acid	2.1168	0.6585	0.3911	1.0172	0.9421	1.2199	1.3521
Carboxyethyl-GABA	Amino_Acid	Glutamate_Metabolism	1.2799	0.8821	0.9755	0.9441	0.9704	1.0556	1.0152
Carnitine	Lipid	Carnitine_Metabolism	1.3765	0.633	0.3362	0.8839	1.3553	0.6262	0.6327
Carnosine	Amino_Acid	Histidine_Metabolism	0.5749	0.936	1.3311	1.118	1.5664	1.5674	1.6447
Carotene_diol_(1)	Xenobiotics	Food_Component/Plant	0.8726	1.0025	1.2287	0.8013	1.1206	1.0544	0.9653
Carotene_diol_(2)	Xenobiotics	Food_Component/Plant	0.7397	0.7843	1.23	0.7779	1	0.9311	0.9037
Carotene_diol_(3)	Xenobiotics	Food_Component/Plant	0.9684	0.9387	1.1849	0.7081	0.9795	0.9668	0.9578
Catechol_sulfate	Xenobiotics	Benzoate_Metabolism	0.495	0.238	0.238	0.238	0.238	0.238	0.238
Ceramide_(d18:1/14:0,_d16:1/16:0)*	Lipid	Ceramides	2.098	1.2059	0.9614	0.694	1.0309	0.9756	0.8112
Ceramide_(d18:1/17:0,_d17:1/18:0)*	Lipid	Ceramides	1.4207	1.2802	0.8316	0.5576	0.7911	1.022	0.7213
Ceramide_(d18:1/20:0,_d16:1/22:0,_d20:1/18:0)*	Lipid	Ceramides	0.1967	0.3388	0.1967	0.1967	0.1967	0.1967	0.1967
Chenodeoxycholate	Lipid	Primary_Bile_Acid_Metabolism	6.2516	1.4357	1.4641	0.4558	0.3197	0.3903	0.0642
Chiro-inositol	Lipid	Inositol_Metabolism	0.0245	1.6778	1.7779	0.9297	1.0206	1.4345	1.3201
Chlorogenate	Xenobiotics	Food_Component/Plant	0.0253	1.0091	0.4811	0.8918	1.0027	1.2811	0.4587
Cholate	Lipid	Primary_Bile_Acid_Metabolism	4.1578	3.8457	2.6866	0.3952	0.8449	0.1367	0.1621
Cholate_sulfate	Lipid	Primary_Bile_Acid_Metabolism	2.3822	5.7038	1.8294	0.5783	0.8771	0.5598	0.2708
Cholesterol	Lipid	Sterol	1.1362	1.1137	0.9936	0.8648	1.0145	1.0248	1.1164
Choline	Lipid	Phospholipid_Metabolism	0.7736	0.9883	1.2638	1.4321	0.9796	1.9076	1.8392
Choline_phosphate	Lipid	Phospholipid_Metabolism	8.785	4.4924	1.9489	0.882	0.8871	0.8416	0.6132
Chrysoeriol	Xenobiotics	Food_Component/Plant	1.8099	3.5124	4.5472	0.5972	1.001	0.7079	0.4885
Cis-4-decenoylcarnitine_(C10:1)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.0818	0.3665	1.0233	0.8252	0.8022	0.0818	0.0818
Citraconate/glutaconate	Energy	TCA_Cycle	0.2459	0.3858	1.6812	0.9425	1.2811	1.8031	1.7963
Citrate	Energy	TCA_Cycle	0.7993	1.2627	1.2592	1.3446	1.1245	0.9839	0.7667
Citrulline	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	11.8466	5.2719	1.1917	0.908	0.7501	0.4813	0.5059
Clindamycin	Xenobiotics	Drug	0.1605	0.1605	0.1605	0.1605	0.1605	0.998	1.002
Coumaroylquinate_(4)	Xenobiotics	Food_Component/Plant	0.0816	0.8738	0.7124	0.9631	1.0333	1.5844	1.3005
Creatine	Amino_Acid	Creatine_Metabolism	0.9641	0.9003	1.1678	0.9272	1.4094	0.8153	0.9885
Creatinine	Amino_Acid	Creatine_Metabolism	0.0209	1.0256	1.1421	1.1362	1.2866	1.0287	1.0065
Cysteine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	0.6928	0.8816	0.9432	2.9092	3.3797	1.1313	1.5661
Cysteine_s-sulfate	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	0.148	0.2247	0.2147	1.5357	2.3287	0.9843	1.2112
Cysteine_sulfinic_acid	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	0.3893	0.5769	0.4208	1.681	3.3575	0.4582	0.3107
Cysteinylglycine	Amino_Acid	Glutathione_Metabolism	0.4032	1.1881	1.0096	1.0674	1.0181	1.1902	1.0606
Cystine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	0.4249	0.3861	0.496	1.2021	2.2951	0.4659	0.5499
Cytidine	Nucleotide	Pyrimidine_Metabolism,_Cytidine_containing	13.2824	1.3678	0.9207	0.5649	0.4878	0.6038	0.6301
Cytidine_5'-monophosphate_(5'-CMP)	Nucleotide	Pyrimidine_Metabolism,_Cytidine_containing	6.7805	2.086	1.0896	0.5424	0.5009	0.2034	0.2034
Cytosine	Nucleotide	Pyrimidine_Metabolism,_Cytidine_containing	11.6837	4.1663	0.848	16.8604	19.2623	0.4024	0.2619
Daidzein	Xenobiotics	Food_Component/Plant	0.9722	5.1774	4.6301	0.8675	0.8877	1.6175	1.0848
Daidzein_sulfate_(1)	Xenobiotics	Food_Component/Plant	0.002	1.2421	1.2933	1.0222	0.9958	1.3219	1.2472
Daidzein_sulfate_(2)	Xenobiotics	Food_Component/Plant	1e-04	1.2486	1.4571	1.0101	1.0543	1.2376	1.1348
Daidzin	Xenobiotics	Food_Component/Plant	0.0135	1.1241	1.0524	1	1.0482	1.2448	1.3223
Dehydrolithocholate	Lipid	Secondary_Bile_Acid_Metabolism	1	0.5372	0.5372	0.5372	0.5372	0.5372	0.5372
Delta-tocopherol	Cofactors_and_Vitamins	Tocopherol_Metabolism	1.09	0.6647	0.6998	1.0725	0.871	1.2179	0.876
Deoxycarnitine	Lipid	Carnitine_Metabolism	7.159	1.1525	2.3952	0.1197	0.1338	1.4927	1.8343
Deoxycholate	Lipid	Secondary_Bile_Acid_Metabolism	2249.708	0.8668	1.0281	0.9593	0.5694	0.7594	0.3547
Diacetylchitobiose	Carbohydrate	Aminosugar_Metabolism	0.6581	0.9053	1.3066	0.8981	0.9585	1.0388	0.9642
Diacylglycerol_(12:0/18:1,_14:0/16:1,_16:0/14:1)_[2]*	Lipid	Diacylglycerol	1.9793	0.8797	0.7161	1.156	1.7524	0.9758	0.7621
Diacylglycerol_(14:0/18:1,_16:0/16:1)_[1]*	Lipid	Diacylglycerol	2.1171	0.8527	0.5507	1.058	1.4125	0.8448	1.3395
Diacylglycerol_(14:0/18:1,_16:0/16:1)_[2]*	Lipid	Diacylglycerol	2.0392	0.862	0.5814	1.191	1.674	1	0.7844
Diacylglycerol_(16:1/18:2_[2],_16:0/18:3_[1])*	Lipid	Diacylglycerol	1.4258	0.8249	0.5145	1	1.5278	0.964	0.8232
Diaminopimelate	Xenobiotics	Food_Component/Plant	4.4449	2.5023	2.9164	0.1055	0.1055	0.6936	0.3156
Digalactosylglycerol*	Lipid	Glycolipid_Metabolism	0.0018	0.0018	0.0018	0.0018	0.0018	0.0018	0.0018
Digalacturonic_acid	Xenobiotics	Food_Component/Plant	1.0044	6.0176	1.0271	0.4825	0.3606	0.1933	0.1933
Dihomo-linoleate_(20:2n6)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	7.4431	0.8727	1.0462	0.407	0.5874	0.5286	0.8384
Dihomo-linolenate_(20:3n3_or_n6)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	11.8286	0.8058	1.7709	0.3915	0.5622	0.4729	0.6532
Dihydrobiopterin	Cofactors_and_Vitamins	Tetrahydrobiopterin_Metabolism	0.4296	1.015	0.9151	0.9734	1.0362	1.1386	1.1477
Dihydroferulic_acid	Xenobiotics	Food_Component/Plant	1.0263	0.2372	0.2329	0.2329	0.2329	0.2329	0.2329
Dihydroorotate	Nucleotide	Pyrimidine_Metabolism,_Orotate_containing	1.6401	0.8698	0.5868	110.0277	162.6061	0.2878	0.3309
Dimethylarginine_(SDMA_+_ADMA)	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.7029	1.0718	1.595	0.7849	1.0462	0.9188	0.97
Dimethylglycine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	9.0441	0.4571	0.4571	0.4571	0.4571	0.4571	0.4571
Dipicolinate	Xenobiotics	Food_Component/Plant	1.1053	18.3013	1.3295	1.4231	0.7326	1.0809	0.8033
Docosadienoate_(22:2n6)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	8.7819	0.8629	1.3223	0.6378	0.6498	0.5592	0.8065
Docosahexaenoate_(DHA;_22:6n3)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	5.263	0.8743	1.6529	0.4778	0.6759	0.3761	0.5773
Docosapentaenoate_(n3_DPA;_22:5n3)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	9.4808	0.8519	1.2358	0.2972	0.4738	0.4281	0.6396
Docosapentaenoate_(n6_DPA;_22:5n6)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	6.9243	0.9061	1.4589	0.4515	0.4925	0.2939	0.498
Dodecanedioate	Lipid	Fatty_Acid,_Dicarboxylate	30.717	0.6347	0.57	0.9382	0.9449	1.0204	1.106
Dopamine_3-O-sulfate	Amino_Acid	Tyrosine_Metabolism	0.2707	0.2707	0.2797	0.2707	0.2707	0.3565	0.2707
D-urobilin	Cofactors_and_Vitamins	Hemoglobin_and_Porphyrin_Metabolism	0.9782	0.5973	0.5973	0.5973	0.5973	0.5973	0.5973
Ectoine	Xenobiotics	Chemical	4.029	1.1186	0.9718	0.2604	1.316	1.5366	1.4185
Eicosanoylsphingosine_(d20:1)*	Lipid	Ceramides	1.909	1.2143	0.9301	0.708	0.7706	1.1867	0.9712
Eicosapentaenoate_(EPA;_20:5n3)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	4.0895	0.9691	1.5072	0.4707	0.6839	0.5985	0.7675
Eicosenoate_(20:1)	Lipid	Long_Chain_Fatty_Acid	3.521	0.8127	1	0.4922	0.771	0.6652	1.0277
Enterodiol	Xenobiotics	Food_Component/Plant	1	0.2925	0.2925	0.2925	0.2925	0.2925	0.2925
Enterolactone	Xenobiotics	Food_Component/Plant	1	0.5685	0.5685	0.5685	0.5685	0.5685	0.5685
Equol	Xenobiotics	Food_Component/Plant	1	0.277	0.277	0.277	0.277	0.277	0.277
Equol_glucuronide	Xenobiotics	Food_Component/Plant	0.3827	0.3827	0.3827	0.3827	0.3827	0.3827	0.8417
Equol_sulfate	Xenobiotics	Food_Component/Plant	16.4981	0.3837	0.3837	0.3837	0.3837	0.5847	1.5961
Ergothioneine	Xenobiotics	Food_Component/Plant	0.8117	1.8764	1.2415	0.7269	1.0206	0.7658	1.1184
Erucate_(22:1n9)	Lipid	Long_Chain_Fatty_Acid	2.3491	1.1947	1.2818	0.6305	0.8344	0.8895	1.0664
Erythritol	Xenobiotics	Food_Component/Plant	0.1127	2.0669	2.1643	0.941	0.8923	1.4032	1.1715
Erythronate*	Carbohydrate	Aminosugar_Metabolism	0.1717	1.464	1.4056	1.007	1.2874	1.025	1.1261
Ethylmalonate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	7.29	0.486	0.2417	0.2417	0.2417	0.6115	0.7205
Ferulate	Xenobiotics	Food_Component/Plant	10.5593	2.9194	3.916	0.6945	1.1546	0.6795	1.0498
Ferulic_acid_4-sulfate	Xenobiotics	Food_Component/Plant	0.001	0.9937	1.2994	0.9051	1.0395	0.7712	0.8037
Feruloylputrescine	Xenobiotics	Food_Component/Plant	0.0743	1.2187	1.4319	0.8358	0.9581	0.9906	0.8633
Ferulylglycine_(1)	Xenobiotics	Food_Component/Plant	0.1007	0.6363	1.2029	0.8797	0.5051	0.5679	0.5651
Ferulylglycine_(2)	Xenobiotics	Food_Component/Plant	0.1598	0.2145	0.4125	0.8046	0.9448	0.5	0.4694
Flavin_mononucleotide_(FMN)	Cofactors_and_Vitamins	Riboflavin_Metabolism	1.4403	0.0193	0.0193	0.0193	0.0193	0.0193	0.0193
Formiminoglutamate	Amino_Acid	Histidine_Metabolism	9.3396	2.7781	1.1656	0.8121	0.991	1.1201	1.1487
Formononetin	Xenobiotics	Food_Component/Plant	1.569	3.4495	5.5873	0.9007	0.9577	1.1829	0.9001
Fructose	Carbohydrate	Fructose,_Mannose_and_Galactose_Metabolism	1.0786	1.5262	0.893	1.4464	0.9339	2.0514	0.8588
Fucose	Carbohydrate	Pentose_Metabolism	3.7673	0.4105	0.4621	1.5906	1.289	0.5	0.4681
Fumarate	Energy	TCA_Cycle	0.2754	1.921	1.6	0.1091	0.0595	2.1075	3.7889
Galactarate_(mucic_acid)	Xenobiotics	Food_Component/Plant	0.109	0.109	0.109	0.8898	2.3073	0.109	0.109
Galactinol	Carbohydrate	Disaccharides_and_Oligosaccharides	0.8117	0.8117	0.8117	0.8117	0.8117	0.8117	0.8117
Galactitol_(dulcitol)	Carbohydrate	Fructose,_Mannose_and_Galactose_Metabolism	0.16	0.0767	0.0052	1.6898	1.3783	0.0495	0.0231
Galactonate	Carbohydrate	Fructose,_Mannose_and_Galactose_Metabolism	0.0606	0.847	0.9902	2.3071	3.1727	0.3437	0.3168
Galactosylglycerol*	Lipid	Glycolipid_Metabolism	0.0601	0.0601	0.0601	0.0601	0.0601	0.0601	0.0601
Galacturonate	Xenobiotics	Food_Component/Plant	48.0672	15.7757	0.9479	2.1151	2.5361	0.647	0.4827
Gamma-aminobutyrate_(GABA)	Amino_Acid	Glutamate_Metabolism	1.2884	2.1138	1.0697	0.7662	0.8543	1.229	1.276
Gamma-glutamyl-2-aminobutyrate	Peptide	Gamma-glutamyl_Amino_Acid	0.9373	0.9355	0.9153	0.1655	0.1655	0.1655	0.7251
Gamma-glutamylalanine	Peptide	Gamma-glutamyl_Amino_Acid	1.3417	0.8664	0.8228	0.4235	0.7407	0.2386	0.1438
Gamma-glutamyl-alpha-lysine	Peptide	Gamma-glutamyl_Amino_Acid	2.0043	1.1563	1.3031	0.4117	0.5212	1.2068	1.294
Gamma-glutamyl-epsilon-lysine	Peptide	Gamma-glutamyl_Amino_Acid	0.1392	0.9647	1.0253	1.2704	0.9485	0.763	0.8199
Gamma-glutamylglutamate	Peptide	Gamma-glutamyl_Amino_Acid	1.3105	0.8004	0.5279	0.7661	1.1373	0.9416	1.1935
Gamma-glutamylglutamine	Peptide	Gamma-glutamyl_Amino_Acid	0.9797	0.2991	0.4367	0.2644	0.8578	0.7338	0.8936
Gamma-glutamylglycine	Peptide	Gamma-glutamyl_Amino_Acid	0.1613	1.0141	0.9092	0.9879	0.876	1.0093	1.2056
Gamma-glutamylhistidine	Peptide	Gamma-glutamyl_Amino_Acid	0.6562	1.0546	0.9062	0.8246	1	0.9762	1.3217
Gamma-glutamylisoleucine*	Peptide	Gamma-glutamyl_Amino_Acid	0.2169	0.7099	0.2444	2.5767	3.158	3.8399	3.2159
Gamma-glutamylleucine	Peptide	Gamma-glutamyl_Amino_Acid	1.4158	0.684	0.9419	0.7725	1.5061	1.7956	1.7863
Gamma-glutamylmethionine	Peptide	Gamma-glutamyl_Amino_Acid	1.3459	1.2744	7.4466	0.3597	0.6273	1.5016	1.8137
Gamma-glutamylphenylalanine	Peptide	Gamma-glutamyl_Amino_Acid	1.0266	0.9041	0.7868	0.9909	1.0267	2.2147	1.8324
Gamma-glutamylthreonine	Peptide	Gamma-glutamyl_Amino_Acid	1.4065	0.8684	0.675	0.9138	1	0.683	0.774
Gamma-glutamyltryptophan	Peptide	Gamma-glutamyl_Amino_Acid	0.4323	0.6354	0.3307	0.4112	1.8043	0.8872	0.8927
Gamma-glutamyltyrosine	Peptide	Gamma-glutamyl_Amino_Acid	1.3127	0.6688	0.6235	0.5329	0.7295	0.9897	1.2292
Gamma-glutamylvaline	Peptide	Gamma-glutamyl_Amino_Acid	0.0607	0.554	0.613	1.0209	1.1047	1.1941	1.3348
Gamma-tocopherol/beta-tocopherol	Cofactors_and_Vitamins	Tocopherol_Metabolism	1.0498	0.6501	0.8687	0.9601	0.9914	1.1079	0.9152
Gamma-tocotrienol	Cofactors_and_Vitamins	Tocopherol_Metabolism	1.4957	0.8393	0.8304	0.6236	0.9808	0.7039	0.842
Genistein	Xenobiotics	Food_Component/Plant	0.7568	5.4867	9.8252	1.0265	0.8503	1.2599	0.8337
Genistin	Xenobiotics	Food_Component/Plant	0.1367	1.1529	0.9726	0.6992	0.5532	6.9699	5.9479
Gentisate	Amino_Acid	Tyrosine_Metabolism	21.8527	4.5584	3.3704	0.9232	0.9269	1.0807	0.8767
Glucarate_(saccharate)	Cofactors_and_Vitamins	Ascorbate_and_Aldarate_Metabolism	0.0764	0.0764	0.1806	1.7121	3.9948	0.0764	0.093
Gluconate	Xenobiotics	Food_Component/Plant	0.4075	0.5029	0.5986	9.0923	9.1125	0.4533	0.5725
Glucose	Carbohydrate	Glycolysis,_Gluconeogenesis,_and_Pyruvate_Metabolism	15.8592	1.9066	0.723	0.5566	0.2477	2.1349	1.0013
Glucose_6-phosphate	Carbohydrate	Glycolysis,_Gluconeogenesis,_and_Pyruvate_Metabolism	1	0.054	0.054	0.054	0.054	0.054	0.054
Glucuronate	Carbohydrate	Aminosugar_Metabolism	0.8563	0.5103	0.4353	4.658	4.225	0.5909	0.5534
Glutamate	Amino_Acid	Glutamate_Metabolism	1.932	0.7009	1.465	1.0429	1.6234	0.6762	0.7558
Glutamate,_gamma-methyl_ester	Amino_Acid	Glutamate_Metabolism	1.0033	0.9687	1.2783	0.5942	0.7383	0.6689	0.8957
Glutamine	Amino_Acid	Glutamate_Metabolism	1.4824	0.5239	0.6218	0.5484	1.581	0.5788	0.689
Glutaminylleucine	Peptide	Dipeptide	5.2597	1.5254	1.3259	1.2847	1.206	0.5131	0.534
Glutarate_(pentanedioate)	Lipid	Fatty_Acid,_Dicarboxylate	5.0862	0.9698	1.1994	0.8649	1.0084	1.0008	0.7912
Glutarylcarnitine_(C5-DC)	Amino_Acid	Lysine_Metabolism	0.3168	1.1553	1.1115	0.985	1.0945	1.4501	1.4866
Glycerate	Carbohydrate	Glycolysis,_Gluconeogenesis,_and_Pyruvate_Metabolism	3.1367	1.1	0.8142	1.4467	1.7043	0.7795	0.9506
Glycerol	Lipid	Glycerolipid_Metabolism	2.1811	0.8174	0.852	0.7199	0.8163	0.7664	0.73
Glycerol_3-phosphate	Lipid	Glycerolipid_Metabolism	5.8818	1.0382	1.3938	1.2839	1.4021	0.7249	0.6628
Glycerophosphoethanolamine	Lipid	Phospholipid_Metabolism	3.3809	0.9953	1.2073	1.1869	1.2622	0.7466	0.8088
Glycerophosphoglycerol	Lipid	Glycerolipid_Metabolism	10.069	0.987	0.5677	23.3683	15.6772	0.6903	0.9662
Glycerophosphoinositol*	Lipid	Phospholipid_Metabolism	1	0.533	0.7584	1.3971	1.4566	0.356	0.4888
Glycerophosphorylcholine_(GPC)	Lipid	Phospholipid_Metabolism	3.1585	0.1442	0.1442	2.1118	1	0.1442	0.1442
Glycerophosphoserine*	Lipid	Phospholipid_Metabolism	0.434	0.0204	0.0204	1.203	1.3389	0.0204	0.0204
Glycine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	0.5695	0.5899	0.8308	1.0153	1.8785	0.381	0.7128
Glycitein	Xenobiotics	Food_Component/Plant	0.4057	5.5562	7.4356	0.8534	1.0347	1.4529	1.0886
Glycocholate_sulfate	Lipid	Primary_Bile_Acid_Metabolism	0.2662	1.8067	0.4394	0.2662	0.2662	0.3194	0.2662
Glycosyl-N-palmitoyl-sphingosine_(d18:1/16:0)	Lipid	Ceramides	1.9806	1.1318	0.9527	0.8689	1.0875	0.3488	0.3092
Glycylisoleucine	Peptide	Dipeptide	3.691	1.042	1.1076	0.7734	1.1812	0.8506	1.1331
Glycylleucine	Peptide	Dipeptide	3.8538	1.3077	1.0891	0.7632	1.2722	0.7873	0.9298
Glycylvaline	Peptide	Dipeptide	3.6573	0.8718	1.0049	1.1213	1.5224	0.9478	0.912
Guanidinoacetate	Amino_Acid	Creatine_Metabolism	0.9628	1.2447	1.1168	1.2088	0.8512	0.869	0.9691
Guanine	Nucleotide	Purine_Metabolism,_Guanine_containing	8.4832	1.6622	1.1055	1.2864	1.4013	0.8258	0.8681
