Compound_code	Metabolite_name	Indegree	Outdegree
C05528	3-Sulfopyruvate	1	0
C05527	3-Sulfinylpyruvate	1	1
C00944	3-Dehydroquinate	4	0
C02430	L-Methionyl-tRNA	1	1
C00437	N-Acetylornithine	4	1
C00531	Itaconyl-CoA	2	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	1	1
C00534	Pyridoxamine	1	1
C06126	Digalactosylceramide	0	1
C01180	4-Methylthio-2-oxobutanoic_acid	1	1
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	2	2
C01185	Nicotinate_D-ribonucleotide	1	0
C05796	Galactan	0	2
C00794	D-Sorbitol	1	0
C16219	3-Oxostearoyl-[acp]	3	3
C00798	Formyl-CoA	1	1
C00227	Acetyl_phosphate	7	1
C00226	Primary_alcohol	0	1
C01236	D-Glucono-1,5-lactone_6-phosphate	5	0
C00221	beta-D-Glucose	8	6
C00385	Xanthine	1	0
C05223	Dodecanoyl-[acyl-carrier_protein]	3	4
C02504	alpha-Isopropylmalate	4	12
C00229	Acyl-carrier_protein	2	2
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	7	1
C00546	Methylglyoxal	1	0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	0	4
C01801	Deoxyribose	0	1
C00364	dTMP	2	2
C00365	dUMP	5	3
C00362	dGMP	1	0
C00363	dTDP	2	0
C00360	dAMP	1	1
C00008	ADP	6	6
C00006	NADP+	2	2
C00005	NADPH	2	0
C00003	NAD+	2	3
C00002	ATP	1	11
C00369	Starch	2	11
C05703	Methaneselenol	1	0
C04088	Octadecanoyl-[acyl-carrier_protein]	3	1
C16619	6-Thioguanosine_monophosphate	1	0
C16618	6-Thioxanthine_5'-monophosphate	1	1
C02612	(R)-2-Methylmalate	0	10
C03742	(S)-4-Hydroxymandelonitrile	2	0
C00313	Oxalyl-CoA	1	1
C00311	Isocitrate	6	5
C00310	D-Xylulose	2	2
C01931	L-Lysyl-tRNA	1	0
C00314	Pyridoxine	0	2
C00091	Succinyl-CoA	13	2
C00092	D-Glucose_6-phosphate	3	4
C00093	sn-Glycerol_3-phosphate	0	2
C00095	D-Fructose	4	2
C00096	GDP-mannose	1	1
C00097	L-Cysteine	6	4
C14099	2-Naphthaldehyde	3	0
C14090	1-Naphthaldehyde	3	0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	3	3
C00378	Thiamine	1	2
C06196	2'-Deoxyinosine_5'-phosphate	1	0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	2	4
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	5	1
C00166	Phenylpyruvate	6	8
C00167	UDP-glucuronate	6	0
C00160	Glycolate	3	0
C02984	L-Aspartyl-tRNA(Asp)	1	0
C02987	L-Glutamyl-tRNA(Glu)	4	0
C03263	Coproporphyrinogen_III	0	3
C02047	L-Leucyl-tRNA	1	0
