KO_code	Transcripts
K10213	302.0
K01119	1.0
K02520	8025.0
K03304	398.0
K07270	156.0
K10112	117.0
K03229	64.0
K00661	392.0
K03222	57.0
K00873	711.0
K03226	193.0
K03225	79.0
K00262	392.0
K06201	591.0
K03785	365.0
K04773	339.0
K02950	5.0
K03788	372.0
K02552	383.0
K09808	372.0
K07660	597.0
K08680	555.0
K01756	455.0
K01096	397.0
K00986	196.0
K06970	351.0
K01696	1.0
K02000	276.0
K02774	330.0
K05245	418.0
K08173	388.0
K01191	147.0
K01194	274.0
K00299	266.0
K09710	1.0
K06074	372.0
K13922	326.0
K03839	0.0
K16139	227.0
K09955	275.0
K03543	302.0
K09797	2.0
K03424	0.0
K00341	647.0
K08990	295.0
K00852	385.0
K00600	5.0
K00605	6.0
K01626	220.0
K11200	198.0
K16089	955.0
K07567	0.0
K00528	1.0
K13650	272.0
K02437	2.0
K07390	850.0
K07012	293.0
K07644	318.0
K06915	128.0
K07017	507.0
K01533	0.0
K03215	0.0
K13891	386.0
K13893	362.0
K03451	211.0
K08997	306.0
K12266	230.0
K06158	793.0
K07592	3037.0
K00075	0.0
K03501	1.0
K00266	0.0
K07026	323.0
K10124	526.0
K03314	366.0
K16090	263.0
K05539	455.0
K00697	356.0
K03521	349.0
K03326	431.0
K14051	379.0
K09975	299.0
K03320	1.0
K00432	435.0
K01138	589.0
K03281	0.0
K03282	1.0
K03328	0.0
K10558	197.0
K07591	284.0
K02560	428.0
K12373	0.0
K01241	283.0
K09760	0.0
K01649	2.0
K16140	341.0
K06447	272.0
K12543	367.0
K14064	546.0
K08322	176.0
K15580	728.0
K03517	0.0
K08289	619.0
K02847	209.0
K01147	435.0
K02474	0.0
K03578	311.0
K02760	231.0
K02761	320.0
K01256	465.0
K02575	352.0
K00940	341.0
K04033	431.0
K06887	180.0
K03340	2.0
K09918	1164.0
K07045	120.0
K07285	369.0
K15772	93.0
K12990	0.0
K07821	236.0
K11534	337.0
K09015	301.0
K16210	952.0
K02469	1.0
K06871	310.0
K11249	426.0
K00895	5.0
K01223	368.0
K00763	0.0
K09748	0.0
K04025	529.0
K13069	176.0
K07214	411.0
K07118	0.0
K09909	368.0
K01695	303.0
K02609	172.0
K01784	141.0
K07052	161.0
K06188	580.0
K06223	208.0
K02600	0.0
K12985	350.0
K03800	3.0
K13695	793.0
K06918	284.0
K03701	0.0
K01679	490.0
K07263	234.0
K05984	383.0
K00059	4.0
K07456	0.0
K11939	391.0
K11938	2140.0
K15771	102.0
K00673	252.0
K07749	0.0
K03969	612.0
K02775	355.0
K07690	410.0
K02773	296.0
K10537	1594.0
K03658	0.0
