C00221	K00845
K01613	C02737
K04720	C04122
K00859	C00010
C00185	K05349
K01874	C05336
K02527	C06024
C00286	K02335
C05748	K00208
K01803	C00111
K00382	C02051
K00615	C05382
C05775	K02233
C05746	K00059
K00806	C04574
C00105	K00876
C00063	K03040
C00149	K01676
K02340	C00039
K13747	C03375
C00714	K01051
C00344	K06131
K02232	C06507
K01867	C03512
K00812	C00036
K03270	C04478
K05349	C05838
K02226	C05775
K00800	C01269
K00605	C03479
C05946	K00812
K00848	C01131
C00062	K01887
K01960	C00036
C01081	K00946
C04633	K16363
K02226	C04778
C16237	K03644
C00008	K00525
K00767	C01185
K08289	C00234
K00097	C11638
C04895	K01737
K01939	C03794
C03114	K00768
C00044	K00951
C04652	K02536
C15556	K00794
C04919	K02527
C00169	K00609
C05345	K00850
C00075	K02428
C00249	K01897
K01756	C04677
C04376	K01952
K01924	C01050
C00143	K00560
K01778	C00666
K01625	C00048
K16363	C05748
C00085	K00820
K00845	C01172
C02962	K01808
C00234	K00604
K16153	C00103
C00286	K02340
K00820	C00352
K00762	C00119
C05946	K01572
C11434	K00099
K00700	C00718
K02523	C04146
C00343	K00384
C00008	K00939
C05898	K03587
K01835	C00092
C00029	K16153
C05699	K14155
K01624	C00279
C00148	K01881
K00951	C04494
K00059	C05744
C01112	K01627
K02536	C04652
C00040	K00655
C04633	K00059
K00602	C00101
K02563	C05898
K13789	C00353
C00117	K00615
K00812	C05947
K00939	C00008
K00919	C11435
C00026	K00266
C05749	K09458
C00029	K01784
C04824	K00748
K01872	C00886
C04462	K00674
K11754	C09332
C05773	K02224
K16363	C05763
C05345	K01810
K00848	C06441
K01805	C00095
K01495	C05922
C00407	K01870
K02495	C01079
C00361	K00873
C00024	K00648
K04041	C00085
C00668	K00845
K00609	C00438
C01005	K01079
C00022	K01662
C00130	K01939
K00208	C05745
K00761	C00105
K00595	C06408
K02342	C00039
C00075	K03040
K01625	C00022
K00873	C00002
C00147	K00760
C02380	K00760
K00648	C05744
K00945	C00105
K02517	C06251
C04442	K00874
K02428	C00130
K01808	C00199
K01775	C00133
C00199	K00853
K03043	C00044
K00014	C02637
C00671	K00826
K00208	C05752
C05143	K05349
K01756	C00020
C04738	K16363
