KO_code	Compound_codes
K02029	
K07814	
K06864	
K02892	
K00096	C00623,C00623
K03768	
K00099	C11434,C11437,C11437
K09121	
K01867	C03512
K01868	C02992
K01869	C02047
K04031	
K00147	C01165,C03287,C01165
K00145	C01250,C01250,C04133,C01250,C01250
K01945	C03838,C03838,C03838
K02899	
K01940	C03406,C03406,C03406,C03406,C03406
K00384	C00342,C00342,C00342,C01528,C05703
K01586	C00047,C00680,C00047,C00047,C00047
K07042	
K00382	C02051,C15972,C15972,C15972,C15972,C00091
K00027	C00022,C00022,C00022,C00011,C00022,C00011,C00022
K00790	C04631,C04631,C00043
K03088	
K03086	
K00891	C03175,C00493,C03175,C03175
K01262	
K01265	
K01267	
K03169	
K03168	
K08384	
K09157	
K11928	
K03650	
K00566	
K03648	
K06905	
K00962	C00008,C00015,C00035,C00112
K00963	C00029,C00029,C00029,C00029,C00103,C00029
K00600	C00065,C00065,C00065,C00101,C00101,C00065,C00143,C00037,C00143,C00065,C00101,C00065,C00065,C04377,C04377
K01163	
K00969	C00003,C00857,C00857
K04769	
K00806	C04574,C04574
K00805	C04216,C04216
K00800	C01269,C03175,C01269,C01269
K06217	
K06213	
K02948	
K02945	
K06969	
K02016	
K01687	C00141,C00141,C00141,C00141,C00141,C00141,C00671,C00671,C00671,C00671,C00671
K02015	
K09903	C00015,C00105
K06967	
K01681	C00158,C00311,C00311,C00311,C00417,C00158,C00158,C00158,C00417,C00417,C00417,C00311,C00311,C00417,C00417,C00417,C00417,C00311
K01443	C00352,C00357
K02389	
K01448	
K01449	
K06997	
K05810	
K02888	
K02495	C01079,C01079,C01079
K02406	
K02884	
K02887	
K02499	
K02881	
K04567	C01931
K01042	C06482,C06482
K05568	
K10773	
K11358	C00036,C00036,C00049,C00049,C00036,C00036,C00025,C00049,C00025,C00036,C00079,C00079,C00166,C00166,C00166,C00079,C00079,C01179,C01179,C01179,C01179,C01179,C01179,C01179,C00082,C00082,C00957,C00097,C05528,C05527,C00606,C05946,C05947
K01610	C00074,C00074,C00074,C00036,C00074,C00074
K02122	
K02123	
K02121	
K02124	
K08722	C00212,C00212,C00475,C00299,C00294,C00294,C00387,C00387,C00214,C00881,C00330,C00362,C00559,C00559,C03150,C01762,C01762,C01762,C05841
K00067	C03319,C03319,C00688,C00688
K00111	C00111
K03546	
K07166	
K02834	
K03429	C04046,C00641
B_subunit	
K02837	
K03424	
K07003	
K00690	C00103,C00095
K07007	
phosphate_dikinase	
K03617	
K03615	
K03614	
K03613	
K03612	
K03610	
K02337	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K06147	
K00527	C00131,C00131,C00286,C00286,C00343,C00458,C00458,C00343
K02519	
K01835	C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00117,C00117,C00092,C00092
K16899	
K00286	C03912,C00148,C03912,C00148,C03912,C00148,C03912,C00148,C01157,C04281,C01157,C04281
K00528	
K09697	
K03723	
K04069	
K04068	
K04061	
K03685	
K07718	
K03687	
K00841	C04390,C05539,C05539,C04390
K00088	C00655,C00655,C00655,C16618
K00845	C00092,C00092,C00092,C01172,C01172,C01172,C00668,C00668,C00668,C00668,C00668,C00267,C00668,C00668,C00668
K00848	C06441,C01131
K01534	
K01537	
K07301	
K06390	
K06393	
K06394	
K06397	
K06396	
K06399	
K06398	
K08974	
K02952	
K06391	
K02906	
K00075	C01050,C01050,C01050,C01050,C01050,C01050
K15738	
K01880	C02412
K01881	C02702
K01883	C03125
K01885	C02987,C02987,C02987,C02987
K01886	C02282,C00064
K17318	
K08591	C00681,C00681,C00681
K01889	C03511
K15633	C00197,C00197,C00197,C00631,C00197,C00197,C00197,C00197
K01223	C01172
K01155	
K01409	
K01159	
K00939	C00008,C00020,C00008,C00206,C00360
K00831	C03232,C01005,C03232,C03232,C01005,C03232,C06054,C06055
K00936	
K00620	C00624,C00624,C00624,C00624,C00624,C00077,C00077,C00077,C00077
K00625	C00227,C00227,C00227,C00024,C00227,C00227,C00227,C00227,C02876,C00100
K00930	C04133,C04133,C04133,C04133,C04133
K13678	
eukaryotic_type_(EC:1.1.1.42)	
K06898	
K02992	
K02996	
K02994	
K01129	C00330
K11071	
K11072	
K15987	
K02470	
K03572	
K01710	C11907,C11907,C11907,C11907,C11907
K01714	C20258,C20258,C20258,C20258,C20258
K01652	C00900,C05125,C05125,C05125,C05125,C05125,C06010,C06010,C00022,C00022,C06010,C06010,C00900,C00068,C06006,C06006,C06006,C06006,C06006
K02874	
K02876	
K03977	
K03978	
K03979	
K02878	
K02879	
K00651	C01118,C01118,C00263,C01118,C01118
K02050	
K00761	C00106,C00105
K07284	
K14170	C00079,C00166,C00166,C00254,C00166,C00166,C00254,C00251,C00254,C00254
K06438	
K03501	
K03500	
K07124	
K02372	C04246,C04246,C04246,C05754,C05754,C05754,C05751,C05751,C05751,C05763,C05763,C05763,C05760,C05760,C05760,C05748,C05748,C05748,C05758,C05758,C05758,C16221,C16221,C16221,C20374,C20374,C20378
K02371	C05745,C05745,C05745,C05223,C05223,C05223,C05749,C05749,C05749,C05752,C05752,C05752,C05755,C05755,C05755,C05761,C05761,C05761,C05764,C05764,C05764,C04088,C04088,C04088
K02907	
K03892	
K01870	C03127
K01873	C02554
K01872	C00886
K01875	C02553,C06481
K01874	C02430,C05336
K01876	C02984
K06023	
K09747	
K01972	
K13292	
K07056	
K02283	
group_3_(EC:2.1.1.-)	
K03470	
various_bacterial_and_amitochondriate_protist_(EC:4.1.2.13)	
K00013	C00135,C00135,C00135,C00135,C01929,C01929,C01929
