org_code	domain	group	genus	species
eco	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_K-12_MG1655
ecj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_K-12_W3110
ecd	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_K-12_DH10B
ebw	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_K-12_MC4100(MuLac)_BW2952
ecok	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_K-12_MDS42
ece	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O157:H7_EDL933_(EHEC)
ecs	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O157:H7_Sakai_(EHEC)
ecf	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O157:H7_EC4115_(EHEC)
etw	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O157:H7_TW14359_(EHEC)
elx	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O157:H7_Xuzhou21_(EHEC)
eoj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O26:H11_11368_(EHEC)
eoi	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O111:H-_11128_(EHEC)
eoh	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O103:H2_12009_(EHEC)
ecg	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O127:H6_E2348/69_(EPEC)
eok	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O55:H7_CB9615_(EPEC)
elr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O55:H7_RM12579_(EPEC)
ecc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O6:K2:H1_CFT073_(UPEC)
ecp	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O6:K15:H31_536_(UPEC)
eci	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O18:K1:H7_UTI89_(UPEC)
ecv	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O1:K1:H7_(APEC)
ecx	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O9_HS_(commensal)
ecw	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O139:H28_E24377A_(ETEC)
ecm	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_SMS-3-5_(environmental)
ecy	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O152:H28_SE11_(commensal)
ecr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O8_IAI1_(commensal)
ecq	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O81_ED1a_(commensal)
eck	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_55989_(EAEC)
ect	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O7:K1_IAI39_(ExPEC)
eoc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O7:K1_CE10
eum	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O17:K52:H18_UMN026_(ExPEC)
ecz	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O45:K1:H7_S88_(ExPEC)
elo	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O44:H18_042
eln	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O83:H1_NRG_857C
elh	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O78:H11:K80_H10407_(ETEC)
