taxonomy	color
Allistipes	#000099
Bacteroides	#0000CC
Odoribacter	#0000FF
Parabacteroides	#3333FF
Prevotella	#6666FF
Porphymonas	#9999FF
Clostridium	#330000
Enterococcus	#660000
Eubacterium	#990000
Lactobacillus	#CC0000
Lactococcus	#FF0000
Roseburia	#FF3333
Ruminococcus	#FF6666
Staphylococcus	#FF9999
Streptococcus	#FFCCCC
Bifidobacterium	#006600
Corynebacterium	#009900
Olsenella	#33FF33
Escherichia	#CCCC00
Akkermansia	#990099
Methanobrevibacter	#FF8000
Methanobacterium	#FF8000
Methanomethylovorans	#FF8000
Methanosarcina	#FF8000
Methanocella	#FF8000
