compound_code	compound_name	cumulative_metabolite_score	consumption_score	production_score	percentile
C02730	2-Succinylbenzoate	8.00014117992	8.0	0.0	70.0
C05528	3-Sulfopyruvate	-10.7341422018	0.0	-10.734	90.0
C16470	5-Methylhex-4-enoyl-CoA	10.244	10.244	0.0	90.0
C00027	Hydrogen_peroxide	5.807	5.807	0.0	60.0
C20359	UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate	4.08719681106	4.087	0.0	50.0
C16243	Cobalt-precorrin_5B	6.55424253282	6.554	0.0	60.0
C00026	2-Oxoglutarate	-6.3906745214	5.963	-7.193	60.0
C00944	3-Dehydroquinate	-7.34842689701	5.672	-7.741	60.0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	2.807	2.807	0.0	50.0
C02430	L-Methionyl-tRNA	-8.5465411211	3.807	-8.6	80.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	7.01093446705	7.562	-5.907	60.0
C14819	Fe3+	-10.4021437411	0.0	-10.402	90.0
C14818	Fe2+	10.4074649186	10.407	0.0	90.0
C00430	5-Aminolevulinate	-3.233	0.0	-3.233	50.0
C00436	N-Carbamoylputrescine	8.74521415591	8.785	-3.585	80.0
C00828	Menaquinone	-9.13211413079	0.0	-9.132	80.0
C00533	Nitric_oxide	4.248	4.248	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-5.72300769026	4.426	-6.216	60.0
C00826	L-Arogenate	8.72966805384	8.73	0.0	80.0
C00535	Testosterone	6.87054468582	6.871	0.0	60.0
C06126	Digalactosylceramide	10.0519114252	10.052	0.0	90.0
C00469	Ethanol	8.44134421367	8.441	0.0	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-8.62902801984	5.728	-8.81	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-8.02253800301	7.109	-8.637	70.0
C01185	Nicotinate_D-ribonucleotide	-8.49062826915	5.867	-8.708	80.0
C06128	GM4	6.42600297833	6.426	0.0	60.0
C00558	D-Tagaturonate	-8.00627974871	8.055	-9.031	70.0
C15812	[Enzyme]-S-sulfanylcysteine	-8.06040440561	3.17	-8.108	70.0
C06441	L-Xylulose_1-phosphate	10.3277034322	10.337	-3.0	90.0
C15811	[Enzyme]-cysteine	9.26193578985	9.262	0.0	80.0
C03160	2-Succinylbenzoyl-CoA	7.76863154998	7.782	-1.0	70.0
C05796	Galactan	11.525736487	11.526	0.0	90.0
C05791	D-Urobilinogen	-5.32161854643	0.0	-5.322	50.0
C00794	D-Sorbitol	-9.88953935615	0.0	-9.89	90.0
C00793	D-Cysteine	7.08711291205	7.087	0.0	60.0
C00791	Creatinine	4.14268356407	4.143	0.0	50.0
C00506	L-Cysteate	9.93208071468	9.932	0.0	90.0
C05552	Biocytin	-7.977	0.0	-7.977	70.0
C11538	Cobalt-sirohydrochlorin	-6.37482437704	0.0	-6.375	60.0
C01233	sn-Glycero-3-phosphoethanolamine	8.87050484245	8.871	0.0	80.0
C00226	Primary_alcohol	8.44134421367	8.441	0.0	70.0
C00224	Adenylyl_sulfate	-7.6100860868	2.0	-7.639	70.0
C01236	D-Glucono-1,5-lactone_6-phosphate	9.48369622872	9.484	0.0	80.0
C00221	beta-D-Glucose	-9.10314243548	7.859	-9.611	80.0
C00385	Xanthine	-8.64046881818	3.7	-8.687	80.0
C00387	Guanosine	10.2808913438	10.281	0.0	90.0
C02504	alpha-Isopropylmalate	4.12288001108	6.234	-5.854	50.0
C02505	2-Phenylacetamide	4.807	4.807	0.0	50.0
C00229	Acyl-carrier_protein	11.1869134646	11.206	-4.954	90.0
C00921	Dihydropteroate	6.62984984191	7.393	-6.109	60.0
C05841	Nicotinate_D-ribonucleoside	10.2897968135	10.29	0.0	90.0
C16393	2-Hydroxylamino-4,6-dinitrotoluene	-2.322	0.0	-2.322	50.0
C11173	SN-38	-5.32161854643	0.0	-5.322	50.0
C16396	2,4-Diamino-6-nitrotoluene	7.59592716866	7.596	0.0	60.0
C15996	7-Cyano-7-carbaguanine	5.58482329622	5.719	-2.222	50.0
C00546	Methylglyoxal	-9.1823630846	0.0	-9.182	80.0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-7.59592716866	0.0	-7.596	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-11.2629428439	0.0	-11.263	90.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	11.4943443462	11.494	0.0	90.0
C05838	cis-2-Hydroxycinnamate	-11.4943443462	0.0	-11.494	90.0
C00364	dTMP	-7.44994279103	3.585	-7.546	70.0
C00365	dUMP	-8.65341717632	2.481	-8.673	80.0
