compound_code	compound_name	cumulative_metabolite_score	consumption_score	production_score	percentile
C00362	dGMP	-7.39046326213	1.585	-7.416	60.0
C00363	dTDP	9.8683862489	10.051	-6.977	80.0
C00009	Orthophosphate	-9.63881571937	0.0	-9.639	80.0
C00008	ADP	6.2262801564	7.673	-7.013	60.0
C05831	3-Methoxyanthranilate	-7.70028288533	0.0	-7.7	70.0
C00006	NADP+	-8.79117205239	6.055	-8.993	80.0
C00005	NADPH	-7.06062597829	0.0	-7.061	60.0
C00003	NAD+	-7.81974535892	5.814	-8.141	70.0
C00002	ATP	10.4472362099	10.545	-6.608	90.0
C00369	Starch	6.7686072446	7.142	-5.008	60.0
C05703	Methaneselenol	-9.90909123151	0.0	-9.909	90.0
C00376	Retinal	-7.71434152332	0.0	-7.714	70.0
C19725	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate	2.32093333332	3.459	-2.585	50.0
C00632	3-Hydroxyanthranilate	7.47998382086	7.48	0.0	60.0
C01412	Butanal	9.39307546982	9.393	0.0	80.0
C16619	6-Thioguanosine_monophosphate	-10.3075315255	0.0	-10.308	90.0
C16618	6-Thioxanthine_5'-monophosphate	-7.5397156254	6.742	-8.195	70.0
C02612	(R)-2-Methylmalate	8.99821745079	8.998	0.0	80.0
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	-7.56833356324	0.0	-7.568	70.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-10.0307589137	0.0	-10.031	90.0
C16614	6-Methylmercaptopurine	10.0307589137	10.031	0.0	90.0
C03742	(S)-4-Hydroxymandelonitrile	-11.4943443462	0.0	-11.494	90.0
C00645	N-Acetyl-D-mannosamine	-6.77942988888	0.0	-6.779	60.0
C00312	L-Xylulose	9.32639136687	9.326	0.0	80.0
C00311	Isocitrate	-7.28219187591	0.0	-7.282	60.0
C00310	D-Xylulose	-10.1660745308	9.353	-10.816	90.0
C01242	S-Aminomethyldihydrolipoylprotein	-7.47845048173	6.101	-7.948	70.0
C01931	L-Lysyl-tRNA	-10.3347507339	0.0	-10.335	90.0
C00315	Spermidine	-8.82812798477	0.0	-8.828	80.0
C01528	Hydrogen_selenide	-9.77161960853	1.0	-9.775	80.0
C00091	Succinyl-CoA	-11.3771170283	5.94	-11.41	90.0
C00092	D-Glucose_6-phosphate	-8.04205875912	9.952	-10.292	70.0
C00093	sn-Glycerol_3-phosphate	-2.49163502609	7.986	-8.018	50.0
C00094	Sulfite	-4.45949298138	0.0	-4.459	50.0
C00095	D-Fructose	-9.46338072693	7.604	-9.815	80.0
C00096	GDP-mannose	7.78510337933	7.83	-2.807	70.0
C00097	L-Cysteine	7.1150440086	8.523	-7.84	60.0
C14099	2-Naphthaldehyde	-8.44134421367	0.0	-8.441	70.0
C06311	Galactitol_1-phosphate	-10.2838792154	0.0	-10.284	90.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-8.88613269831	0.0	-8.886	80.0
C14090	1-Naphthaldehyde	-8.44134421367	0.0	-8.441	70.0
C00189	Ethanolamine	-8.87050484245	0.0	-8.871	80.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	9.63988004968	9.721	-5.524	80.0
C02282	Glutaminyl-tRNA	-8.59892935403	4.03	-8.658	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-10.1188959029	0.0	-10.119	90.0
C03232	3-Phosphonooxypyruvate	6.10432748597	6.182	-1.926	60.0
C06193	Guanosine_3'-phosphate	-7.84564974158	0.0	-7.846	70.0
C17401	Cobalt-factor_III	-3.0	0.0	-3.0	50.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	5.169613692	5.17	0.0	50.0
C04738	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	-10.4181018196	0.0	-10.418	90.0
C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone	9.13211413079	9.132	0.0	80.0
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-9.13211413079	0.0	-9.132	80.0
C06199	Hordenine	-7.70028288533	0.0	-7.7	70.0
C00437	N-Acetylornithine	6.45593641172	6.975	-5.248	60.0
C05774	Cobinamide	8.353	8.353	0.0	70.0
C05775	alpha-Ribazole	2.22242761627	2.663	-0.737	50.0
C07118	Benzoyl_acetyl-CoA	5.169613692	5.17	0.0	50.0
C05773	Cobyrinate	6.68673784536	6.687	0.0	60.0
C05686	Adenylylselenate	-5.75495000107	0.0	-5.755	60.0
C14762	13(S)-HODE	8.82011946233	8.82	0.0	80.0
C00979	O-Acetyl-L-serine	-8.53486341456	6.85	-8.926	80.0
C05778	Sirohydrochlorin	6.06580262191	6.066	0.0	60.0
C03063	2-Oxohept-3-enedioate	2.585	2.585	0.0	50.0
C00166	Phenylpyruvate	7.97017490117	8.01	-2.809	70.0
C00167	UDP-glucuronate	-9.89273304364	0.0	-9.893	90.0
C02988	L-Histidyl-tRNA(His)	-9.57001009066	0.0	-9.57	80.0
C00180	Benzoate	-6.93643066624	0.0	-6.936	60.0
C00162	Fatty_acid	-3.90696250072	0.0	-3.907	50.0
C00163	Propanoate	11.2144841901	11.214	0.0	90.0
C02984	L-Aspartyl-tRNA(Asp)	-10.4796619181	0.0	-10.48	90.0
C03267	beta-D-Fructose_2-phosphate	1.585	1.585	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-10.2926706883	0.0	-10.293	90.0
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-5.12899294045	3.0	-5.426	50.0
C03263	Coproporphyrinogen_III	9.00033843762	9.0	0.0	80.0
C02047	L-Leucyl-tRNA	-11.2156321363	0.0	-11.216	90.0
C06567	Penicilloic_acid	-7.59977550096	0.0	-7.6	70.0
C00439	N-Formimino-L-glutamate	6.229	6.229	0.0	60.0
C03082	4-Phospho-L-aspartate	3.45156265131	7.488	-7.397	50.0
C20251	1-Keto-D-chiro-inositol	-3.45891193734	1.0	-3.7	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-11.0674277854	0.0	-11.067	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	9.26199829181	9.288	-3.459	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-8.59601406431	5.736	-8.782	80.0
C00861	L-Rhamnulose	-10.9982712366	6.322	-11.054	90.0
C01063	6-Carboxyhexanoyl-CoA	8.18509294306	8.185	0.0	70.0
C00329	D-Glucosamine	1.0	1.0	0.0	50.0
C02962	D-Allose_6-phosphate	10.0832718973	10.083	0.0	90.0
C00864	Pantothenate	6.13923139098	7.397	-6.615	60.0
C04216	all-trans-Heptaprenyl_diphosphate	-7.80705448357	0.0	-7.807	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-10.1140623448	3.322	-10.127	90.0
C01380	Ethylene_glycol	10.4438991126	10.444	0.0	90.0
C04832	Coenzyme_M_7-mercaptoheptanoylthreonine-phosphate_heterodisulfide	6.764	6.764	0.0	60.0
C01419	Cys-Gly	11.0442068086	11.044	0.0	90.0
C03360	4-Nitrophenyl_phosphate	8.47594316622	8.476	0.0	70.0
C04932	Lipid_A_disaccharide	7.78798131799	7.788	0.0	70.0
C01146	2-Hydroxy-3-oxopropanoate	-4.524	0.0	-4.524	50.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	-6.5795722189	2.322	-6.653	60.0
C01143	(R)-5-Diphosphomevalonate	2.0	2.0	0.0	50.0
C00976	GDP-D-mannuronate	-5.17	0.0	-5.17	50.0
C06510	Adenosine-GDP-cobinamide	4.24777592959	5.322	-4.392	50.0
C06041	Glycerophosphoglycoglycerolipid	-6.248	0.0	-6.248	60.0
C06040	Diglucosyl-diacylglycerol	0.00607300910697	6.229	-6.21	50.0
C08325	Amygdalin	11.4943443462	11.494	0.0	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-10.4924432897	0.0	-10.492	90.0
C17962	Demethylphosphinothricin	6.33964344955	6.34	0.0	60.0
C03406	N-(L-Arginino)succinate	-9.62536617602	4.17	-9.658	80.0
C05512	Deoxyinosine	7.07711967649	7.077	0.0	60.0
C07645	Aldophosphamide	7.71434152332	7.714	0.0	70.0
C07648	Thioguanine	10.0307589137	10.031	0.0	90.0
C07649	5-FU	9.52332007398	9.523	0.0	80.0
C04188	S-Methyl-5-thio-D-ribose_1-phosphate	5.248	5.248	0.0	50.0
C00402	D-Aspartate	-4.58456685524	0.0	-4.585	50.0
C02353	2',3'-Cyclic_AMP	7.84564974158	7.846	0.0	70.0
C00327	L-Citrulline	9.9831668734	9.983	0.0	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	6.55431242864	7.554	-6.554	60.0
C00691	2,4,6/3,5-Pentahydroxycyclohexanone	-2.65222183936	0.0	-2.652	50.0
C02463	Precorrin_2	-2.459	0.0	-2.459	50.0
C05269	3-Oxohexanoyl-CoA	-10.6999551022	0.0	-10.7	90.0
C00695	Cholic_acid	-9.21698419652	0.0	-9.217	80.0
C00083	Malonyl-CoA	4.46475734113	6.016	-5.414	50.0
C18096	D-Allulose_6-phosphate	-10.0442231208	0.0	-10.044	90.0
C02354	2',3'-Cyclic_CMP	7.84564974158	7.846	0.0	70.0
C00269	CDP-diacylglycerol	-7.46159603852	5.255	-7.745	70.0
C00501	CDP-glucose	-5.88290414414	0.0	-5.883	60.0
C16219	3-Oxostearoyl-[acp]	9.46229328212	9.542	-5.322	80.0
C00507	L-Rhamnose	11.3903022909	11.39	0.0	90.0
C18259	1-Methoxypyrene	-7.70028288533	0.0	-7.7	70.0
C00263	L-Homoserine	5.60154289955	5.987	-3.893	60.0
C00262	Hypoxanthine	6.99370255536	7.364	-5.222	60.0
C00508	L-Ribulose	-10.431753424	0.0	-10.432	90.0
C16216	3-Oxostearoyl-CoA	11.2629428439	11.263	0.0	90.0
C00267	alpha-D-Glucose	8.54711156327	9.285	-7.964	70.0
C00266	Glycolaldehyde	-10.1746546841	0.0	-10.175	90.0
C16348	cis-3-Chloroallyl_aldehyde	-5.76776807956	0.0	-5.768	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-10.7227414261	4.17	-10.738	90.0
C16074	Phenylacetonitrile	1.585	1.585	0.0	50.0
C00464	Mannan	-6.24802636872	0.0	-6.248	60.0
C00460	dUTP	6.62352318206	8.822	-8.468	60.0
C00463	Indole	-2.00902807228	1.018	-2.597	50.0
C00286	dGTP	-9.1757350783	5.935	-9.321	80.0
C00280	Androstenedione	6.87054468582	6.871	0.0	60.0
C00283	Hydrogen_sulfide	8.64740911992	8.647	0.0	70.0
C00282	Hydrogen	-4.36908554708	0.0	-4.369	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-9.53720199814	0.0	-9.537	80.0
C01962	Thiocysteine	-10.25321488	0.0	-10.253	90.0
C19887	LysW-gamma-L-alpha-aminoadipyl-6-phosphate	2.0	2.0	0.0	50.0
C02798	3-Phosphonopyruvate	-6.88292067543	4.087	-7.077	60.0
C05427	Phytyl_diphosphate	9.11129974529	9.111	0.0	80.0
C00063	CTP	11.0503235961	11.05	0.0	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	8.65823991204	8.745	-4.644	80.0
C01563	Carbamate	-7.69357265879	0.0	-7.694	70.0
C03576	2-Mercaptoethanesulfonate	-6.764	0.0	-6.764	60.0
C19745	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate	-4.392	0.0	-4.392	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	10.8549086889	10.855	0.0	90.0
C03167	Phosphonoacetaldehyde	-6.7411069029	0.0	-6.741	60.0
C18026	(2S)-Ethylmalonyl-CoA	11.2097251998	11.21	0.0	90.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	8.83441826693	8.894	-4.259	80.0
C15815	C15815	7.79775856237	7.798	0.0	70.0
C00672	2-Deoxy-D-ribose_1-phosphate	8.05554391613	8.229	-5.088	70.0
C01367	3'-AMP	-7.84564974158	0.0	-7.846	70.0
C01209	Malonyl-[acyl-carrier_protein]	9.43747993077	9.437	0.0	80.0
C00942	3',5'-Cyclic_GMP	-7.13963782744	0.0	-7.14	60.0
C01152	N(pi)-Methyl-L-histidine	-7.70028288533	0.0	-7.7	70.0
C02492	1,4-beta-D-Mannan	9.16723523315	9.297	-5.755	80.0
C00217	D-Glutamate	7.76156659562	7.882	-4.235	70.0
C00214	Thymidine	7.44056844582	8.041	-6.487	60.0
C01168	Pseudouridine_5'-phosphate	-7.40977697732	0.0	-7.41	70.0
C00212	Adenosine	10.1547651662	10.155	0.0	90.0
C13309	2-Phytyl-1,4-naphthoquinone	4.59842663396	6.386	-5.892	50.0
C00606	3-Sulfino-L-alanine	-9.90699358336	0.0	-9.907	90.0
C00036	Oxaloacetate	10.3597802076	10.383	-4.434	90.0
C00037	Glycine	9.28670852206	9.446	-6.188	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-9.34413754708	4.807	-9.405	80.0
C00032	Heme	-3.17	0.0	-3.17	50.0
C00033	Acetate	9.82213214333	9.83	-2.263	80.0
C00031	D-Glucose	10.3885442171	10.411	-4.403	90.0
C00137	myo-Inositol	-9.0994475159	0.0	-9.099	80.0
C00136	Butanoyl-CoA	8.58225361749	9.327	-8.017	70.0
C00135	L-Histidine	7.56077791567	8.061	-6.29	60.0
C00134	Putrescine	-7.0613736869	6.365	-7.755	60.0
C00133	D-Alanine	9.26319580107	9.296	-3.807	80.0
C00132	Methanol	5.807	5.807	0.0	60.0
C00131	dATP	-5.48126787702	6.371	-6.994	60.0
C00130	IMP	-8.25670701805	4.656	-8.371	70.0
C02262	D-Galactosamine	4.087	4.087	0.0	50.0
C05636	3-Hydroxykynurenamine	-6.508	0.0	-6.508	60.0
C05947	L-erythro-4-Hydroxyglutamate	2.397	2.397	0.0	50.0
C01272	1D-myo-Inositol_1,3,4,5-tetrakisphosphate	5.209	5.209	0.0	50.0
C06113	L-Aspartyl-tRNA(Asn)	-7.24191980204	0.0	-7.242	60.0
C06112	L-Glutamyl-tRNA(Gln)	-7.30740086696	4.353	-7.482	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	8.84776370941	8.939	-4.917	80.0
C00042	Succinate	10.7086120069	10.709	0.0	90.0
C00041	L-Alanine	8.62671930329	8.76	-5.261	70.0
C00040	Acyl-CoA	9.16069366961	9.161	0.0	80.0
C00047	L-Lysine	7.84792325906	8.242	-6.177	70.0
C00046	RNA	-9.97923652083	4.56	-10.013	90.0
C00044	GTP	-10.5582540409	0.0	-10.558	90.0
C03921	2-Dehydro-3-deoxy-D-glucarate	-1.585	0.0	-1.585	50.0
C00049	L-Aspartate	6.98066848837	7.13	-3.779	60.0
C00048	Glyoxylate	7.27347955438	7.313	-2.115	60.0
C14519	1-Hydroxypyrene	7.70028288533	7.7	0.0	70.0
C06481	L-Seryl-tRNA(Sec)	-10.7242940013	0.0	-10.724	90.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	7.97725226014	7.977	0.0	70.0
C06482	L-Selenocysteinyl-tRNA(Sec)	-2.0	0.0	-2.0	50.0
C14899	3-Dehydro-L-gulonate_6-phosphate	-4.392	0.0	-4.392	50.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-9.56238923324	0.0	-9.562	80.0
C04230	1-Acyl-sn-glycero-3-phosphocholine	-8.262	0.0	-8.262	70.0
C04233	2-Acyl-sn-glycero-3-phosphocholine	-8.262	0.0	-8.262	70.0
C01101	L-Ribulose_5-phosphate	10.4800821102	10.48	0.0	90.0
C01100	L-Histidinol_phosphate	-6.30362554019	3.7	-6.523	60.0
C01103	Orotidine_5'-phosphate	-7.01515798397	6.122	-7.637	60.0
C01102	O-Phospho-L-homoserine	8.05836381417	8.253	-5.267	70.0
C20082	Pseudaminic_acid	-4.8074873422	0.0	-4.807	50.0
C01107	(R)-5-Phosphomevalonate	-0.415	0.0	-0.415	50.0
C00666	LL-2,6-Diaminoheptanedioate	8.44309339315	8.531	-4.458	70.0
C03680	4-Imidazolone-5-propanoate	-7.358	0.0	-7.358	60.0
C03033	beta-D-Glucuronoside	5.32161854643	5.322	0.0	50.0
C05640	Cinnavalininate	-5.807	0.0	-5.807	60.0
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	5.271	5.271	0.0	50.0
C05122	Taurocholate	9.21698419652	9.217	0.0	80.0
C05648	5-Hydroxy-N-formylkynurenine	4.322	4.322	0.0	50.0
C01131	L-Rhamnulose_1-phosphate	10.3277034322	10.337	-3.0	90.0
C00066	tRNA	9.53720199814	9.537	0.0	80.0
C03681	5alpha-Pregnane-3,20-dione	-6.87054468582	0.0	-6.871	60.0
C03684	6-Pyruvoyltetrahydropterin	-8.80104471681	0.0	-8.801	80.0
C05715	gamma-Amino-gamma-cyanobutanoate	1.585	1.585	0.0	50.0
C03688	Apo-[acyl-carrier-protein]	8.41378904455	8.414	0.0	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-10.1140623448	3.322	-10.127	90.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	10.5377654492	10.559	-4.459	90.0
C00227	Acetyl_phosphate	-7.33865821697	3.827	-7.46	60.0
C16565	Aminopropylcadaverine	-6.74151098644	0.0	-6.742	60.0
C00191	D-Glucuronate	10.5153608394	10.519	-2.0	90.0
C00219	Arachidonate	8.262	8.262	0.0	70.0
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-7.409	0.0	-7.409	60.0
C16254	[Dihydrolipoyllysine-residue_succinyltransferase]_S-succinyldihydrolipoyllysine	-1.585	0.0	-1.585	50.0
C00957	Mercaptopyruvate	8.80426521135	8.827	-2.807	80.0
C03546	myo-Inositol_4-phosphate	8.87649199074	8.876	0.0	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.60460756499	3.663	-5.209	50.0
C00058	Formate	11.067393593	11.144	-6.877	90.0
C05345	beta-D-Fructose_6-phosphate	10.9997957178	11.004	-2.4	90.0
C00818	D-Glucarate	1.585	1.585	0.0	50.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	5.32161854643	5.322	0.0	50.0
C00424	(S)-Lactaldehyde	-10.4240581251	0.0	-10.424	90.0
C00810	(R)-Acetoin	7.954	7.954	0.0	70.0
C01037	7,8-Diaminononanoate	-7.96786585827	0.0	-7.968	70.0
C00817	D-Altronate	-8.51627773704	2.969	-8.547	80.0
C03451	(R)-S-Lactoylglutathione	7.6072968089	7.607	0.0	60.0
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-8.29021414816	0.0	-8.29	70.0
C05840	Iminoaspartate	6.91056556	6.911	0.0	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	9.05215399756	9.074	-3.0	80.0
C05466	Glycochenodeoxycholate	9.21698419652	9.217	0.0	80.0
C05465	Taurochenodeoxycholate	9.21698419652	9.217	0.0	80.0
C15809	Iminoglycine	7.92486205383	7.925	0.0	70.0
C16698	N-Acetylmuramic_acid_6-phosphate	-6.492	0.0	-6.492	60.0
C05787	Bilirubin_beta-diglucuronide	5.32161854643	5.322	0.0	50.0
C00035	GDP	-7.53850391897	5.776	-7.911	70.0
C03917	Dihydrotestosterone	-6.87054468582	0.0	-6.871	60.0
C05546	Protein_N6,N6,N6-trimethyl-L-lysine	7.977	7.977	0.0	70.0
C06056	4-Hydroxy-L-threonine	-9.8797492969	0.0	-9.88	90.0
C02693	(Indol-3-yl)acetamide	4.807	4.807	0.0	50.0
C00252	Isomaltose	6.728	6.728	0.0	60.0
C00253	Nicotinate	-9.50036550616	0.0	-9.5	80.0
C00250	Pyridoxal	8.55247392455	8.552	0.0	70.0
C00251	Chorismate	-7.87167830815	4.17	-7.978	70.0
C00256	(R)-Lactate	7.95105071387	7.951	0.0	70.0
C00257	D-Gluconic_acid	1.0	1.0	0.0	50.0
C00254	Prephenate	-6.55024837187	2.82	-6.655	60.0
C00255	Riboflavin	-6.5238371512	7.087	-7.833	60.0
C05336	Selenomethionyl-tRNA(Met)	-10.0609211039	0.0	-10.061	90.0
C00392	Mannitol	4.75484549638	4.755	0.0	50.0
C00258	D-Glycerate	-4.23891218341	4.561	-5.409	50.0
C05335	L-Selenomethionine	8.98034344394	8.997	-2.585	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-7.71434152332	0.0	-7.714	70.0
C11376	SN38_glucuronide	5.32161854643	5.322	0.0	50.0
C00395	Penicillin	7.59977550096	7.6	0.0	60.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	7.71434152332	7.714	0.0	70.0
C01081	Thiamin_monophosphate	7.17021825065	7.714	-6.044	60.0
C01083	alpha,alpha-Trehalose	-8.65837254957	6.508	-8.951	80.0
C00559	Deoxyadenosine	9.43290762544	9.482	-4.57	80.0
C00491	L-Cystine	10.25321488	10.253	0.0	90.0
C00492	Raffinose	-6.36025345187	4.644	-6.743	60.0
C00493	Shikimate	5.58881191995	5.589	0.0	60.0
C00887	Nitrous_oxide	-4.248	0.0	-4.248	50.0
C00886	L-Alanyl-tRNA	-10.7073156904	0.0	-10.707	90.0
C00885	Isochorismate	-5.83236890005	4.755	-6.392	60.0
C01697	Galactitol	10.2838792154	10.284	0.0	90.0
C00498	ADP-glucose	-11.562331087	8.323	-11.708	90.0
C00882	Dephospho-CoA	-7.74172579612	2.585	-7.782	70.0
C00881	Deoxycytidine	9.07160169078	9.072	0.0	80.0
C00078	L-Tryptophan	8.35446133212	8.397	-3.298	70.0
C00079	L-Phenylalanine	7.31964304036	7.367	-2.424	60.0
C00072	Ascorbate	5.78154291172	5.782	0.0	60.0
C00073	L-Methionine	9.08286126076	9.097	-2.459	80.0
C00071	Aldehyde	-8.05552664924	0.0	-8.056	70.0
C00077	L-Ornithine	5.8455758375	7.383	-6.774	60.0
C00074	Phosphoenolpyruvate	-12.0783001035	0.0	-12.078	90.0
C00075	UTP	10.9535652032	10.954	0.0	90.0
C05766	Uroporphyrinogen_I	7.68611089761	7.686	0.0	70.0
C16186	L-Ascorbate_6-phosphate	-3.80802630409	3.17	-4.524	50.0
C06032	D-erythro-3-Methylmalate	-4.61816954544	3.901	-5.304	50.0
C00086	Urea	7.80983411684	7.81	0.0	70.0
C00085	D-Fructose_6-phosphate	11.3220931004	11.335	-4.484	90.0
C00084	Acetaldehyde	-6.33058926242	4.462	-6.68	60.0
C02355	2',3'-Cyclic_UMP	7.84564974158	7.846	0.0	70.0
C00082	L-Tyrosine	-5.29239442546	4.232	-5.858	50.0
C00081	ITP	5.4280192897	8.253	-8.033	50.0
C00080	H+	-6.34527908097	4.369	-6.672	60.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-7.80732653026	4.807	-7.977	70.0
C03175	Shikimate_3-phosphate	-1.58417771589	5.17	-5.285	50.0
C00089	Sucrose	-8.93601042548	5.437	-9.058	80.0
