KO_code	Compound_codes
K16951	C00283,C00094,C00283,C00094,C00283,C00094
K00674	C04462,C03972,C04462,C04462
K00676	
K02777	C00668,C00668,C00689,C02995,C06188,C06187,C16698
K02775	C06311,C06311
K01784	C00052,C00052,C00029,C00052
K01783	C00231,C00231,C00199,C00199,C00231,C00231,C00231,C00231
K14155	C00022,C00097,C00155,C00155,C00155,C00155,C01962,C05698
K03629	
K02770	C01094,C01094
K07699	
K02071	
K02072	
K01788	C00357
K02526	
K02398	
K02520	
K02112	
K03305	
K02397	
K02396	
K02111	
K02528	
K02392	
K06925	
K01916	C00003,C00003
K06012	
K01915	C00064,C00064,C00064,C00064,C00064,C00064,C00064,C00064
K01918	C00864,C00864,C00864,C00864
K05919	
K06180	
K00179	
K05934	C06407,C06407,C11540,C11540
K00077	C00966,C00522,C00966
K00074	C00332,C00332,C01144,C00332,C02232,C02232,C02232,C02232
K00075	C01050,C01050,C01050,C01050,C01050,C01050
K03789	
K00865	C00197,C00197,C00197,C00258,C00197
K03701	
K02114	
K00177	C00091,C00026,C00026
K00176	C00091,C00026,C00026
K00175	C00091,C00026,C00026
K00174	C00091,C00026,C00026
K03411	
K03410	
K03413	
K02806	
K02557	
K07173	C00155,C00155
K02803	C00357
K07171	
K00375	
K02808	C16688
K03826	
K03827	
K01358	
K00194	C00237,C04488,C04488,C04488,C00101,C00024,C00237,C00440,C00101,C00024
K00197	C00237,C04488,C04488,C04488,C00101,C00024,C00237,C00440,C00101,C00024
K00196	C00237,C00237,C00011,C16399,C16399
K03608	
K03609	
K07090	
K00198	C00237,C00237,C00011,C16399,C16399
K01243	C03539,C03539,C03539,C03089,C00170
K07402	
K06173	
K06406	
K03466	
K06178	
K02601	
K15555	
K15554	
K15553	
K09710	
K09711	
K04041	C00085,C00085,C00354,C00085,C00085,C05345,C05345,C05345,C05378,C05378,C05378,C05345
K05799	
K01989	
K03735	C00084
K03736	C00084
K03737	C00022,C00022,C00024,C00024,C00022,C00022,C00024,C00022,C00022
K03800	C16238,C16238,C16237,C16237
K04078	
K04079	
K04077	
K00104	C00048,C00160,C00048,C00027,C00048
K04075	
K01985	
K03739	
K00854	C00231,C00231
K12410	
K00850	C03785,C03785,C03785,C03785,C03785,C03785,C03785,C03785,C05378,C05378,C05378,C05378,C05378,C05378,C05378,C05378
K00852	C00117,C00673
K04758	
K00995	C03892,C03892
K14229	
K00997	C00229,C00054
K00991	C11435,C11434,C11435
K00859	C00010,C00010
K06382	
K06383	
K06381	
K06387	
K06384	
K06385	
K03043	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K03040	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K03046	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K02931	
K02933	
K02935	
K02939	
K06917	
K07166	
K09787	
K01726	C02411,C06033,C06035,C06035,C06714,C06714,C11934,C11934,C11934,C13632,C13629,C13632,C14087,C14087,C14087,C14096,C14096,C14108,C14108
K03429	C04046,C00641
K01000	C04851,C00105,C04851,C00105,C05897
K07584	
K13038	C01134,C01134,C04352,C04352,C04352,C04352
K01006	C00074,C00074,C00074,C00074,C00074
K02749	C06187
K01438	C00077,C00077,C00077,C00077,C00077,C00327
K16906	
K00925	C00227,C00227,C00227,C00227,C00033,C00227,C00227,C02876
K11754	C09332,C00415,C00415
K00927	C00236,C00236,C00197,C00236,C00236,C00236,C00236
K00634	C02527,C00136
K00929	C02527,C00246
K06910	
K14441	
K01892	C02988
K01501	C00014,C00060,C00302,C00954,C01401,C00180,C00180,C07086,C07086
K07658	
K11041	
K02986	
K15342	
K03930	
K02982	
K09913	
K02988	
K02113	
K06927	
K03581	
K02110	
K02117	
K02115	
K03584	
K02563	C05898,C05893,C05893
K02119	
K02118	
K03465	C00364,C00101
K02564	C00085
K05985	
K02038	
K01649	C02504,C02504,C00141,C00024,C00141,C02504,C02504
K07258	
K11145	
K11261	C01001,C00862,C00011,C00011,C00862,C00011,C00058,C00058,C00058
K01640	C00024,C00164,C00164,C00024,C00024,C00164,C00356,C16466,C16466
K16905	
K06405	
K16907	
K07030	
K00335	
K00334	
K07035	
K09698	C06112,C00025,C02987,C02987,C02987,C02987
K00700	C00369,C00718,C00369
K00703	C00718,C00498,C00718
K07138	
K02598	
K02027	
K02026	
K06407	
K07139	
K02188	C11542,C11542
K06956	
K02020	
K03518	C00237,C00237,C00011,C16399,C16399
K06958	
K06409	
K02032	
K02029	
K02189	C16243,C16243
K06864	
K03769	
K03768	
K00099	C11434,C11437,C11437
K03763	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K13820	
K06196	
K01866	C02839
K01867	C03512
K02160	C00083,C00083,C00083,C00083,C00083,C00083,C00083,C00083,C06250,C00083,C00083
K00226	C00295,C00337
K05813	
K01868	C02992
K01869	C02047
K05816	
K05815	
K09458	C05744,C05744,C05744,C05759,C05759,C05759,C05746,C05746,C05746,C05750,C05750,C05750,C05753,C05753,C05753,C05756,C05756,C05756,C05762,C05762,C05762,C16219,C16219,C16219,C20372,C20372,C20376,C20376
K04032	C00194
K16963	
K04030	
K03517	C03722,C03722
K00600	C00065,C00065,C00065,C00101,C00101,C00065,C00143,C00037,C00143,C00065,C00101,C00065,C00065,C04377,C04377
K01945	C03838,C03838,C03838
K07456	
K00917	C03785,C03785
K07137	
K00384	C00342,C00342,C00342,C01528,C05703
K00385	C00283,C00094,C00283,C00094,C00283,C00094
K00602	C00130,C04734,C04734,C04734,C00101,C00234,C04734,C04734
K07042	
K07043	
K07040	
K07727	
K00796	C00921,C00921,C00921,C00921
K00027	C00022,C00022,C00022,C00011,C00022,C00011,C00022
K02028	
K07723	
K00790	C04631,C04631,C00043
K16698	
K05814	
K09013	
K00162	C05125,C05125,C05125,C05125,C05125,C16255,C00068,C16255,C00068,C00068,C16255
K03088	
K03086	
K02892	
K01262	
K17465	C20589,C20589
K01265	
K17467	C20589,C20589
K17466	C20589,C20589
K03169	
K03168	
K06334	
K02890	
K09989	
K01940	C03406,C03406,C03406,C03406,C03406
K00901	C00416,C00416,C00416,C00416
K10439	
K00248	C00877,C00136,C00877,C00136,C00877,C03460,C03460,C03460,C03345,C03345,C15980,C03345,C05271,C05270,C05271
K02774	C06311,C06311
K00566	
K00567	
K02078	
K00243	
K03648	
K10793	C00431
K00965	C00103,C00052,C00052,C00103,C00052,C00103,C00052
K02763	C00352
K02669	
K04763	
K00962	C00008,C00015,C00035,C00112
K00963	C00029,C00029,C00029,C00029,C00103,C00029
K01163	
K00969	C00003,C00857,C00857
K02663	
K04769	
K07183	
K00806	C04574,C04574
K00805	C04216,C04216
K07185	
K06223	
K09936	
K15460	
K10974	
K06213	
K02404	
K02948	
K05781	
K05780	C20422
K01547	
K01546	
K01548	
K02073	
K06193	C00033,C00033
K02945	
K02946	
K02409	
K02408	
K06969	
K02018	
K01689	C00074,C00631,C00074,C00074,C00074,C00074,C00074
K02016	
K02400	
K06960	
K02015	
K02012	
K06967	
K02010	
K01681	C00158,C00311,C00311,C00311,C00417,C00158,C00158,C00158,C00417,C00417,C00417,C00311,C00311,C00417,C00417,C00417,C00417,C00311
K02799	C00644
K02798	C00644
K01443	C00352,C00357
K01444	
K07741	
K00661	
K10796	C00431
K01761	C00409,C05703
K02790	C02995
K02793	C00275,C00275,C00275
K02795	C00275,C00275,C00275
K02794	C00275,C00275,C00275
K02796	C00275,C00275,C00275
K06997	
K02493	
K05810	
K02888	
K02495	C01079,C01079,C01079
K07464	
K02884	
K02887	
K02499	
K02881	
K07461	
K07462	
K06998	
K04564	
K02662	
K04567	C01931
K01042	C06482,C06482
K07667	
K06442	
K02444	
K03307	
K09779	
K02242	
K03498	
K10773	
K16849	C00204,C00817
K10670	
K02538	
K02390	
K11358	C00036,C00036,C00049,C00049,C00036,C00036,C00025,C00049,C00025,C00036,C00079,C00079,C00166,C00166,C00166,C00079,C00079,C01179,C01179,C01179,C01179,C01179,C01179,C01179,C00082,C00082,C00957,C00097,C05528,C05527,C00606,C05946,C05947
K04031	
K01611	C01137,C01137,C01137
K02083	C02091,C02091
K02123	
K02120	
K02121	
K01619	C00118
K02124	
K09861	
K03833	
K00068	C05345
K00145	C01250,C01250,C04133,C01250,C01250
K13626	
K03547	
K03546	
K03545	
K03544	
K02834	
K02835	
K02836	
K03424	
K13789	C00341,C00235,C00129,C00341,C00448,C00341,C00129,C00448,C00353,C00353,C00353
K07001	
K07007	
K00694	C00760,C00760
K07005	
K01151	
K03752	
K03753	
K03750	
K05337	
K03617	
K03616	
K03615	
K03614	
K03613	
K03612	
K03610	
K09707	
K02237	
K02232	C06507,C06506
K02233	C00194,C00194
K02231	C06509,C06509,C06510,C06510,C06509,C06509
K02337	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02335	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K06147	
K02238	
K00525	C00206,C00206,C00343,C01346,C00361,C00361,C00343,C00705,C00705
K00526	C00206,C00206,C00343,C01346,C00361,C00361,C00343,C00705,C00705
K00527	C00131,C00131,C00286,C00286,C00343,C00458,C00458,C00343
K01839	C00117,C00117,C00673
K01838	C01172
K15524	
K07047	
K01835	C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00117,C00117,C00092,C00092
K16899	
K00286	C03912,C00148,C03912,C00148,C03912,C00148,C03912,C00148,C01157,C04281,C01157,C04281
K00528	
K11069	
K00283	C01242,C00011,C00037
K00282	C01242,C00011,C00037
K03688	C05811,C05811,C17551,C17551,C17551
K03722	
K09696	
K04069	
K04068	
K02907	
K04066	
K00761	C00106,C00105
K03685	
K03686	
K03687	
K09888	
K00847	C05345,C05345,C05345,C05345
K00382	C02051,C15972,C15972,C15972,C15972,C00091
K00845	C00092,C00092,C00092,C01172,C01172,C01172,C00668,C00668,C00668,C00668,C00668,C00267,C00668,C00668,C00668
K04486	C00860,C00860,C00860,C00860
K01531	
K04720	C04122
K01534	
K03783	C00147,C00147,C00262,C00262,C00242,C00242,C00242,C00242,C00153,C00253,C00385,C00385,C00385,C00106,C00106,C00559,C00147,C00262,C05512
K01537	
K06391	
K06390	
K06393	
K06395	
K06394	
K06397	
K06396	
K06399	
K01448	
K14218	
K07301	
K00794	C04332,C04332
K05936	C06416,C06416,C16242,C16242
K03111	
K02904	
K00793	C04732,C00255,C00255
K02906	
K02950	
K03553	
K15739	
K15738	
K01881	C02702
K01928	C04877,C04877
K01886	C02282,C00064
K01887	C02163
K08591	C00681,C00681,C00681
K01226	C00092,C00092
K16651	C12147
