KO_code	Compound_codes
K06180	
K05795	
K03324	
K05791	
K11717	C05688,C05688,C05689
K06187	
K01493	C00239,C00365
K01491	C00143,C00445,C00445,C00143,C00445,C00445,C00234,C00234,C00445,C00234
K02600	
K01495	C00044,C00044,C06148,C06148,C05922,C05922,C05923,C05923
K03558	
K03559	
K07720	
K01677	C00149,C00149,C00122,C00149,C00149,C00149
K01676	C00149,C00149,C00122,C00149,C00149,C00149
K06919	
K07588	
K03550	
K03551	
K03553	
K03555	
K00599	C00135,C00632,C00780,C02442,C02470,C11432,C11432,C14519,C14519,C18261,C18261
K01104	
K01778	C00666,C00680,C00666,C00666,C00666
K01476	C00062,C00062,C00062,C00062
K05989	
K01470	C00791
K03536	
K01770	C11436,C11453,C11436
K00981	C00416,C00416,C00416
K01776	C00025,C00025
K01775	C00041,C00041
K07101	
K07107	
K07106	C00357
K02899	
K01629	C06441,C01131
K07458	
K02895	
K02892	
K02890	
K00677	C00043,C00043
K08159	
K01785	C00267,C00267,C00267
K01784	C00029,C00029,C00052,C00029
K01783	C00199,C00199,C00231,C00231,C00199,C00199,C00199,C00199
K14155	C00097,C00022,C02291,C02291,C02291,C02291,C00491,C05699
K01489	C00475,C00475,C00881,C16635
K02076	
K08156	
K02527	C04121,C04919,C04919,C04121,C04121,C06024,C04121,C06024
K08717	
KpsF/GutQ_family	
K02523	C00448,C00448
K02520	
K03469	
K03305	
K03307	
K03581	
K02528	
K02529	
K01912	C07086,C07086
K01607	C01278,C01278,C01278,C01278
K01858	C00092,C00092,C00092,C00092
K01914	C00049,C00049,C00152,C00152,C00049
K01915	C00025,C00014,C00025,C00014,C00014,C00025,C00014,C00025
K03587	C05898
K01918	C00099,C00099,C00522,C00099,C00522,C00522,C00099
K02338	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K01609	C01302,C01302,C01302,C01302
K03781	C00027,C00027,C00132,C00132,C00632
K01552	
K03783	C00212,C00212,C00294,C00294,C00330,C00330,C00387,C00387,C03150,C05841,C01762,C01762,C01762,C00526,C00526,C00147,C00559,C05512,C00262
K00076	
K00077	C00522,C00966,C00522
K03787	C00020,C00020,C00055,C00105,C00130,C00130,C00144,C00144,C00364,C00239,C00362,C00330,C00360,C00360,C00455,C00655,C00655,C00655,C01185
K00075	C04631,C04631,C04631,C04631,C04631,C04631
K03315	
K07240	
K01591	C01103,C01103
K03584	
K00177	C00026,C00011,C00091,C00091,C00011
K00176	C00026,C00011,C00091,C00091,C00011
K00175	C00026,C00011,C00091,C00091,C00011
K00174	C00026,C00011,C00091,C00091,C00011
K02551	C00885,C00885,C00885
K07175	
K02557	
K07173	C03539,C03539
K07079	
K07171	
K06925	
K07075	
K03823	C17962,C17962
K03589	
K16533	
K03827	
K01358	
K03601	
K03588	
K05792	
K03606	
K03609	
K07052	
K01119	C02353,C02355,C02354,C06194
K06188	
K06173	
K01191	
K02564	C00352
K06177	
K06179	
K06178	
K09903	C00105,C00015
K02334	
K06079	
K00763	C01185,C01185
K03544	
K06997	
K09710	
K00297	C00143,C00143,C00440,C00143,C00143,C00143,C00440,C00143
K03830	
K06076	
K07058	
K03734	
K03737	C00024,C00024,C00022,C00022,C00024,C00024,C00011,C00022,C00024,C00011,C00024
K02469	
K04078	
K03733	
K04077	
K01284	
K12339	C00979,C00283,C00979,C00283,C00979,C00283,C00283,C00979,C00283,C00979,C00979,C00979,C00979
K00100	C01096,C01412,C01412,C06548,C06548,C13638,C13638,C14762
K00854	C00310,C00310
K01673	C00011
K12410	
K00850	C01097,C01097,C01097,C01097,C01097,C01097,C01097,C01097,C05345,C05345,C05345,C05345,C05345,C05345,C05345,C05345
K04759	
K00853	C00309,C00199,C00508,C01101
K00995	C00269,C00269
K00997	C03688,C00010
K00858	C00003,C00003
K00859	C00882,C00882
K06382	
K06383	
K07259	
K07258	
K07316	
K03106	
K03043	C00002,C00002,C00044,C00046,C00063,C00063,C00075,C00075
K03040	C00002,C00002,C00044,C00046,C00063,C00063,C00075,C00075
K01126	C00670,C01233
K03046	C00002,C00002,C00044,C00046,C00063,C00063,C00075,C00075
K02931	
K10352	
K02933	
K01185	
K16089	
K01187	C00208,C00089,C00089,C00089
K00349	
K02939	
K03103	C01272
K04075	
K01487	C00242,C00385
K11991	
K03565	
K12524	C00049,C00049,C00049,C00049,C00049,C00049,C00049,C00049,C00263,C00263,C00263,C00263,C00263,C00263,C00441,C00263,C00263,C00263,C00263,C00263,C00263,C00441
K11618	
K09789	
K16649	
K09787	
K01218	C02492
K03269	C04652,C04652
K15725	
K03436	
K01000	C04702,C17556,C04702,C04882,C17556
K07584	
K03924	
K02836	
K01006	C00022,C00022,C00022,C00022,C00022
