Group	infection
CefC1M1	630
CefC1M2	630
CefC1M3	630
CefC2M1	630
CefC2M2	630
CefC2M3	630
CefC3M1	630
CefC3M2	630
CefC3M3	630
CefC4M1	mock
CefC4M2	mock
CefC4M3	mock
CefC5M1	mock
CefC5M2	mock
CefC5M3	mock
CefC6M1	mock
CefC6M2	mock
CefC6M3	mock
