Group	infection
StrepC1M1	630
StrepC1M2	630
StrepC1M3	630
StrepC2M1	630
StrepC2M2	630
StrepC2M3	630
StrepC3M1	630
StrepC3M2	630
StrepC3M3	630
StrepC4M1	mock
StrepC4M2	mock
StrepC4M3	mock
StrepC5M1	mock
StrepC5M2	mock
StrepC5M3	mock
StrepC6M1	mock
StrepC6M2	mock
StrepC6M3	mock
