Compound_code	Metabolite_name	Indegree	Outdegree
C00024	Acetyl-CoA	4	7
C00148	L-Proline	0	1
C00026	2-Oxoglutarate	2	1
C00101	Tetrahydrofolate	0	5
C00063	CTP	0	2
C00141	3-Methyl-2-oxobutanoic_acid	2	3
C00064	L-Glutamine	0	3
C00369	Starch	0	3
C00680	meso-2,6-Diaminoheptanedioate	4	1
C00123	L-Leucine	0	1
C05378	beta-D-Fructose_1,6-bisphosphate	3	4
C03785	D-Tagatose_1,6-bisphosphate	0	2
C00438	N-Carbamoyl-L-aspartate	2	1
C00022	Pyruvate	6	3
C01083	alpha,alpha-Trehalose	3	0
C00019	S-Adenosyl-L-methionine	3	1
C00091	Succinyl-CoA	1	2
C00058	Formate	1	3
C00236	3-Phospho-D-glyceroyl_phosphate	6	1
C00011	CO2	0	4
C00354	D-Fructose_1,6-bisphosphate	1	4
C00111	Glycerone_phosphate	1	0
C00073	L-Methionine	1	3
C00152	L-Asparagine	1	2
C00118	D-Glyceraldehyde_3-phosphate	3	6
C00002	ATP	0	2
C00666	LL-2,6-Diaminoheptanedioate	1	4
C00075	UTP	0	2
C05345	beta-D-Fructose_6-phosphate	4	3
C00085	D-Fructose_6-phosphate	4	1
C00084	Acetaldehyde	1	0
C00234	10-Formyltetrahydrofolate	5	1
C02504	alpha-Isopropylmalate	4	2
C00046	RNA	7	1
C00044	GTP	1	1
C02702	L-Prolyl-tRNA(Pro)	1	0
C00049	L-Aspartate	2	2
C00169	Carbamoyl_phosphate	4	1
C02047	L-Leucyl-tRNA	1	0
C00189	Ethanolamine	0	1
