KO_code	Transcripts
K02112	10.0
K07467	0.0
K04759	0.0
K02400	0.0
K03615	0.0
K02118	0.0
K03169	1032.0
K00609	0.0
K01649	0.0
K01938	0.0
K08384	0.0
K03043	2.0
K06147	35.0
K00839	0.0
K06996	0.0
K00134	1140.0
K02018	0.0
K06894	0.0
K08303	0.0
P-type_1	0.0
K01955	0.0
K02881	3.0
K01953	0.0
K00174	0.0
K09955	0.0
K07814	0.0
K03925	0.0
K00789	89.0
K01990	23.0
K02438	0.0
CTn3-Orf3	0.0
K15726	0.0
K05311	0.0
K03884	238.0
Tn1549-like	0.0
K01751	0.0
K08302	0.0
K02412	0.0
K07586	0.0
CTn1-Orf1	0.0
K01104	21.0
K09384	34.0
K01778	41.0
K07035	0.0
K03088	0.0
K02757	0.0
K01869	0.0
K06333	0.0
K03878	105.0
K04041	0.0
K06334	0.0
K03798	0.0
K01881	0.0
K03521	0.0
K03735	0.0
K03737	2.0
K03406	0.0
K03438	0.0
K02988	2.0
K12997	12.0
