KO_code	Compound_codes
K01782	C01144,C01144,C01144,C01144,C01144,C00332,C01144,C01144,C01144,C01144,C00877,C00877,C00877,C00877,C00877,C00877,C01144,C01144,C00877,C01144,C05668,C00894,C05668,C05668,C05668,C05668,C01144,C01144,C05998,C05262,C05262,C05262,C05262,C04405,C04405,C04405,C03345,C04405,C04405,C03460,C03460,C05259,C05258,C05259,C05258,C05258,C05258,C05258,C05258,C05261,C05260,C05261,C05260,C05260,C05260,C05260,C05260,C05263,C05262,C05263,C05262,C05264,C05264,C05264,C05264,C05267,C05266,C05267,C05266,C05266,C05266,C05266,C05266,C05269,C05268,C05269,C05268,C05268,C05268,C05268,C05268,C06001,C06001,C11946,C11945,C14145,C14145,C14145,C14145,C14144,C14144,C14144,C14144,C16387,C16387,C16468,C16468,C16469,C16469
K02770	C00095,C00095
K10538	
K10539	
K16291	
K02071	
K02072	
K02073	
K02526	
K02527	C04121,C04919,C04919,C04121,C04121,C06024,C04121,C06024
K06908	
K11751	C00020,C00020,C00055,C00105,C00130,C00130,C00144,C00144,C00364,C00239,C00362,C00330,C00360,C00360,C00455,C00655,C00655,C00655,C01185
K02399	
K02523	C00448,C00448
K02520	
K02521	
K03305	
K03304	
K02397	
K02396	
K02390	
K02393	
K02529	
K01912	C07086,C07086
K01910	
K03580	
K07113	
K01914	C00049,C00049,C00152,C00152,C00049
K01915	C00025,C00014,C00025,C00014,C00014,C00025,C00014,C00025
K02441	
K01918	C00099,C00099,C00522,C00099,C00522,C00522,C00099
K01919	C00097,C00025,C00025,C00097
K01608	C00048,C00048
K00073	C00603,C00603,C00603,C00603
K06907	
K00074	C01144,C01144,C00332,C01144,C14145,C14145,C14145,C14145
K07773	
K03789	
K05939	C00638,C00229,C05973
K01591	C01103,C01103
K01232	C00689,C00689,C02995
K02553	
K02552	C00251,C00251,C00251,C00251
K02550	
K02557	
K02800	C00392
K03417	C04593
K08219	
K03820	
K02558	
K00371	C00088,C00244,C00244,C00088
K03826	
K03768	
K01358	
K03601	
K01554	
K03607	
K03609	
K03809	
K01354	
K01356	
K11932	
K02967	
K06175	
K08279	
K10109	
K10108	
K06179	
K08277	
K05685	
K09903	C00105,C00015
K08723	C00020,C00020,C00055,C00105,C00130,C00130,C00144,C00144,C00364,C00239,C00362,C00330,C00360,C00360,C00455,C00655,C00655,C00655,C01185
K06079	
K15555	
K15554	
K15553	
K15552	
K15551	
K09712	
K06073	
K06074	
K10017	
K06076	
K07757	
K05997	
K03737	C00024,C00024,C00022,C00022,C00024,C00024,C00011,C00022,C00024,C00011,C00024
K00455	C01161,C01161,C01161
K03732	
K03733	
K12339	C00979,C00283,C00979,C00283,C00979,C00283,C00283,C00979,C00283,C00979,C00979,C00979,C00979
K04072	C00084,C00084,C00084,C00084,C00084,C00084,C00226,C00469,C00469,C00469,C00469,C01412,C05576,C05577,C06611,C06613,C06611,C06612,C16348,C06612,C14089,C14089,C14089,C02909,C02909,C02909
K07673	
K00517	C03582,C03582,C02235,C02235,C09880,C09880,C09880,C09880,C13624,C13629,C13624,C13631,C13631,C14315,C14315,C16200,C16200,C00292,C00292,C06813,C06813,C14298,C14298,C14220,C14220
K00906	
K00854	C00310,C00310
K12144	
K12299	
K12410	
K12141	
K00851	C00257,C00257,C00257,C00257,C00257
K04759	
K00853	C00309,C00199,C00508,C01101
K00995	C00269,C00269
K04755	
K00990	
K07313	
K07259	
K13821	C01165,C03912,C03912,C00025,C03912,C03912,C00025,C00148,C03912,C00148,C04281,C05947,C04281,C05947,C05938
K05921	C05600,C03063,C05600,C04052,C04052,C04052
K07250	C00099,C00099,C00222,C00334,C00334,C00232,C03284
K03151	C15812,C15813,C15814
K02931	
K02933	
K02935	
K16089	
K01187	C00208,C00089,C00089,C00089
K13888	
K01894	
K01487	C00242,C00385
K03610	
K03527	C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811
K02363	
K12527	
K03550	
K12525	C00049,C00049,C00049,C00049,C00049,C00049,C00049,C00049,C00263,C00263,C00263,C00263,C00263,C00263,C00441,C00263,C00263,C00263,C00263,C00263,C00263,C00441
K12524	C00049,C00049,C00049,C00049,C00049,C00049,C00049,C00049,C00263,C00263,C00263,C00263,C00263,C00263,C00441,C00263,C00263,C00263,C00263,C00263,C00263,C00441
K09788	
K03543	
K03269	C04652,C04652
K15724	
K12529	
K11996	
K16066	C00222,C00222,C01013,C01013,C00222
K07232	
K12660	C03979
K12661	C01934
K01007	C00022,C00022,C00022,C00074,C00022,C00022
K01008	C01528,C01528
K02747	C01132
K02744	C01132,C02262
K02745	C01132
K02742	
K01439	C04421,C04421,C04421,C04421
K01438	C00437,C00437,C00437,C00437,C00437,C15532
K07679	
