compound_code	compound_name	cumulative_metabolite_score	consumption_score	production_score	percentile
C16471	5-Methyl-3-oxo-4-hexenoyl-CoA	-1.585	0.0	-1.585	50.0
C02730	2-Succinylbenzoate	9.46539860075	9.465	0.0	80.0
C05528	3-Sulfopyruvate	-9.433	0.0	-9.433	80.0
C16477	5-Fluoromuconolactone	1.585	1.585	0.0	50.0
C16476	4-Fluoromuconolactone	1.585	1.585	0.0	50.0
C02876	Propanoyl_phosphate	7.34834028908	7.37	-1.322	60.0
C00942	3',5'-Cyclic_GMP	-1.585	0.0	-1.585	50.0
C00026	2-Oxoglutarate	-7.30013059639	7.705	-8.517	70.0
C00944	3-Dehydroquinate	3.0	3.0	0.0	50.0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	-8.131	0.0	-8.131	70.0
C02430	L-Methionyl-tRNA	-8.80769036446	4.644	-8.886	80.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-5.20910185896	0.0	-5.209	60.0
C14819	Fe3+	-7.531	0.0	-7.531	70.0
C14818	Fe2+	8.4004950868	8.4	0.0	70.0
C00436	N-Carbamoylputrescine	6.392	6.392	0.0	60.0
C00437	N-Acetylornithine	6.183	6.183	0.0	60.0
C01451	Salicin	1.0	1.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	4.33294578835	6.222	-5.768	60.0
C00826	L-Arogenate	8.22865129357	8.229	0.0	70.0
C00535	Testosterone	8.093	8.093	0.0	70.0
C06126	Digalactosylceramide	9.95432158807	9.954	0.0	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-9.71215250768	6.858	-9.899	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-9.92350095018	0.0	-9.924	80.0
C01185	Nicotinate_D-ribonucleotide	7.87848599088	8.882	-7.885	70.0
C06128	GM4	9.64023985999	9.64	0.0	80.0
C00558	D-Tagaturonate	-6.19007051173	1.0	-6.229	60.0
C15812	[Enzyme]-S-sulfanylcysteine	-9.57221460739	1.0	-9.576	80.0
C06441	L-Xylulose_1-phosphate	4.087	4.087	0.0	60.0
C15811	[Enzyme]-cysteine	10.201	10.201	0.0	90.0
C15815	C15815	5.392	5.392	0.0	60.0
C00146	Phenol	-1.585	0.0	-1.585	50.0
C05796	Galactan	10.5216522184	10.522	0.0	90.0
C16388	(6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapenta-6,9,12,15,18-enoyl-CoA	-1.585	0.0	-1.585	50.0
C14145	(3S)-3-Hydroxyadipyl-CoA	-0.737	0.0	-0.737	50.0
C01102	O-Phospho-L-homoserine	-6.295	0.0	-6.295	60.0
C00794	D-Sorbitol	10.7062890959	10.812	-6.989	90.0
C03921	2-Dehydro-3-deoxy-D-glucarate	-2.585	0.0	-2.585	60.0
C05998	3-Hydroxyisovaleryl-CoA	1.585	1.585	0.0	50.0
C00791	Creatinine	1.0	1.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	9.93650993471	9.937	0.0	80.0
C01233	sn-Glycero-3-phosphoethanolamine	9.57919244369	9.579	0.0	80.0
C00226	Primary_alcohol	12.218655704	12.219	0.0	90.0
C00224	Adenylyl_sulfate	-5.85281105681	0.0	-5.853	60.0
C01236	D-Glucono-1,5-lactone_6-phosphate	8.36627646777	8.683	-6.34	70.0
C00221	beta-D-Glucose	-12.0834472123	0.0	-12.083	90.0
C00385	Xanthine	5.61120635774	7.882	-7.547	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-4.03666482298	7.062	-7.229	60.0
C02504	alpha-Isopropylmalate	7.353	7.353	0.0	60.0
C02505	2-Phenylacetamide	8.539	8.539	0.0	70.0
C00229	Acyl-carrier_protein	9.47109501062	10.087	-8.562	80.0
C00499	Allantoate	1.0	1.0	0.0	50.0
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	-2.0	0.0	-2.0	60.0
C15996	7-Cyano-7-carbaguanine	-4.79	0.0	-4.79	60.0
C00546	Methylglyoxal	-9.329	0.0	-9.329	80.0
C05766	Uroporphyrinogen_I	1.0	1.0	0.0	50.0
C00508	L-Ribulose	-9.86554964399	0.0	-9.866	80.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	11.916	11.916	0.0	90.0
C05838	cis-2-Hydroxycinnamate	-11.916	0.0	-11.916	90.0
C00364	dTMP	-6.10809061554	1.222	-6.156	60.0
C00365	dUMP	-8.90604543085	0.0	-8.906	80.0
C00362	dGMP	-7.57394135271	0.0	-7.574	70.0
C00363	dTDP	10.9545398421	10.955	0.0	90.0
C00360	dAMP	-9.244462178	1.222	-9.25	80.0
C00008	ADP	-10.2847785916	0.0	-10.285	90.0
C05831	3-Methoxyanthranilate	-3.585	0.0	-3.585	60.0
C05830	8-Methoxykynurenate	-3.585	0.0	-3.585	60.0
C00005	NADPH	-11.3714029061	0.0	-11.371	90.0
C00003	NAD+	7.59359486304	7.702	-3.907	70.0
C00002	ATP	8.7087654815	10.373	-9.826	70.0
C00369	Starch	9.58006962888	9.583	-0.415	80.0
C05703	Methaneselenol	-11.3326582138	0.0	-11.333	90.0
C00079	L-Phenylalanine	5.4210779205	6.283	-5.13	60.0
C04432	tRNA_containing_6-isopentenyladenosine	-9.20728921626	0.0	-9.207	80.0
C03582	Resveratrol	1.585	1.585	0.0	50.0
C01412	Butanal	10.9266862914	10.927	0.0	90.0
C16619	6-Thioguanosine_monophosphate	-10.4087555931	0.0	-10.409	90.0
C16618	6-Thioxanthine_5'-monophosphate	8.16054218242	8.852	-7.459	70.0
C02612	(R)-2-Methylmalate	6.229	6.229	0.0	60.0
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	-8.78123469301	0.0	-8.781	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-10.4512711325	0.0	-10.451	90.0
C16614	6-Methylmercaptopurine	10.4512711325	10.451	0.0	90.0
C03742	(S)-4-Hydroxymandelonitrile	-11.916	0.0	-11.916	90.0
C00645	N-Acetyl-D-mannosamine	-9.31461344659	0.0	-9.315	80.0
C00099	beta-Alanine	-6.09908389032	7.422	-7.907	60.0
C00311	Isocitrate	5.613	5.613	0.0	60.0
C00310	D-Xylulose	-8.53174256272	0.0	-8.532	70.0
C01242	S-Aminomethyldihydrolipoylprotein	5.381	5.381	0.0	60.0
C01931	L-Lysyl-tRNA	-10.1959253924	0.0	-10.196	90.0
C00315	Spermidine	-4.22500931307	0.379	-4.322	60.0
C00314	Pyridoxine	12.0853220327	12.085	0.0	90.0
C02225	2-Methylcitrate	-1.0	0.0	-1.0	50.0
C00091	Succinyl-CoA	-11.1194111612	8.527	-11.341	90.0
C00760	Cellulose	10.916	10.916	0.0	90.0
C00093	sn-Glycerol_3-phosphate	8.4325412383	8.433	0.0	70.0
C00094	Sulfite	-0.093	0.0	-0.093	50.0
