KO_code	Compound_codes
K03046	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K02931	
K02933	
K02935	
K16089	
K02939	
K00215	C03972,C03972,C03972,C20258,C03972,C03972,C03972,C03972,C20258,C03972
K03100	
K00208	C05745,C05745,C05745,C05223,C05223,C05223,C05749,C05749,C05749,C05752,C05752,C05752,C05755,C05755,C05755,C05761,C05761,C05761,C05764,C05764,C05764,C04088,C04088,C04088,C20375,C20375,C19846,C19846
K01000	C04851,C00105,C04851,C00105,C05897
K02836	
K01006	C00074,C00074,C00074,C00074,C00074
K02838	
K01810	C01172,C01172,C01172,C01172,C01172,C05345,C05345,C05345,C05345,C00668,C05345,C05345,C05345,C05345,C01172,C05345,C05345
K00925	C00227,C00227,C00227,C00227,C00033,C00227,C00227,C02876
K00927	C00236,C00236,C00197,C00236,C00236,C00236,C00236
K00928	C03082,C03082,C03082,C03082,C03082,C03082,C03082,C03082
K01430	C00011,C00014,C00011,C00011,C00011,C00014,C00011
K14441	
K08191	
K00773	
K07658	
K08717	
K02986	
K02982	
K02988	
K07387	
K07386	
K06926	
K03469	
K06925	
K03587	C04574
K03585	
K03584	
K02563	C05898,C05893,C05893
K03588	
K02564	C00085
K05970	
K12960	
K01729	C05392
K00700	C00369,C00718,C00369
K00703	C00718,C00498,C00718
K07138	
K06950	
K02188	C11542,C11542
K03517	C03722,C03722
K07137	
K02426	
K00097	C07335,C06055,C11638,C07335
K00099	C11434,C11437,C11437
K01866	C02839
K01867	C03512
K07107	
K01868	C02992
K01869	C02047
K09458	C05744,C05744,C05744,C05759,C05759,C05759,C05746,C05746,C05746,C05750,C05750,C05750,C05753,C05753,C05753,C05756,C05756,C05756,C05762,C05762,C05762,C16219,C16219,C16219,C20372,C20372,C20376,C20376
K07091	
K01945	C03838,C03838,C03838
K01939	C03794,C03794,C00130
K07456	
K00384	C00342,C00342,C00342,C01528,C05703
K01429	C00011,C00014,C00011,C00011,C00011,C00014,C00011
K00029	C00022,C00022,C00022,C00011,C00022,C00011,C00022,C00022,C00011,C00022
K07043	
K00382	C02051,C15972,C15972,C15972,C15972,C00091
K00796	C00921,C00921,C00921,C00921
K00794	C04332,C04332
K00793	C04732,C00255,C00255
K12997	
K00791	C04432,C04432,C04432
K00790	C04631,C04631,C00043
K09015	
K09014	
K09013	
K03088	
K03086	
K00891	C03175,C00493,C03175,C03175
K01262	
K00912	C04919,C04919
K01265	
K08974	
K03168	
K01589	C15667,C15667,C15667
K03644	C16237,C16236,C16239,C05752
K06142	
K00566	
K00567	
K00241	C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122
K00240	C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122
K00243	
K03648	
K04762	
K04763	
K00962	C00008,C00015,C00035,C00112
K04761	
K01163	
K07263	
K00806	C04574,C04574
K07185	
K00800	C01269,C03175,C01269,C01269
K15460	
K02948	
K00826	C00233,C00233,C00233,C00123,C00233,C00123,C00233,C00141,C00183,C00141,C00141,C00183,C00141,C00183,C00141,C00671,C00407,C00671,C00407,C00671,C00407,C00671
K06199	
K11720	
K02892	
K02946	
K11105	
K06969	
K01689	C00074,C00631,C00074,C00074,C00074,C00074,C00074
K02016	
K00281	C01242,C00011,C00037
K02014	
K01685	C00204,C00817
K02013	
K05367	
K05366	
K01442	C00245,C00695,C00695,C00037,C02528,C02528,C00245,C00037,C00695,C00695
K00748	C04932,C04932
K01448	
K06997	
K02493	
K02888	
K02495	C01079,C01079,C01079
K02884	
K02887	
K02886	
K07460	
K08998	
K07462	
K04564	
K04567	C01931
K09807	
K09808	
K02067	
K02066	
K02065	
K10773	
K00595	C06408,C06408
K01610	C00074,C00074,C00074,C00036,C00074,C00074
K01613	C00350,C02737
K02123	
K02120	
K02121	
K01619	C00118
K02124	
K03832	
K00067	C03319,C03319,C00688,C00688
K03545	
K03544	
K02834	
K02835	
K13038	C01134,C01134,C04352,C04352,C04352,C04352
K02837	
K03424	
K13789	C00341,C00235,C00129,C00341,C00448,C00341,C00129,C00448,C00353,C00353,C00353
K00691	C00031,C00663,C00031
K07007	
K09117	
K03615	
K03614	
K03613	
K02232	C06507,C06506
K02233	C00194,C00194
K02231	C06509,C06509,C06510,C06510,C06509,C06509
K02337	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02335	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02238	
K00525	C00206,C00206,C00343,C01346,C00361,C00361,C00343,C00705,C00705
K00527	C00131,C00131,C00286,C00286,C00343,C00458,C00458,C00343
K01835	C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00117,C00117,C00092,C00092
K01834	C00197,C00197,C00197,C00631,C00197,C00197,C00197,C00197
K00287	C00101,C00415,C00415,C00101,C00101,C00101,C00101,C00415,C00415,C00101,C00101,C00101,C00415,C00504,C00504,C00415,C00504,C00504
K00528	
K03723	
K04068	
K04066	
K03685	
K03686	
K03687	
K00845	C00092,C00092,C00092,C01172,C01172,C01172,C00668,C00668,C00668,C00668,C00668,C00267,C00668,C00668,C00668
K09922	
K04720	C04122
K00848	C06441,C01131
K01537	
K07301	
K03111	
K03113	
K03116	
K00024	C00036,C00036,C00036,C00149,C00149,C00149,C00036,C00036,C00036,C00036
K03118	
K14652	C01304,C01304,C15556,C15556
K16153	C00718,C00718,C00103,C00103,C00718,C00103,C00718
K02909	
K02906	
K03786	C02637,C02637,C02637,C02637
K01929	C04702,C04702,C04882,C04882
K01880	C02412
K01881	C02702
K01883	C03125
K01885	C02987,C02987,C02987,C02987
K01886	C02282,C00064
K01887	C02163
K08591	C00681,C00681,C00681
K01889	C03511
K15633	C00197,C00197,C00197,C00631,C00197,C00197,C00197,C00197
K03386	
K01154	
K01151	
K01409	
K00939	C00008,C00020,C00008,C00206,C00360
K00831	C03232,C01005,C03232,C03232,C01005,C03232,C06054,C06055
K16211	
K07238	
K06894	
K02621	
K02992	
K02990	
K02996	
K02994	
K01082	C00224,C00224,C00224
K08289	C04376,C00101,C00234,C04376,C04376,C00101,C00445
K02470	
K03575	
K03572	
K03570	
K01710	C11907,C11907,C11907,C11907,C11907
K01714	C20258,C20258,C20258,C20258,C20258
K01719	C01051,C01051,C01051
K02874	
K11085	
K02876	
K03976	
K03977	
K00657	C02714,C02714
K03978	
K00655	C00416,C00416,C00681
K02878	
K02879	
K12257	
K07282	
K01465	C00438,C00438
K03501	
K02190	C11538,C11538
K07124	
K03718	
K00088	C00655,C00655,C00655,C16618
K01756	C00020,C00122,C03794,C04677,C04677,C04677
K00046	
K01870	C03127
K01873	C02554
K09748	
K01875	C02553,C06481
K01874	C02430,C05336
K01876	C02984
K15923	
K07095	
K01972	
K01872	C00886
K03474	C00627,C00627
K03473	C06054,C06054
K07052	
K00012	C00167,C00167,C00167,C00167,C00167,C00167
K00014	C02637,C00493,C02637,C00493
K07058	
K03801	C16236,C05752,C16237,C16237
K02863	
K03624	
K03625	
K03621	C00681,C00681,C00681
K13993	
K03629	
K03390	C03576,C04628,C04628,C04628,C03576,C04628,C03576
K00239	C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122,C00122
K02429	
K00648	C03939,C00024,C03939,C05744,C05744,C05744
K00278	C00036,C00049,C05840,C05840
K07001	
K04096	
K03650	
K03657	
K03655	
K03654	
K03658	
K00973	C00842,C00842,C00842,C00842
K04773	
K11749	
K00979	C04121,C01187
K00615	C00231,C00279,C00279,C00231,C00279,C00279,C00231,C00117,C00231,C00117,C00118,C05382,C00117,C00231,C00117,C00117,C00231,C00231,C00117,C00117,C00231,C00279,C00231,C00279,C00231,C00231,C00279,C00231,C00279,C00231,C00279,C00279,C00231,C12215,C12215
K03389	C03576,C04628,C04628,C04628,C03576,C04628,C03576
K11741	
K07277	
K06178	
K00873	C00022,C00008,C00022,C00008,C00022,C00002,C00074,C00074,C00022,C00022,C00035,C00044,C00206,C00206,C00286,C00286,C00022,C00022,C00074
K00876	C00055,C00475,C00055,C00475,C00055,C00475,C00055,C00475,C00105,C00299,C00105,C00299,C00105,C00299,C00105,C00299,C00055,C00475,C00105,C00299,C00105,C00299,C00055,C00475,C00055,C00475,C00105,C00299,C00105,C00299,C00105,C00299,C00055,C00475,C00055,C00475,C16634
K00874	C04442,C00204,C04442,C04442
K09888	
K02956	
K04485	
K02954	
K06207	
K02952	
K02950	
K02959	
K01277	
K03671	
K12137	
K01579	C00099,C00099,C00099,C00099
K01270	C00097,C00037,C00097,C00037,C00037,C05726
K01572	C00022,C00022,C00048,C00022,C05946
K01278	
K06872	
K02008	
K01752	C00022,C00065,C00022,C00022,C00014,C00022,C02218
K02005	
K02004	
K02007	
K02006	
K06975	
K02003	
K07082	
K01591	C00105,C00105
K00757	C00106,C00106,C16633
K07478	
K02358	
K01051	C00470,C00470,C00470
K01056	
K09817	
K05808	
K09815	
K09812	
K09811	
K09810	
K00560	C00364,C00415,C00364
K02217	C14819
K03442	
K01624	C00118,C00111,C00354,C00118,C00111,C00118,C00354,C00111,C00118,C00118,C00118,C00118,C00111,C00111,C00118,C00118,C00111,C00118,C00111,C00118,C00111,C00447,C00447,C00111,C00279,C00447,C00577,C00111,C00111
K01625	C00048,C00022,C00048,C00022,C05946,C00022,C00118,C04442,C00118,C00022,C00022,C00118
K01627	C04478,C01112
K01934	C00445,C00445
K01629	C00111,C00266,C00111
K01937	C00063,C00063,C00063,C00063
K02601	
K00058	C03232,C03232,C03232,C03232,C03232,C03232
K00059	C05744,C05744,C04618,C04619,C05753,C04619,C04620,C05750,C04620,C04633,C05762,C04633,C04688,C04688,C04688,C05747,C05747,C05747,C05757,C05757,C05757,C16217,C16217,C16220,C16220,C16220,C20373,C20373,C20377,C20377
K00350	
K00133	C00441,C00441,C00441,C00441,C03082,C03082,C00441,C00441
K00057	C00111,C00111
K00721	C03862,C00096,C00110
K03530	
K03438	
K03536	
K03534	
K03924	
K02823	
K03744	
K03210	
K03217	
K03215	
K03742	
K03190	
K03733	
K03664	
K03665	
K02224	C06503,C06503,C06504,C06504
K02227	C06509,C06509,C06508,C06508
K06158	
K05837	
K09816	
K02342	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02343	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02340	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02341	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K01808	C00199,C00199,C00199,C00199,C00199,C00199,C00199,C18096,C18096
K03696	
K03695	
K15532	
K06973	
K01803	C00111,C00111,C00118,C00111,C00118,C00111,C00111,C00111,C00111
K01804	C00508,C00508
K01805	C00095,C00095,C00310,C00310
K03327	
K03188	
K03284	
K05515	
K03281	
K03282	
K11175	C04376,C00101,C00234,C04376,C04376,C00101,C00445
K12410	
K12141	
K03101	
K03269	C04824,C04824
K02622	
K01897	C00154,C00154,C00154
K00226	C00295,C00337
K01338	
K01893	C03402
K01892	C02988
K00548	C00073,C00101,C00073,C00073,C00073,C05335
K01890	C03511
K02687	
K01735	C00944,C00944,C00944,C00944
K00858	C00006,C00006
K16363	C04246,C04246,C04246,C05754,C05754,C05754,C05751,C05751,C05751,C05763,C05763,C05763,C05760,C05760,C05760,C06022,C06022,C05748,C05748,C05748,C05758,C05758,C05758
K00948	C00119,C00119,C00117,C00119,C00119,C00119,C00119
K06217	
K00820	C00352,C00352,C00352
K00942	C00035,C00035,C00361,C00362
K00943	C00363,C00363,C01346,C00365
K13747	C00315,C03375
K00946	C00068,C00068
K00945	C00015,C00105,C00112,C00055,C00705,C00239
K06881	
K01091	C00160,C00160,C00160
K07636	
K06889	
K10947	
K03979	
K11068	
K01489	C00299,C00299,C00526,C12739
K02968	
K02967	
K02965	
K01480	C00134,C00134
K02963	
K02961	
K11537	
K03569	
K06905	
K01662	C11437,C11437,C00118,C00022,C11437
K06907	
K03565	
K03561	
K00762	C00119,C00295,C01103
K01467	C06567,C06567
K00760	C00147,C00020,C00262,C00262,C00144,C00144,C00655,C00655,C00385,C04646,C16615,C16619
K00761	C00106,C00105
K01462	
K00767	C01185,C01185
K00764	C03090,C03090,C00119,C00119
K00768	C04778,C04778
K05995	
K03076	
K07114	
K02860	
K02867	
K07447	
K02864	
K00645	C01209,C00083,C01209
K02226	C05775,C04778
K01933	C03373,C03373,C03373
K03701	
K03703	
K03702	
K03110	
K03313	
K03499	
K03498	
K01960	C00036,C00036,C00036,C00022,C00036,C00036,C00036
K06153	C00009,C17556
K01847	C00091,C00091,C00091,C00091,C00091,C00091,C00091
K03495	
K03497	
K03496	
K17103	C02737,C02737,C00269
K03797	
K03811	
K03798	
K02945	
K03531	
K02469	
K02548	C05818,C05818,C05818,C13309,C13309,C03657,C13309
