PCA1	PCA2	cluster	contig
-6.36923884	-1.22047058	13	1
-7.70998004	1.87197047	6	2
7.20740558	2.58688641	9	3
-9.45254492	2.52566579	6	4
-8.48419216	0.617129437	1	5
-2.22047463	-1.62471949	13	6
-2.2070103	-1.81960902	7	7
7.23500497	2.64082448	9	8
-10.7647019	4.14275057	6	9
-7.41621614	0.064371507	1	10
4.22832494	-2.24578147	0	11
-1.64409758	-1.59749309	13	12
8.64905569	2.78368351	9	13
4.98920714	-2.59890579	0	14
8.74848429	2.61611849	9	15
3.73206018	0.788727299	9	16
-1.88702604	-2.54090491	7	17
-5.2852583	0.735608981	6	18
1.85493049	-2.11115349	0	19
10.2790143	3.45252015	9	20
-3.46822185	-1.7081442	7	21
-6.36924794	0.627920081	10	22
-7.8172388	0.854047643	10	23
-7.43355208	1.06462983	10	24
-6.15945111	1.29117512	6	25
-1.43333156	-1.10174061	13	26
6.3421535	1.91501307	9	27
-8.40969539	1.26220256	10	28
-10.0318218	1.80132647	1	29
8.2658828	3.47194363	9	30
-2.05173349	-2.14918391	7	31
11.2851485	3.4493292	9	32
-9.37499177	0.715292008	13	33
4.53868946	-2.52784517	0	34
-7.39237288	0.633738949	10	35
-7.79391407	0.986044599	10	36
-1.04614062	-1.29084909	7	37
-8.24412333	1.39358053	10	38
-6.00695288	0.75698442	10	39
-0.912570888	-1.77124475	0	40
-5.42564311	1.48415589	6	41
9.28890055	2.58140586	9	42
-11.337183	3.98647214	1	43
9.42222475	3.20691383	9	44
8.41302604	3.73589395	9	45
-9.61813484	1.52023848	1	46
-12.2184449	4.3261632	1	47
-9.02864473	0.803962674	1	48
-0.974209339	-1.86002541	7	49
2.59150224	-2.46405686	0	50
1.28680784	-2.43271626	0	51
-1.33251231	-2.56566433	7	52
-6.24575221	-0.364906778	13	53
4.86087021	-2.69862505	0	54
-2.08380075	0.417148852	6	55
3.86506206	-2.53484029	0	56
7.61497747	1.64900127	9	57
-6.80842826	0.854546319	10	58
-2.28947487	-1.77355921	0	59
-2.8447898	-1.08728465	13	60
-7.74451255	1.04879953	10	61
7.01531472	2.54259035	9	62
-6.63576798	1.63062536	6	63
5.00684413	-1.72048828	0	64
3.51259027	-0.534152376	0	65
1.19977232	-2.44164427	0	66
5.33097591	-2.53543757	0	67
-2.5700787	-0.518456971	6	68
9.03921111	3.14255646	9	69
6.67337238	-3.12892781	0	70
9.97736318	2.63778228	9	71
3.93246985	-0.281490719	0	72
-2.70011169	-1.96466832	7	73
-7.0553363	0.869853428	6	74
-7.46926528	-0.0576519458	1	75
5.15706305	1.72668238	9	76
5.81404867	-2.37069956	0	77
0.698478538	-2.31830513	0	78
3.06197739	-2.57746205	0	79
-6.18368489	0.635318556	6	80
-8.18190258	1.0083017	6	81
6.4831991	-0.731562692	15	82
-2.38592736	-1.79882443	7	83
-2.48250478	-1.57094634	7	84
3.66003868	1.85900874	9	85
-11.3958018	3.33156545	6	86
-3.9506998	0.29153311	6	87
-1.11120788	-2.06066468	7	88
3.38820843	-2.22464741	0	89
-6.94884508	1.44341954	10	90
-7.49727448	1.59344932	6	91
-7.7563126	1.30736719	10	92
-3.63327923	-1.55878042	13	93
-2.16065987	-1.96266974	7	94
5.52238642	-2.36288935	0	95
-1.47877205	-1.95401999	7	96
